,star_name,TSS_tier,ra,dec,Teff,sy_dist,sy_vmag,Age,vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,prot_adopt,r_prot_adopt,act_cycle_adopt,phot_jitter_adopt
0,TIC 114807654,3,0.00434642638,-19.49883024682,4891.0,37.30635070800781,9.23,,,,,,,nan,,
1,GAIA DR3 2875125810310195712,3,0.0170125,34.1885535,5670.0,49.46256637573242,,8.57,,,,,,nan,,
2,TIC 138662501,3,0.05285038405,-4.05367997341,4204.54,43.80982971191406,10.718,,,,,,,nan,,
3,TIC 290405947,3,0.11312831757,-79.06198229236,5419.1,40.08252716064453,8.61,3.766,6.0,,,,10.530918,fetherolf24,,10114.046345
4,TIC 201236480,3,0.1349923995,-56.83560083708,4444.2,45.12610626220703,10.75,6.07,,,,,10.780546,fetherolf24,,372.014853
5,TIC 138667728,3,0.14495192033,-5.55205158157,3670.0,28.02464485168457,12.245,,,,,,,nan,,
6,TIC 380157588,3,0.16354821963,18.48885328649,4060.09,33.5330696105957,11.12,,,,,,,nan,,
7,TIC 267083739,3,0.16800036666,-69.67596567438,5175.0,29.29474258422852,8.24,,3.259,0.5224,-4.4233,-4.205403235794503,8.148017,fetherolf24,,10178.876083
8,TIC 417860263,3,0.17351742938,62.17589876853,6362.3,38.2684211730957,7.044,3.454,21.0,,,,,nan,,
9,TIC 270480629,3,0.1952747174,-35.1683432406,3725.0,38.70648193359375,12.204,,,,,,11.838048,fetherolf24,,237.089003
10,GAIA DR3 2772447981373673344,3,0.1959463,16.4027426,3805.0,47.39261245727539,12.8,5.054,,,,,,nan,,
11,TIC 456502768,3,0.20043456021,16.98811357708,4819.38,30.03970718383789,9.39,10.94,,,,,,nan,,
12,TIC 270481039,3,0.208434,-32.735979,,,8.99,,,,,,,nan,,
13,TIC 396234347,3,0.22234834919,35.75262206413,4540.4,41.93624877929688,9.93,,,,,,9.533974,fetherolf24,,1153.060902
14,TIC 138667606,3,0.24340787807,-4.93253674489,5744.4,44.95299530029297,8.57,,,,,,,nan,,
15,TIC 327953706,3,0.26735976442,-23.44033909935,4683.39,33.30397033691406,9.608,11.44,,,,,,nan,,
16,TIC 405230222,3,0.30358925284,13.97211727066,3929.0,36.03588104248047,10.264,,,,,,,nan,,
17,GAIA DR3 2767387380324493184,3,0.3049876,13.9750765,3921.0,36.51132583618164,10.26,,,,,,,nan,,
18,GAIA DR3 2881804450094712320,3,0.3486678,39.6103679,5655.18,49.87352752685547,9.68,1.318,11.0,,,,,nan,,
19,TIC 83955820,3,0.34983567944,34.28184746805,3997.47,38.05114364624024,11.28,,,,,,,nan,,
20,TIC 117550432,3,0.35766386224,-16.94844092124,3948.0,31.447586059570312,10.62,,,,,,10.7743,fetherolf24,,212.265292
21,GAIA DR3 2846749201903437184,3,0.4556565,21.4625048,4700.0,43.406097412109375,,13.467,,,,,,nan,,
22,TIC 412066335,3,0.53896649763,-68.28147524388,3863.1,16.950345993041992,10.56,,,,,,,nan,,
23,TIC 117956546,3,0.54308808083,27.08179910943,5411.0,12.31867218017578,5.75,7.4,3.2,0.1812,,-4.675761056828502,9.130143,fetherolf24,10.2,28.881734
24,TIC 321928346,3,0.56869972712,-53.57999355057,4110.57,48.36626434326172,11.46,,,,,,9.46731,fetherolf24,,353.416007
25,TIC 418416828,3,0.5748000041,60.50598008113,4838.7,38.193138122558594,9.71,0.375,,,,,,nan,,
26,TIC 403021108,3,0.5897621283,11.00623751079,5156.0,33.75575637817383,8.47,11.796,1.6,0.2008,-4.9,-4.712157559836284,11.923478,fetherolf24,,59.69189
27,TIC 321979728,3,0.6129927798,-46.02887028201,3641.0,36.93153381347656,14.727,,,,,,,nan,,
28,TIC 405267424,3,0.62375678012,8.48546305951,7038.3,37.498268127441406,5.69,1.187,55.0,,,,1.351004,fetherolf24,,178.213567
29,TIC 355688238,3,0.63920311048,-63.40199722297,3569.0,27.670167922973636,12.74,,,,,,,nan,,
30,TIC 257502302,3,0.69656399777,2.13015199434,5844.31,42.71038055419922,8.6,6.179,5.0,,,,11.068973,fetherolf24,,158.638307
31,TIC 611064060,3,0.69667573596,2.12972997454,,42.83127212524414,9.26,,,,,,,nan,,
32,TIC 395316709,3,0.75151599131,16.92931475159,4415.4,47.43317031860352,11.08,9.994,,,,,,nan,,
33,TIC 266880925,3,0.82693671202,-75.55584221606,4017.38,43.31661987304688,11.67,,,,,,8.725012,fetherolf24,,599.576461
34,TIC 257503361,3,0.82917543355,4.68693102772,3655.0,28.648744583129883,14.064,,,,,,20.736,watson06,,
35,TIC 12359292,3,0.9228540055,-28.39619334908,5545.7,40.22317886352539,8.23,13.324,3.0,0.46,,-4.121673945587425,9.719801,fetherolf24,,2751.285889
36,TIC 355705959,3,0.92983699488,-65.77956957301,3515.0,33.9563102722168,13.01,,,,,,,nan,,
37,GAIA DR3 2333073415404139264,3,0.9723797,-28.3938077,5617.0,49.71200942993164,7.64,12.458,0.0,0.15,,-4.728272069306573,,nan,,
38,TIC 201252550,3,1.09913213501,-57.3226969951,4554.97,48.42871475219727,10.45,11.422,,,,,,nan,,
39,TIC 160148344,3,1.10366756491,-47.06804382585,5119.43,47.84053039550781,9.8,,,,,,,nan,,
40,TIC 120459870,3,1.15182270904,-40.73413546804,3281.0,12.308996200561523,12.84,,,,,,10.505043,fetherolf24,,290.616725
41,TIC 372131402,3,1.22385287112,34.65966701041,5610.0,35.3251,6.11,,5.0,0.16315,,-4.6739289518455465,,nan,,
42,TIC 120460937,3,1.23306406861,-37.29820009684,4801.0,47.73749542236328,9.93,,,,,,5.083858,fetherolf24,,1157.323841
43,TIC 258866681,3,1.23467312837,23.269628699,5306.0,26.34477996826172,7.82,7.469,-0.42,0.1727,-4.936,-4.744604345320749,36.0,wright04,,
44,TIC 327857282,3,1.24465462613,-70.21244236514,5722.0,44.25977325439453,8.12,6.147,3.0,0.185,,-4.5578616632438695,10.048165,fetherolf24,,314.008123
45,TIC 355426214,3,1.2812304273,-52.15173926877,6139.7,42.25720977783203,7.52,5.028,4.0,0.193,,-4.422567803665512,5.788406,fetherolf24,,158.596079
46,TIC 439946126,3,1.29537156257,45.78656654478,3661.0,11.499558448791504,9.95,,,1.52914285714,,-4.480619674413146,10.368674,fetherolf24,,221.601219
47,TIC 327857952,3,1.3237030253,-67.83259045293,4549.0,16.38776969909668,8.485,7.415,,0.1022,-4.81,-5.409985576482643,8.986905,fetherolf24,,92.864378
48,TIC 300931103,3,1.3338686884,-5.70723544986,4710.0,42.51344680786133,4.61,5.466,,,,,2.88094,fetherolf24,,169.852347
49,TIC 120461526,2,1.35178534533,-37.35736323168,3375.0,4.345489501953125,8.562,,4.8,0.3489,-5.269,-5.380991398122658,8.05433,fetherolf24,,157.473896
50,TIC 355426648,3,1.354145556,-50.04804896672,3567.0,24.181650161743164,11.994,,,,,,5.872022,fetherolf24,,320.75615
51,TIC 301744056,3,1.37021009103,22.22449483081,5407.69,46.966644287109375,9.13,,,,,,,nan,,
52,TIC 176285709,3,1.37984140245,-9.61745921087,6481.9,49.49972152709961,7.13,2.815,24.0,,,,2.441951,fetherolf24,,270.851535
53,TIC 176285008,3,1.39530081801,-6.11857581534,3393.0,24.856674194335938,13.147,,,,,,,nan,,
54,TIC 176285385,3,1.41489781132,-7.90359149278,5023.14,47.820194244384766,9.59,,,,,,8.688806,fetherolf24,,7237.620917
55,TIC 439949948,3,1.42084507877,45.81037597301,4028.0,11.513547897338867,8.995,,1.97,1.7297,,-4.207048888055011,,nan,,
56,TIC 439949946,3,1.42092453196,45.81209588999,4065.0,11.517297744750977,8.826,,0.69,1.6395,,-4.210867670391227,,nan,,
57,TIC 347304330,3,1.42362806353,58.3132590675,5757.0,46.82524490356445,8.22,5.152,3.0,,,,3.250529,fetherolf24,,278.714858
58,TIC 347299560,3,1.46007362197,56.5002243833,4899.1,36.15349960327149,9.08,13.052,,,,,10.556283,fetherolf24,,893.609971
59,TIC 120462356,3,1.46893719781,-41.75306833826,6052.0,38.80204391479492,7.53,5.51,14.6,0.34,-4.35,-4.122507421347059,5.0,wright04,,
60,TIC 258868211,3,1.47811972599,18.23500741221,5915.0,37.40755844116211,7.45,4.62,2.0,,,,,nan,,
61,TIC 194230330,3,1.4801584096,41.4913703897,3599.0,39.88272476196289,12.813,,,,,,9.141171,fetherolf24,,11856.439785
62,TIC 258868174,3,1.48113861175,18.07587264534,5034.19,37.49115753173828,9.22,9.54,,,,,,nan,,
63,TIC 258868172,3,1.4818749818,18.07522557294,4865.65,37.487640380859375,8.58,11.224,,,,,,nan,,
64,TIC 604446820,3,1.56544493592,58.43712281813,5230.0,21.24051284790039,7.32,,4.7,0.2771,,-4.502666310826702,,nan,,
65,TIC 347304641,3,1.56588848963,58.43669860892,5823.0,20.77867889404297,5.988,12.082,6.1,,,,,nan,,
66,GAIA DR3 4976894960284725632,3,1.5797829,-49.0763639,4110.39,26.139678955078125,11.5,,,,,,,nan,,
67,TIC 389757979,3,1.57989759798,-49.07518723683,6243.0,26.17207908630371,5.76,3.865,9.759,,,,5.592298,fetherolf24,,116.748713
68,TIC 469970578,3,1.57993867798,-65.84053268029,3457.0,17.468183517456055,12.174,,,,,,,nan,,
69,TIC 201254618,3,1.6118121094,-59.56289958039,4437.57,41.01987838745117,10.5,,,,,,5.270878,fetherolf24,,1879.239542
70,TIC 238432056,1,1.65326704382,29.02150289093,5491.0,13.758092880249023,6.07,9.598,4.1,0.4763,-4.4,-4.124521991773717,,nan,,
71,TIC 201694126,3,1.67574361222,52.58637820124,5714.25,46.2443,11.19,,,,,,,nan,,
72,TIC 176287658,3,1.67998845411,-7.53806231717,2902.0,4.845412731170654,13.837,,,1.66438060172,,-5.172820014391166,,nan,,
73,TIC 229012143,3,1.70869388659,-23.10754099413,6762.9,39.70513916015625,6.173,1.749,,,,,0.462913,fetherolf24,,152.415716
74,GAIA DR3 2427825582274968576,3,1.8086499,-10.6079582,3661.0,46.82040786743164,11.85,,,,,,0.999321,watson06,,
75,TIC 201698544,3,1.83076140263,52.69208346778,3797.0,38.58361053466797,12.647,,,,,,,nan,,
76,TIC 12395998,3,1.84393396844,-25.35665191658,6459.5,49.39308166503906,7.06,3.289,9.0,,,,7.52776,fetherolf24,,66.201707
77,TIC 114809058,3,1.88559086913,-23.81872167352,5173.0,32.76051712036133,8.7,,2.246,0.179,-4.96,-4.77391397161058,39.0,wright04,,
78,TIC 407055622,3,1.96167578741,67.60712533086,3542.0,25.195457458496097,11.85,,,,,,11.934987,fetherolf24,,429.109301
79,TIC 326682209,3,1.96702314972,55.57704234447,5965.0,48.75736999511719,7.82,7.215,8.0,,,,6.803292,fetherolf24,,4960.363219
80,TIC 439967669,3,2.02676663757,47.95065856208,3282.0,18.64184188842773,12.779,,,,,,4.370685,fetherolf24,,3429.239295
81,TIC 289624436,3,2.06817425204,-14.82449182255,5900.0,27.284399032592773,7.03,3.944,2.407,0.195,-4.7,-4.473734577343128,5.387593,fetherolf24,,334.154459
82,TIC 201287746,3,2.07242704784,-57.09802927529,3381.0,12.803473472595217,12.07,,,,,,,nan,,
83,TIC 114817448,3,2.08246451389,-21.00550499251,3708.0,39.68964385986328,12.439,,,,,,,nan,,
84,TIC 427733653,3,2.096903,29.09042,13076.0,29.744199881023203,2.06,,,,,,,nan,,
85,TIC 405187645,3,2.10727337408,6.61680227297,5872.0,38.34118270874024,7.59,7.744,14.6,0.365473684211,-4.37,-4.132047023786589,4.0,wright04,,
86,TIC 357370384,3,2.1136644447,17.42429318014,3805.0,21.72243881225586,10.763,,,,,,11.885247,fetherolf24,,410.20149
87,TIC 194303203,3,2.168181,36.627115,6169.0,32.607,6.213,4.118,7.3,,,,,nan,,
88,TIC 461342461,3,2.23848988758,66.4566594155,5148.0,36.33638000488281,8.56,,2.0,,,,,nan,,
89,TIC 12421103,3,2.24838893103,-25.12136898786,3996.46,45.80232238769531,11.92,,,,,,,nan,,
90,TIC 12421862,3,2.26815992113,-27.12213328787,3782.0,23.76367950439453,11.67,,,,,,,nan,,
91,TIC 396298498,3,2.294576,59.149788,6810.0,16.69727834362999,2.27,1.16,71.0,0.3112,,-4.059452631326189,,nan,,
92,TIC 300975286,3,2.3063722781,-4.13401408712,3560.0,33.58688735961914,11.69,,,,,,,nan,,
