,star_name,TSS_tier,ra,dec,Teff,sy_dist,Vmag,Ksmag,Age,vsini_adopt,e_vsini_adopt,r_vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,RHK_calculated_pyastro,prot_adopt,r_prot_adopt,tau_cranmer11,act_cycle_adopt,phot_jitter_adopt
0,TIC 114807654,3,0.00434642638,-19.49883024682,4891.0,37.30635070800781,9.23,6.807,,,nan,nan,,,,,,nan,25.35884184798938,,
1,GAIA DR3 2875125810310195712,3,0.0170125,34.1885535,5670.0,49.46256637573242,,6.885,8.57,,nan,nan,,,,,,nan,14.484559510073893,,
2,TIC 138662501,3,0.05285038405,-4.05367997341,4204.54,43.80982971191406,10.718,7.851,,,nan,nan,,,,,5.8133,2026arXiv260305586B,36.45220650665576,,2002.0
3,TIC 290405947,3,0.11312831757,-79.06198229236,5419.1,40.08252716064453,8.61,6.858,3.766,6.0,1.1,2007A&A...475..519H,,,,,10.6836,2026arXiv260305586B,18.139475404795583,,5702.0
4,TIC 201236480,3,0.1349923995,-56.83560083708,4444.2,45.12610626220703,10.75,7.867,6.07,,nan,nan,,,,,21.8699,2026arXiv260305586B,32.197873780463766,,1603.9999999999998
5,TIC 138667728,3,0.14495192033,-5.55205158157,3670.0,28.02464485168457,12.245,8.168,,,nan,nan,,,,,,nan,47.965804381047036,,
6,TIC 380157588,3,0.16354821963,18.48885328649,4060.09,33.5330696105957,11.12,7.639,,,nan,nan,,,,,,nan,39.265726446682265,,
7,TIC 267083739,3,0.16800036666,-69.67596567438,5175.0,29.294742584228516,8.24,6.227,,3.259,0.322,2018A&A...615A..76S,,-4.44,,,8.148017,2023ApJS..268....4F,21.463214540804692,,10178.876083
8,TIC 417860263,3,0.17351742938,62.17589876853,6362.3,38.2684211730957,7.044,5.808,3.454,21.0,1.1,2007A&A...475..519H,,,,,,nan,3.0476903035593828,,
9,TIC 270480629,3,0.1952747174,-35.1683432406,3725.0,38.70648193359375,12.204,8.282,,,nan,nan,,,,,11.838048,2023ApJS..268....4F,46.63257707634701,,237.089003
10,GAIA DR3 2772447981373673344,3,0.1959463,16.4027426,3805.0,47.39261245727539,12.8,8.458,5.054,,nan,nan,,,,,,nan,44.75871205963794,,
11,TIC 456502768,3,0.20043456021,16.98811357708,4819.38,30.03970718383789,9.39,6.34,10.94,,nan,nan,,,,,,nan,26.380648788710012,,
12,TIC 270481039,3,0.208434,-32.735979,,,8.99,6.14,,,nan,nan,,,,,,nan,,,
13,TIC 396234347,3,0.22234834919,35.75262206413,4540.4,41.936248779296875,9.93,7.402,,,nan,nan,,,,,12.6645,2026arXiv260305586B,30.618904265997116,,2964.0
14,TIC 138667606,3,0.24340787807,-4.93253674489,5744.4,44.95299530029297,8.57,6.956,,,nan,nan,,,,,,nan,13.318746708704005,,
15,TIC 327953706,3,0.26735976442,-23.44033909935,4683.39,33.30397033691406,9.608,6.872,11.44,,nan,nan,,,,,10.5568,2026arXiv260305586B,28.389371460048704,,2316.0
