star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,HD,S_CTIO_,S_MW_,logR__HK_,_RA,_DE
TIC 355426214,1.2812304273,-52.15173926877,1.2804274811037346,-52.15231606645571,355426214.0,4.973139402225747e+18,4.973139402225747e+18,420.0,2MASS J00050748-5209062,8028-01312-1,,HD     23,tic_near,-110.73039202165812,0.0130689442157745,-129.85570997833878,0.0155472448095679,GaiaDR3,2023A&A...674A...1G,,,,,8.11,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.52,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.501,0.019,TIC,2019AJ....158..138S,6.214,0.034,TIC,2019AJ....158..138S,6.168,0.02,TIC,2019AJ....158..138S,7.002,0.006,7.402707099914551,0.0027586421593161,gaia_dr3,2023A&A...674A...1G,7.678730010986328,0.0028047509645287,6.955027103424072,0.0038028908877278,23.65169442378338,0.0185445193201303,GaiaDR3,2023A&A...674A...1G,42.25720977783203,0.0345268249511718,bj2021,2021AJ....161..147B,0,G0V,1978MSS...C02....0H,1,6139.7,158.4,TIC,2019AJ....158..138S,4.405394936452995,0.0499423473661075,calculated_from_M_and_R,Calculated Value,,,,,-0.07,,gcs_reanalysis,2011A&A...530A.138C,0.1619723053116088,0.0145903202328005,update_TIC,Calculated Value,1.0649874633677463,0.0577904672153672,calc_from_L_and_Teff,Calculated Value,1.0520013570785522,0.0400019884109497,gaia_dr3_flame,2023A&A...674A...1G,0,5.028023719787598,0.8595726490020752,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,23,0.233,0.193,-4.78,1.2812,-52.1517
TIC 120462356,1.46893719781,-41.75306833826,1.4695196103890231,-41.753408063428445,120462356.0,4.99585301464619e+18,4.99585301464619e+18,490.0,2MASS J00055255-4145109,7526-01226-1,,HD    105,tic_near,97.86264909476064,0.0167849380522966,-76.50209606515111,0.0180175304412841,GaiaDR3,2023A&A...674A...1G,,,,,8.13,,Simbad,,7.53,,Simbad,,,,,,,,,,6.464,0.02,TIC,2019AJ....158..138S,6.189,0.023,TIC,2019AJ....158..138S,6.117,0.02,TIC,2019AJ....158..138S,6.983,0.006,7.395555973052979,0.0028178987222646,gaia_dr3,2023A&A...674A...1G,7.684234142303467,0.0035059268531121,6.933504581451416,0.004131319088923,25.75341549347528,0.0211349688470363,GaiaDR3,2023A&A...674A...1G,38.80204391479492,0.0356121063232421,bj2021,2021AJ....161..147B,0,G0V,2006A&A...460..695T,1,6052.0,23.0,Pastel,2022A&A...663A...4S,4.437916132362831,0.0223915565047124,calculated_from_M_and_R,Calculated Value,4.52,0.06,Pastel,2022A&A...663A...4S,0.06,0.03,Pastel,2022A&A...663A...4S,0.0907860042884884,0.0129342157458892,update_TIC,Calculated Value,1.0098289297625327,0.0168830564800242,calc_from_L_and_Teff,Calculated Value,1.019398808479309,0.040006846189499,gaia_dr3_flame,2023A&A...674A...1G,0,5.509660243988037,0.9456555843353271,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,105,0.307,0.363,-4.36,1.4689,-41.7531
TIC 201293664,3.20937205695,-57.91260986801,3.2083836706679496,-57.912454057528365,201293664.0,4.918476567469051e+18,4.918476567469051e+18,1031.0,2MASS J00125025-5754454,8470-00156-1,,HD    870,tic_near,-118.12872398163611,0.0193713773041963,34.996231671046715,0.0181910134851932,GaiaDR3,2023A&A...674A...1G,8.344,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.0,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.226,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.803,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.416,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,5.852,0.02,TIC,2019AJ....158..138S,5.47,0.026,TIC,2019AJ....158..138S,5.383,0.024,TIC,2019AJ....158..138S,6.513,0.006,7.024890899658203,0.0027616012561069,gaia_dr3,2023A&A...674A...1G,7.410336971282959,0.0028758866947495,6.46522855758667,0.0038413018585534,48.42889435082962,0.0176743306219577,GaiaDR3,2023A&A...674A...1G,20.64345359802246,0.0074653625488281,bj2021,2021AJ....161..147B,0,K0V,2006AJ....132..161G,1,5385.0,20.0,Pastel,2022A&A...663A...4S,4.550624080420731,0.0232981359551476,calculated_from_M_and_R,Calculated Value,4.45,0.05,Pastel,2022A&A...663A...4S,-0.1,0.03,Pastel,2022A&A...663A...4S,-0.2863122930093995,0.010630051427839,update_TIC,Calculated Value,0.8262758946763885,0.0118290781633879,calc_from_L_and_Teff,Calculated Value,0.884721577167511,0.0401363372802733,gaia_dr3_flame,2023A&A...674A...1G,0,5.141321182250977,1.5047690868377686,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,870,0.268,0.267,-4.68,3.2094,-57.9126
GAIA DR3 2323040096922657920,3.5841248,-27.5313951,3.584118099917792,-27.532123872274944,12471323.0,2.323040096922658e+18,2.323040096922658e+18,1144.0,2MASS J00142021-2731532,6419-1020-1,WDS J00143-2732AB,HD   1002,gaia dr3,-1.3309885446401273,0.5515603423118591,-163.9712795162951,0.4595509171485901,GaiaDR3,2023A&A...674A...1G,,,,,7.1,,Simbad,,6.46,,Simbad,,,,,,,,,,6.252,0.024,GCNS,2021A&A...649A...6G,5.975,0.046,GCNS,2021A&A...649A...6G,5.865,0.02,GCNS,2021A&A...649A...6G,6.845104504403621,,7.273276805877685,0.0027922977161313,gaia_dr3,2023A&A...674A...1G,7.587148189544678,0.0028631132361241,6.771450042724609,0.0038721348532125,21.21074939055903,0.549166202545166,GaiaDR3,2023A&A...674A...1G,47.31216049194336,1.1197986602783203,bj2021,2021AJ....161..147B,0,G5V,1982MSS...C03....0H,1,5802.0,11.0,gspspec,2023A&A...674A...1G,4.265905541724557,,calculated_from_M_and_R,Calculated Value,4.199999809265137,0.0249998569488525,gspspec,2023A&A...674A...1G,0.0299999993294477,0.0149999996647238,gspspec [M/H],2023A&A...674A...1G,0.3147066021295491,,gcs_Fbol,Calculated Value,1.4218392440368484,,calc_from_L_and_Teff,Calculated Value,1.36,0.0849999999999999,gcs_reanalysis,2011A&A...530A.138C,0,3.95,0.6100000000000001,gcs_reanalysis,2011A&A...530A.138C,,,,,,,,1,1,AB,0.1,0.9500000000000012,,,,0,,1002,,,,3.5842,-27.5314
TIC 273650690,3.76931038078,-68.53010002494,3.769895398265567,-68.52985581018227,273650690.0,4.703402747226472e+18,4.703402747226472e+18,1206.0,2MASS J00150464-6831482,9134-01016-1,,HD   1108,tic_near,48.18790973205074,0.0182530339807271,54.870910793865285,0.017385771498084,GaiaDR3,2023A&A...674A...1G,,,,,9.28,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,8.58,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,7.317,0.02,TIC,2019AJ....158..138S,6.982,0.046,TIC,2019AJ....158..138S,6.909,0.017,TIC,2019AJ....158..138S,7.935,0.006,8.402725219726562,0.0027602506962694,gaia_dr3,2023A&A...674A...1G,8.74976634979248,0.0028170824987041,7.882056713104248,0.0037954748567619,21.45975935257332,0.0173280593007802,GaiaDR3,2023A&A...674A...1G,46.57571029663086,0.0355415344238245,bj2021,2021AJ....161..147B,0,G6V,1975MSS...C01....0H,1,5602.1,88.1,TIC,2019AJ....158..138S,4.495351566173313,0.0348004756545583,calculated_from_M_and_R,Calculated Value,,,,,-0.08,,gcs_reanalysis,2011A&A...530A.138C,-0.1433811867267461,0.0103000245813798,update_TIC,Calculated Value,0.9000369466604324,0.0302535535475187,calc_from_L_and_Teff,Calculated Value,0.9242822527885436,0.0403040945529937,gaia_dr3_flame,2023A&A...674A...1G,0,6.450758934020996,1.3558659553527832,gaia_dr3_flame,2023A&A...674A...1G,,6.792898,20.777824,4.703402747226707e+18,6.792898,20.777824,4.703402747226707e+18,0,0,,,,,,,0,,1108,0.236,0.199,-4.83,3.7693,-68.5301
TIC 290543478,4.05282979455,-79.85117909388,4.063774501401125,-79.85142960812378,290543478.0,4.634528720388463e+18,4.634528720388463e+18,1292.0,2MASS J00161266-7951042,9354-00780-1,WDS J00162-7951A,HD   1237,tic_near,434.10486443632266,0.0265958812087774,-56.33934229081832,0.0214810762554407,GaiaDR3,2023A&A...674A...1G,7.692,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.335,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.578,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,,,,,,,,,5.366,0.021,TIC,2019AJ....158..138S,4.99,0.038,TIC,2019AJ....158..138S,4.859,0.023,TIC,2019AJ....158..138S,5.912,0.006,6.40867280960083,0.0028552420522539,gaia_dr3,2023A&A...674A...1G,6.787174224853516,0.0043869756589618,5.862994194030762,0.0042022463645699,56.96442817792121,0.0192153025418519,GaiaDR3,2023A&A...674A...1G,17.553613662719727,0.0059785842895507,bj2021,2021AJ....161..147B,0,G8V,2006A&A...460..695T,1,5522.0,13.0,Pastel,2022A&A...663A...4S,4.478765623813576,0.023320456429011,calculated_from_M_and_R,Calculated Value,4.49,0.03,Pastel,2022A&A...663A...4S,0.11,0.02,Pastel,2022A&A...663A...4S,-0.1893834030033814,0.0103182957875112,update_TIC,Calculated Value,0.8785533492828035,0.0112265573280907,calc_from_L_and_Teff,Calculated Value,0.8476845622062683,0.0400323271751403,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,3.985026,14.527589,4.634528720387797e+18,3.985026,14.527589,4.634528720387797e+18,1,1,A,4.0,5.04,4.634528720387797e+18,3.985,8.1178,1,GJ 3021,1237,0.317,0.391,-4.44,4.0528,-79.8512
TIC 155896956,4.22456054835,-52.65114982026,4.226864845306885,-52.65033534576694,155896956.0,4.924503334299334e+18,4.924503334299334e+18,1349.0,2MASS J00165387-5239043,8464-00828-1,,HD   1273,tic_near,312.8934234841574,0.3916768133640289,184.95341429033525,0.440273255109787,GaiaDR3,2023A&A...674A...1G,7.537,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.497,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.852,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.475,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.095,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,5.567,0.023,TIC,2019AJ....158..138S,5.195,0.023,TIC,2019AJ....158..138S,5.111,0.023,TIC,2019AJ....158..138S,6.193,0.006,6.66343355178833,0.0027581962983151,gaia_dr3,2023A&A...674A...1G,6.999377250671387,0.0028282090731759,6.142373561859131,0.0038028866830934,34.01517036244036,0.5274180769920349,GaiaDR3,2023A&A...674A...1G,29.48690414428711,0.4103603363037109,bj2021,2021AJ....161..147B,0,G5VFe-1.2CH-0.9,2006AJ....132..161G,1,5665.0,32.0,Pastel,2022A&A...663A...4S,4.1775904664222105,,calculated_from_M_and_R,Calculated Value,4.47,0.1,Pastel,2022A&A...663A...4S,-0.54,0.05,Pastel,2022A&A...663A...4S,0.1624699792363276,,gcs_Fbol,Calculated Value,1.2516641288395116,,calc_from_L_and_Teff,Calculated Value,0.86,0.03,gcs_reanalysis,2011A&A...530A.138C,0,10.98,2.9650000000000003,gcs_reanalysis,2011A&A...530A.138C,,,,,,,,0,1,,,,,,,0,,1273,,,,4.2246,-52.6511
TIC 7144533,4.31886301826,-43.85273321887,4.321304860109381,-43.85280145912227,7144533.0,4.991747403868418e+18,4.991747403868418e+18,1382.0,2MASS J00171653-4351097,7530-00353-1,,HD   1320,tic_near,396.3186641356658,0.0202518552541732,-15.584242400424667,0.0230994541198015,GaiaDR3,2023A&A...674A...1G,,,,,8.63,,Simbad,,7.98,,Simbad,,,,,,,,,,6.766,0.019,TIC,2019AJ....158..138S,6.48,0.026,TIC,2019AJ....158..138S,6.384,0.026,TIC,2019AJ....158..138S,7.355,0.006,7.802247524261475,0.0027626769044394,gaia_dr3,2023A&A...674A...1G,8.123662948608398,0.0028094636339869,7.304738998413086,0.0037979949648989,27.594808478155528,0.0216138828545808,GaiaDR3,2023A&A...674A...1G,36.20973205566406,0.0267009735107421,bj2021,2021AJ....161..147B,0,G2V,2006AJ....132..161G,1,5727.0,23.0,Pastel,2022A&A...663A...4S,4.538457086830142,0.0218913507085593,calculated_from_M_and_R,Calculated Value,4.51,0.05,Pastel,2022A&A...663A...4S,-0.25,0.03,Pastel,2022A&A...663A...4S,-0.1234407915361166,0.0107255773532911,update_TIC,Calculated Value,0.8812068873314939,0.0129808396801594,calc_from_L_and_Teff,Calculated Value,0.9784648418426514,0.0400197505950927,gaia_dr3_flame,2023A&A...674A...1G,0,2.545745849609375,1.0745713114738464,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,1320,0.228,0.184,-4.87,4.3189,-43.8527
TIC 425934574,4.60884801322,-63.47749480103,4.609744564940433,-63.47775786238856,425934574.0,4.901229043960054e+18,4.901229043960054e+18,1481.0,2MASS J00182612-6328389,8843-01330-1,,HD   1466,tic_near,90.05336315818352,0.0157243721187114,-59.2067995507459,0.0182826239615678,GaiaDR3,2023A&A...674A...1G,,,,,8.0,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.46,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.462,0.018,TIC,2019AJ....158..138S,6.248,0.036,TIC,2019AJ....158..138S,6.149,0.017,TIC,2019AJ....158..138S,6.954,0.006,7.33917760848999,0.0027762809259168,gaia_dr3,2023A&A...674A...1G,7.60519552230835,0.0029607999943653,6.9073405265808105,0.003854749463275,23.35551119232331,0.0164372194558382,GaiaDR3,2023A&A...674A...1G,42.79135513305664,0.0281543731689453,bj2021,2021AJ....161..147B,0,F8V,2006A&A...460..695T,1,6138.0,41.0,Pastel,2022A&A...663A...4S,4.384619177413206,0.0243388164144313,calculated_from_M_and_R,Calculated Value,4.39,0.1,Pastel,2022A&A...663A...4S,-0.06,0.05,Pastel,2022A&A...663A...4S,0.1973599057202114,0.0142582075500109,update_TIC,Calculated Value,1.109887165951325,0.0234902548930358,calc_from_L_and_Teff,Calculated Value,1.089203953742981,0.0400047302246092,gaia_dr3_flame,2023A&A...674A...1G,0,3.806752920150757,0.7746905088424683,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,0,,,,4.900780511935295e+18,1811.1615,7.3939,0,,1466,0.301,0.347,-4.36,4.6088,-63.4775
TIC 425935521,5.01782133374,-64.87480824956,5.035609547427471,-64.86961713712722,425935521.0,4.900108950847894e+18,4.900108950849461e+18,1599.0,2MASS J00200446-6452282,8843-01706-1,,* zet Tuc,tic_near,1706.7468552126231,0.1622584760189056,1164.959442628905,0.1561394929885864,GaiaDR3,2023A&A...674A...1G,4.82,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,4.8,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,4.23,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.73,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.4,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.068,0.272,TIC,2019AJ....158..138S,2.738,0.218,TIC,2019AJ....158..138S,2.769,0.25,TIC,2019AJ....158..138S,3.667,2.224,4.07351016998291,0.0030110792033914,gaia_dr3,2023A&A...674A...1G,4.369476795196533,0.0030211108879807,3.600200653076172,0.0044539872670166,116.18257854098104,0.1333617120981216,GaiaDR3,2023A&A...674A...1G,8.606389045715332,0.0105361938476562,bj2021,2021AJ....161..147B,0,F9.5V,2006AJ....132..161G,1,5932.0,12.0,Pastel,2022A&A...663A...4S,4.382578242206663,0.0222262282117353,calculated_from_M_and_R,Calculated Value,4.43,0.03,Pastel,2022A&A...663A...4S,-0.21,0.01,Pastel,2022A&A...663A...4S,0.1084871975822302,0.0136674093800495,update_TIC,Calculated Value,1.0727387258312966,0.0174287865156918,calc_from_L_and_Teff,Calculated Value,1.0127413272857666,0.0400424301624298,gaia_dr3_flame,2023A&A...674A...1G,0,6.341630458831787,0.9713089466094972,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,1581,0.235,0.179,-4.85,5.0178,-64.8748
