,star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,HD,Simbad,RAJ2000,DEJ2000,EWHa,u_vsini,vsini,S,u_S,RHK,u_RHK
0,GAIA DR3 2881804450094712320,0.3486678,39.6103679,0.3485336972127692,39.61016425445,,2.8818044500947123e+18,2.8818044500947123e+18,,2MASS J00012366+3936381,2785-116-2,WDS J00014+3937B,HD 224873B,gaia dr3,-23.251845277350068,0.0255930759012699,-45.81522714556577,0.0243306271731853,GaiaDR3,2023A&A...674A...1G,,,,,10.51,0.04,Simbad 2002A&A...384..180F,2002A&A...384..180F,9.68,0.03,Simbad 2002A&A...384..180F,2002A&A...384..180F,,,,,,,,,7.132,0.02,GCNS,2021A&A...649A...6G,6.761,0.029,GCNS,2021A&A...649A...6G,6.682,0.02,GCNS,2021A&A...649A...6G,8.817721802866934,,9.431236267089844,0.0029742033371033,gaia_dr3,2023A&A...674A...1G,9.185297966003418,0.0497519149823997,7.974939346313477,0.0207207842460127,20.02757078505421,0.0370647460222244,GaiaDR3,2023A&A...674A...1G,49.87352752685547,0.0885372161865234,bj2021,2021AJ....161..147B,0,K1V,,1,5655.1767578125,359.318603515625,gspphot,2023A&A...674A...1G,4.800053214887555,0.1149237967369655,calculated_from_M_and_R,Calculated Value,4.605999946594238,0.0517001152038574,gspphot,2023A&A...674A...1G,-2.442800045013428,1.5503000617027285,gspphot [M/H],2023A&A...674A...1G,-0.471020466309567,0.0227431423740635,gaia_dr3_flame,2023A&A...674A...1G,0.6056894989092119,0.0785855238631852,calc_from_L_and_Teff,Calculated Value,0.8442783951759338,0.0437810719013214,gaia_dr3_flame,2023A&A...674A...1G,0,1.3180140256881714,3.143648289144039,gaia_dr3_flame,2023A&A...674A...1G,,1.334563,8.895423,2.8818044500947123e+18,1.334563,8.895423,2.8818044500947123e+18,1,1,B,1.4,-0.6799999999999997,,,,0,,224873.0,Simbad,00 01 23.66,+39 36 38.1,1.74,0,16.26,0.365,ok,-4.49,
1,TIC 120462356,1.46893719781,-41.75306833826,1.4695196103890231,-41.753408063428445,120462356.0,4.99585301464619e+18,4.99585301464619e+18,490.0,2MASS J00055255-4145109,7526-01226-1,,HD    105,tic_near,97.86264909476064,0.0167849380522966,-76.50209606515111,0.0180175304412841,GaiaDR3,2023A&A...674A...1G,,,,,8.13,,Simbad,,7.53,,Simbad,,,,,,,,,,6.464,0.02,TIC,2019AJ....158..138S,6.189,0.023,TIC,2019AJ....158..138S,6.117,0.02,TIC,2019AJ....158..138S,6.983,0.006,7.395555973052979,0.0028178987222646,gaia_dr3,2023A&A...674A...1G,7.684234142303467,0.0035059268531121,6.933504581451416,0.004131319088923,25.75341549347528,0.0211349688470363,GaiaDR3,2023A&A...674A...1G,38.80204391479492,0.0356121063232421,bj2021,2021AJ....161..147B,0,G0V,2006A&A...460..695T,1,6052.0,23.0,Pastel,2022A&A...663A...4S,4.437916132362831,0.0223915565047124,calculated_from_M_and_R,Calculated Value,4.52,0.06,Pastel,2022A&A...663A...4S,0.06,0.03,Pastel,2022A&A...663A...4S,0.0907860042884884,0.0129342157458892,update_TIC,Calculated Value,1.0098289297625327,0.0168830564800242,calc_from_L_and_Teff,Calculated Value,1.019398808479309,0.040006846189499,gaia_dr3_flame,2023A&A...674A...1G,0,5.509660243988037,0.9456555843353271,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,105.0,Simbad,00 05 52.55,-41 45 10.9,3.06,0,18.19,0.675,e,-4.03,e
2,TIC 405187645,2.10727337408,6.61680227297,2.1076643394278456,6.616794493147512,405187645.0,2.745647973856852e+18,2.745647973856852e+18,682.0,2MASS J00082573+0637004,0007-00632-1,,HD    377,tic_near,87.52487887794223,0.0376220606267452,-1.8270634766019809,0.0270057767629623,GaiaDR3,2023A&A...674A...1G,,,,,8.22,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.59,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,6.9,0.01,Simbad 2013ApJS..208...29W,2013ApJS..208...29W,6.422,0.021,TIC,2019AJ....158..138S,6.149,0.021,TIC,2019AJ....158..138S,6.116,0.021,TIC,2019AJ....158..138S,7.019,0.006,7.450479984283447,0.0027935635692406,gaia_dr3,2023A&A...674A...1G,7.757208347320557,0.0031440492598456,6.9722580909729,0.0040219418778234,26.03863506376948,0.0283437650650739,GaiaDR3,2023A&A...674A...1G,38.34118270874024,0.0405788421630823,bj2021,2021AJ....161..147B,0,G2V,2006A&A...460..695T,1,5872.0,25.0,Pastel,2022A&A...663A...4S,4.3945936081994805,0.022998486562434,calculated_from_M_and_R,Calculated Value,4.36,0.05,Pastel,2022A&A...663A...4S,0.14,0.03,Pastel,2022A&A...663A...4S,0.0623643479856314,0.0125172163176139,update_TIC,Calculated Value,1.038156255109271,0.0173772992112366,calc_from_L_and_Teff,Calculated Value,0.9751051068305968,0.0400103330612182,gaia_dr3_flame,2023A&A...674A...1G,0,7.743963241577148,1.0818264484405518,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,377.0,Simbad,00 08 25.74,+06 37 00.5,2.34,0,12.03,0.348,ok,-4.41,
3,TIC 22527304,2.84348905284,30.44957620134,2.8445698186203345,30.44973439006315,22527304.0,2.8615020323127235e+18,2.8615020323127235e+18,919.0,2MASS J00112240+3026584,2260-01042-1,,V* V344 And,tic_near,209.63854412992555,0.024008261039853,35.60075679661214,0.0212523955851793,GaiaDR3,2023A&A...674A...1G,,,,,8.719,0.017,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.941,0.011,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.5,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,6.576,0.021,TIC,2019AJ....158..138S,6.257,0.018,TIC,2019AJ....158..138S,6.176,0.021,TIC,2019AJ....158..138S,7.254,0.006,7.755166053771973,0.0027997612081563,gaia_dr3,2023A&A...674A...1G,8.128432273864746,0.0037194426521219,7.202911376953125,0.0041585002942342,29.342741057004893,0.023672753944993,GaiaDR3,2023A&A...674A...1G,34.0346794128418,0.0288372039794921,bj2021,2021AJ....161..147B,0,K0V,,1,5561.0,72.0,Pastel,2022A&A...663A...4S,4.454696747583339,0.0319961516301886,calculated_from_M_and_R,Calculated Value,4.57,0.09,Pastel,2022A&A...663A...4S,0.28,0.04,Pastel,2022A&A...663A...4S,-0.1501750181458348,0.0101376224242069,update_TIC,Calculated Value,0.9062736345508235,0.0257412404301525,calc_from_L_and_Teff,Calculated Value,0.8533905148506165,0.0400350987911224,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,691.0,Simbad,00 11 22.40,+30 26 58.4,2.2,0,10.0,0.388,ok,-4.47,
5,TIC 408012676,3.5427211342,-7.19911506268,3.543189503241177,-7.199416929309394,408012676.0,2.431157720981843e+18,2.431157720981843e+18,1134.0,2MASS J00141025-0711569,4670-00773-1,WDS J00142-0712AB,HD    984,tic_near,104.77489687706792,0.0362237282097339,-68.01622363512726,0.0216015093028545,GaiaDR3,2023A&A...674A...1G,,,,,7.82,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.32,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.402,0.023,TIC,2019AJ....158..138S,6.17,0.038,TIC,2019AJ....158..138S,6.073,0.021,TIC,2019AJ....158..138S,6.834,0.006,7.207706451416016,0.002793954761486,gaia_dr3,2023A&A...674A...1G,7.460301876068115,0.0031863341171468,6.791342735290527,0.003947931808889,21.8769778388611,0.0248588882386684,GaiaDR3,2023A&A...674A...1G,45.626739501953125,0.0507164001464843,bj2021,2021AJ....161..147B,0,F7V,1999MSS...C05....0H,1,6370.0,56.0,Pastel,2022A&A...663A...4S,4.359881163340964,0.0275832274565058,calculated_from_M_and_R,Calculated Value,4.57,0.26,Pastel,2022A&A...663A...4S,0.18,0.09,Pastel,2022A&A...663A...4S,0.3052992445110155,0.0171534688302548,update_TIC,Calculated Value,1.1668724935528103,0.0308538168852558,calc_from_L_and_Teff,Calculated Value,1.1372615098953247,0.0400028824806213,gaia_dr3_flame,2023A&A...674A...1G,0,3.720149278640747,0.6802127361297607,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,AB,0.2,6.119999999999999,,,,0,,984.0,Simbad,00 14 10.25,-07 11 57.0,2.99,1,42.13,0.296,ok,-4.43,
6,TIC 424009747,10.20529129129,40.18717214499,10.207364173636812,40.18419884311135,424009747.0,3.690925200048312e+17,3.690925200048312e+17,3206.0,2MASS J00404929+4011133,2801-00583-1,,HD   3765,tic_near,356.31823483004644,0.0241154227405786,-669.2052602194763,0.017625730484724,GaiaDR3,2023A&A...674A...1G,,,,,8.3,,Simbad,,7.36,0.03,TIC hipvmag,2019AJ....158..138S,6.8,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,5.694,0.024,TIC,2019AJ....158..138S,5.272,0.051,TIC,2019AJ....158..138S,5.164,0.016,TIC,2019AJ....158..138S,6.504,0.006,7.092674255371094,0.0027584773809275,gaia_dr3,2023A&A...674A...1G,7.567023277282715,0.0028096894744374,6.453561782836914,0.0038189925494677,55.84122126550314,0.0234738308936357,GaiaDR3,2023A&A...674A...1G,17.898330688476562,0.0079813003540039,bj2021,2021AJ....161..147B,0,K2V,1989ApJS...71..245K,1,5017.0,16.0,Pastel,2022A&A...663A...4S,4.541635960134147,0.0554160821680875,calculated_from_M_and_R,Calculated Value,4.57,0.05,Pastel,2022A&A...663A...4S,0.15,0.04,Pastel,2022A&A...663A...4S,-0.4176782926915413,0.0127328693827939,update_TIC,Calculated Value,0.8183240150503093,0.0130823553800604,calc_from_L_and_Teff,Calculated Value,0.85,0.105,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,1,HD 3765,3765.0,Simbad,00 40 49.29,+40 11 13.3,1.31,1,16.26,0.218,ok,-4.97,c
7,TIC 415775240,10.32223879524,34.4213439393,10.322484149410188,34.42117901039157,415775240.0,3.623582174415041e+17,3.623582174415041e+17,,2MASS J00411732+3425167,2283-01157-1,,V* QT And,tic_near,45.54069869701533,0.0154942404478788,-37.42479032156722,0.0123958894982934,GaiaDR3,2023A&A...674A...1G,,,,,10.91,0.06,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,9.98,0.04,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,9.46,,Simbad 2007A&A...467..785N,2007A&A...467..785N,,,,,8.01,0.023,TIC,2019AJ....158..138S,7.474,0.027,TIC,2019AJ....158..138S,7.35,0.023,TIC,2019AJ....158..138S,8.955,0.007,9.574109077453612,0.003387317607657,gaia_dr3,2023A&A...674A...1G,10.11100959777832,0.0068514353961384,8.885469436645508,0.0067799625502204,22.856415401276365,0.0162747707217931,GaiaDR3,2023A&A...674A...1G,43.68635559082031,0.0306777954101562,bj2021,2021AJ....161..147B,0,K1V,2018A&A...612A..96F,1,5174.0,68.0,Pastel,2022A&A...663A...4S,4.7677095358596855,0.0462707640959546,calculated_from_M_and_R,Calculated Value,4.57,0.1,Pastel,2022A&A...663A...4S,-0.01,0.07,Pastel,2022A&A...663A...4S,-0.6485297717174954,0.0327624984098347,update_TIC_gaia2,Calculated Value,0.5898409362163485,0.0271176451711253,calc_from_L_and_Teff,Calculated Value,0.7432103157043457,0.0400000214576721,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,8.029084,20.820105,3.6235821744115725e+17,8.029084,20.820105,3.6235821744115725e+17,0,0,,,,,,,0,,3765.0,Simbad,00 41 17.32,+34 25 16.8,-0.17,1,24.42,1.617,ok,-3.99,c
9,TIC 180871947,16.1672932248,-39.48821821376,16.166313593931406,-39.49056426831869,180871947.0,4.988158666635743e+18,4.988158666636598e+18,5054.0,2MASS J01044015-3929173,7533-01111-1,,HD   6434,tic_near,-170.032510067709,0.0209633279591798,-527.9456881222588,0.0220356602221727,GaiaDR3,2023A&A...674A...1G,,,,,8.32,,Simbad 1978AJ.....83.1087C,1978AJ.....83.1087C,7.71,0.12,Simbad 1978AJ.....83.1087C,1978AJ.....83.1087C,,,,,,,,,6.577,0.02,TIC,2019AJ....158..138S,6.272,0.033,TIC,2019AJ....158..138S,6.187,0.026,TIC,2019AJ....158..138S,7.146,0.006,7.572416305541992,0.0027604888395747,gaia_dr3,2023A&A...674A...1G,7.876255035400391,0.0028079759885803,7.096272945404053,0.0037941467097618,23.66725995268631,0.0251037459820508,GaiaDR3,2023A&A...674A...1G,42.20655822753906,0.0385169982910156,bj2021,2021AJ....161..147B,0,G2/3V,2007AJ....133.2524W,1,5763.0,16.0,Pastel,2022A&A...663A...4S,4.329817847728495,0.0215788090258372,calculated_from_M_and_R,Calculated Value,4.33,0.05,Pastel,2022A&A...663A...4S,-0.57,0.02,Pastel,2022A&A...663A...4S,0.0983989191813089,0.0114224926310701,update_TIC,Calculated Value,1.1234528887092317,0.0160371142212179,calc_from_L_and_Teff,Calculated Value,0.9836938381195068,0.0400028228759765,gaia_dr3_flame,2023A&A...674A...1G,0,8.52449893951416,1.0514812469482422,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,1,HD 6434,6434.0,Simbad,01 04 40.15,-39 29 17.4,2.37,0,2.0,0.396,ok,-4.32,
10,TIC 196692982,17.67460341304,42.93183161562,17.673669293671573,42.93094190794177,196692982.0,3.732089540992008e+17,3.732089540992008e+17,5521.0,2MASS J01104192+4255547,2808-00902-1,WDS J01107+4256A,V* V443 And,tic_near,-153.97429524785463,0.0257813390344381,-200.05232348177483,0.0198979321867227,GaiaDR3,2023A&A...674A...1G,,,,,8.391,0.024,TIC tycho2b3,2019AJ....158..138S,7.66,0.03,TIC hipvmag,2019AJ....158..138S,7.2,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,6.346,0.032,TIC,2019AJ....158..138S,6.029,0.027,TIC,2019AJ....158..138S,5.943,0.021,TIC,2019AJ....158..138S,7.001,0.006,7.48414421081543,0.0027758692335871,gaia_dr3,2023A&A...674A...1G,7.841663360595703,0.0029667859848417,6.951084613800049,0.0038424336007113,37.094598079938905,0.0208501555025577,GaiaDR3,2023A&A...674A...1G,26.934764862060547,0.0148801803588849,bj2021,2021AJ....161..147B,0,G7V,2007AJ....133.2524W,1,5463.0,33.0,Pastel,2022A&A...663A...4S,4.57056619234331,0.0567599316158811,calculated_from_M_and_R,Calculated Value,4.37,0.18,Pastel,2022A&A...663A...4S,-0.2,0.05,Pastel,2022A&A...663A...4S,-0.2458078196281044,0.0107327935695241,update_TIC,Calculated Value,0.8411749557804384,0.0145365736709255,calc_from_L_and_Teff,Calculated Value,0.96,0.121,TIC,2019AJ....158..138S,0,,,,,,,,,,,,1,1,A,152.3,2.380000000000001,,,,0,,6963.0,Simbad,01 10 41.92,+42 55 54.7,2.05,0,12.58,0.226,ok,-4.75,
11,TIC 439410069,19.10081305548,-12.09700148479,19.101421358445368,-12.0970230918941,439410069.0,2.468730472844294e+18,2.468730472844294e+18,5938.0,2MASS J01162417-1205493,5275-01029-1,,V* EW Cet,tic_near,133.88308020657234,0.0259269773960113,-4.972424836083219,0.0295897424221038,GaiaDR3,2023A&A...674A...1G,,,,,8.32,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.55,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.208,0.019,TIC,2019AJ....158..138S,5.828,0.04,TIC,2019AJ....158..138S,5.739,0.021,TIC,2019AJ....158..138S,6.86,0.006,7.363023281097412,0.0027789563031304,gaia_dr3,2023A&A...674A...1G,7.743495941162109,0.0030674513057117,6.810642719268799,0.0039404419008016,39.05021069563417,0.0244205445051193,GaiaDR3,2023A&A...674A...1G,25.5908145904541,0.0176200866699218,bj2021,2021AJ....161..147B,0,K0V,1988MSS...C04....0H,1,5432.0,21.0,Pastel,2022A&A...663A...4S,4.514980636112883,0.0235373904758889,calculated_from_M_and_R,Calculated Value,4.56,0.07,Pastel,2022A&A...663A...4S,0.03,0.03,Pastel,2022A&A...663A...4S,-0.239297772230881,0.0104191610366697,update_TIC,Calculated Value,0.8572040932515675,0.0122335747896186,calc_from_L_and_Teff,Calculated Value,0.8771653771400452,0.0404124557971954,gaia_dr3_flame,2023A&A...674A...1G,0,8.022255897521973,1.6455130577087411,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,7661.0,Simbad,01 16 24.18,-12 05 49.3,2.04,0,10.0,0.479,ok,-4.35,
