,star_name,gaiadr3,HD,S_value_median,vsini,age,baseline[yrs],cadence[obs/yr],cycle[yr]
0,TIC 12880347,2423292879948720000,1388,0.154,2.300,4.3,27,10.34,
1,TIC 37748347,2430102808294101760,1461,0.158,1.800,4.1,27,29.44,
2,TIC 20926643,2347427402266219008,3795,0.155,1.900,11.0,51,18.11,
3,TIC 92226990,2376087581593256448,4307,0.145,2.500,7.7,32,8.33,
4,TIC 257393898,2552925644460225152,4628,0.223,0.700,11.4,53,35.43,10.0
5,TIC 468723402,560130775546153344,7924,0.210,0.200,8.7,40,19.49,7.2
6,TIC 29845542,2477891500647336704,9562,0.137,4.200,5.0,52,59.92,
7,TIC 279209741,519478154178249728,10145,0.150,1.300,7.3,40,2.93,
8,TIC 113710966,96331172942614528,10476,0.186,0.100,8.1,52,44.86,10.3
9,TIC 456905162,95652018353917056,10697,0.149,1.500,7.2,41,4.64,
10,TIC 419015728,2452378776434477184,10700,0.169,0.100,12.4,52,48.24,
11,TIC 373694425,512167948043650816,10780,0.273,0.800,4.4,37,24.38,
12,TIC 250419029,2506906787870475904,13043,0.149,2.000,5.0,26,12.39,
13,TIC 365441779,14163878724940672,20165,0.205,1.600,7.5,41,4.21,7.8
14,TIC 435294041,56413781254974080,22072,0.131,0.100,10.7,52,18.96,
15,TIC 38511251,5164120762333028736,23249,0.136,0.100,6.7,52,25.58,
16,TIC 67772871,3195919528989223040,26965,0.196,0.500,12.8,52,30.82,9.9
17,TIC 409104974,188771135583573504,34411,0.146,0.100,4.8,41,6.01,
18,TIC 19631691,3402798414192387328,37124,0.181,0.300,11.6,41,2.49,
19,TIC 311063391,263916708025623680,37394,0.451,3.000,4.1,37,16.83,
20,TIC 42334982,3118434397663311360,45067,0.141,5.300,5.0,53,60.63,
21,TIC 80226651,3381727613874753536,50692,0.156,0.100,4.7,41,7.96,
22,TIC 91686663,887822001246832384,52711,0.158,0.100,5.1,41,9.80,11.0
23,TIC 171523537,876370076542359936,65583,0.167,0.100,13.3,41,4.38,
24,TIC 417762326,1092545710514654464,72905,0.360,9.600,1.3,41,20.59,
25,TIC 332064670,704967037090946688,75732,0.176,1.700,7.9,36,19.33,10.9
26,TIC 172954294,746545172372256384,86728,0.147,2.400,4.9,41,6.58,
27,TIC 219030951,3966121308211393920,100180,0.163,1.700,2.0,51,26.38,
28,TIC 101641846,4025850731201819392,101501,0.297,2.200,3.5,49,45.67,4.2
29,TIC 422478973,3507879565090229888,115617,0.164,0.800,7.1,41,44.98,
30,TIC 446436963,3654496279558010624,126053,0.166,0.100,6.5,54,23.47,
31,TIC 161058448,1606148310770764288,132142,0.169,0.400,12.5,42,2.75,
32,TIC 296740796,4430238051199001216,141004,0.156,2.000,4.8,53,39.35,
33,TIC 172607904,1191518146611956096,142267,0.174,0.100,7.5,35,3.69,
34,TIC 458494003,1323427759184545536,143761,0.149,0.100,8.4,54,86.60,
35,TIC 119985828,4464207428579939840,145958A,0.177,1.600,13.8,25,3.39,7.5
36,TIC 119985831,4464207428577214464,145958B,0.180,1.700,14.7,25,3.07,
37,TIC 135656809,4345775217221821312,146233,0.170,1.500,3.3,39,25.27,
38,TIC 326927305,4381250547575102208,152391,0.386,3.800,4.6,53,72.53,9.1
39,TIC 9728611,1333760419707327744,157214,0.155,0.100,8.0,41,6.67,
40,TIC 39464221,1335880415564253312,159222,0.174,1.000,1.6,41,7.17,
41,TIC 75946144,4610177733290768896,166620,0.185,0.100,12.4,54,32.95,17.0
42,TIC 123234496,2117279002732678656,173701,0.193,2.200,5.9,36,6.33,
43,TIC 20785413,2041085973668754176,176377,0.179,0.900,2.3,41,10.29,
44,TIC 42812945,2044341077844180736,178911B,0.179,2.200,4.3,24,1.77,
45,TIC 298896136,2132788541955849216,179957,0.149,0.100,7.9,41,7.64,
46,TIC 359981217,4315804351350378496,182572,0.148,1.300,6.6,52,41.26,
47,TIC 259237827,2261614264931057664,185144,0.214,0.500,8.8,42,49.21,6.2
48,TIC 27533341,2135550755683405952,186408,0.150,2.300,5.9,37,10.37,
49,TIC 27533327,2135550755683407232,186427,0.152,1.600,5.6,38,11.40,
50,TIC 375621179,4296708789290712064,188512,0.136,0.100,4.4,51,25.90,
51,TIC 105999792,2029433521248546304,190360,0.146,2.100,8.2,53,31.48,
52,TIC 275240386,1821708351374312064,190406,0.192,2.300,1.8,53,48.26,17.2
53,TIC 330872058,1814241194252808704,197076,0.179,0.100,3.4,42,8.40,
54,TIC 248854510,6912276699251278848,199960,0.145,2.600,4.0,34,6.00,
55,TIC 50227884,2619706544757416192,210277,0.153,0.100,9.6,38,6.71,
56,TIC 66549778,1988833504619793536,215704,0.248,1.500,3.8,37,3.39,
57,TIC 139298196,2835207319109249920,217014,0.149,2.000,4.7,53,31.97,
58,TIC 214664575,2411855072801159040,219834B,0.201,1.200,5.2,52,25.86,9.4
