hpic_name,StarName,Amp(S-value),Pcycle(yr)
TIC 403802333,HD 103932,0.5085,9.00
TIC 152738837,HD 104304,0.1643,10.00
TIC 66666079,HD 107148,0.1607,5.69
TIC 460814512,HD 110315,0.3774,11.81
TIC 288529330,HD 111031,0.1496,13.72
TIC 292113181,HD 114783,0.2055,9.10
TIC 393713800,HD 116442,0.1686,18.09
TIC 393713801,HD 116443,0.1880,14.24
TIC 202380743,HD 122064,0.2863,12.81
TIC 115110801,HD 122120,0.6042,20.86
TIC 203230367,HD 125455,0.1946,9.87
TIC 446436963,HD 126053,0.1660,17.53
TIC 27525457,HD 127334,0.1521,16.08
TIC 129383,HD 130992,0.3386,3.11
TIC 36981205,HD 136713,0.3320,6.85
TIC 148817611,HD 139323,0.2467,8.84
TIC 236316949,HD 144287,0.1673,19.29
TIC 318946785,HD 148467,0.7626,4.03
TIC 281738302,HD 149806,0.2244,6.71
TIC 20856917,HD 154088,0.1634,15.20
TIC 198562505,HD 154345,0.2320,6.95
TIC 142456308,HD 154363,0.5312,9.53
TIC 351654581,HD 155712,0.2296,9.33
TIC 232606278,HD 156279,0.1783,12.50
TIC 257715493,HD 156668,0.2462,11.38
TIC 188640759,HD 156985,0.3036,7.82
TIC 219880402,HD 158633,0.1780,11.83
TIC 270258076,HD 159062,0.1738,16.85
TIC 416117806,HD 168009,0.1616,17.52
TIC 133556737,HD 170493,0.4691,8.75
TIC 1544160,HD 172051,0.1719,8.36
TIC 394547839,HD 182488,0.1704,11.54
TIC 326096771,HD 192310,0.2171,10.67
TIC 188401533,HD 196761,0.1785,11.40
TIC 330872058,HD 197076,0.1886,5.31
TIC 365670764,HD 199305,1.6523,6.30
TIC 376363393,HD 202751,0.2474,12.49
TIC 399897311,HD 208313,0.3012,5.96
TIC 420814525,HD 209458,0.1616,4.79
TIC 270582021,HD 213042,0.4273,8.01
TIC 251042502,HD 215152,0.2642,8.04
TIC 60781630,HD 216259,0.1938,15.96
TIC 264899051,HD 216520,0.2015,19.19
TIC 278952345,HD 218566,0.2967,9.66
TIC 455819325,HD 218868,0.2133,4.84
TIC 283722336,HD 219134,0.2758,13.27
TIC 431698314,HD 219538,0.2516,7.09
TIC 49644110,HD 220339,0.2675,5.87
TIC 444314028,HD 221354,0.1599,18.84
TIC 114806039,HD 224619,0.1702,18.06
