hpic_name,tess_id,period_var(d),period_var_uncert(d),amp_var(ppm),amp_var_uncert(d),RMS(ppm)
TIC 230981971,230981971,1.371593,0.026229,3703.823724,0.274356,3236.770730
TIC 290374453,290374453,2.047058,0.059900,48.962552,0.197938,57.048793
TIC 308056612,308056612,8.710187,1.141770,360.363034,0.215985,280.478606
TIC 14725877,14725877,0.725475,0.009435,54.634068,0.663267,193.110988
TIC 159523958,159523958,0.710082,0.007568,96.466970,0.319240,255.118766
TIC 30504485,30504485,1.756648,0.073534,25.309799,0.298538,124.092903
TIC 279316667,279316667,0.552590,0.004174,18.856221,0.236846,94.077731
TIC 248409489,248409489,0.949786,0.013626,1247.482807,0.308460,1557.747449
TIC 63584475,63584475,6.185717,0.638549,153.765855,0.385075,194.525241
TIC 17668155,17668155,5.450357,0.395112,24213.979849,0.528691,19977.648690
TIC 228896480,228896480,0.819790,0.009247,548.510741,0.390413,973.784541
TIC 8200881,8200881,1.230406,0.023032,68.769141,0.428238,218.687871
TIC 432698066,432698066,0.110084,0.000157,1015.733744,0.485166,1183.260256
TIC 138128530,138128530,3.018408,0.134021,406.706139,0.625800,419.445732
TIC 350347140,350347140,0.081554,0.000105,3727.144654,1.580334,4936.877197
TIC 54137341,54137341,3.073552,0.179114,42.176321,0.768406,284.857381
TIC 154385728,154385728,2.926527,0.151878,215.114557,1.011941,454.457526
TIC 428698700,428698700,6.692626,0.978048,1829.069486,0.976937,2374.548842
TIC 379660147,379660147,4.588744,0.257328,66.022197,0.900066,185.254101
TIC 318163669,318163669,4.242915,0.278148,138.219780,0.966641,210.376659
TIC 284292958,284292958,2.378834,0.078796,114.077429,1.182772,380.381895
TIC 67906570,67906570,1.508577,0.027945,1355.369177,2.764716,2718.825809
TIC 286305421,286305421,10.318900,1.875497,169.126609,1.639343,340.974177
TIC 10839729,10839729,9.075037,1.604152,778.051368,3.414686,3436.090734
TIC 1961255595,1961255595,5.829141,0.532861,4831.456297,36.345950,10828.026832
TIC 471013491,471013491,5.411720,0.353720,6715.370160,4.539975,7637.766099
TIC 165558925,165558925,6.596032,0.573126,1192.632282,4.073677,2866.319958
TIC 149396581,149396581,9.931006,1.302249,118.766972,1.698273,272.445498
TIC 416187721,416187721,2.498753,0.106777,946.927391,4.458745,4608.673871
TIC 86519791,86519791,3.370244,0.172822,1793.373832,3.468312,1686.527219
TIC 135041892,135041892,10.450763,1.546398,442.296922,3.558095,1005.239232
TIC 88348779,88348779,3.730247,0.193431,480.635470,2.870560,1975.663377
TIC 161335008,161335008,11.110598,1.796459,108.709726,2.028954,320.070781
TIC 514810889,514810889,6.635694,0.609241,32417.517594,6.251582,55930.650306
TIC 950553243,950553243,0.727152,0.007322,10453.748977,4.936206,11705.096104
TIC 92357813,92357813,6.879463,0.534991,3150.630616,6.135261,3420.230452
TIC 1179719919,1179719919,5.279799,0.462897,5601.574224,10.561686,8159.342663
TIC 240283563,240283563,6.429640,0.688112,52.809067,2.581031,293.358877
TIC 502687433,502687433,4.582294,0.254523,14579.991984,6.057323,31509.486469
TIC 66389641,66389641,4.787518,0.348850,298.876210,1.030724,387.406605
TIC 458859916,458859916,0.485746,0.003420,256.954401,1.681673,315.382595
TIC 97815168,97815168,12.154410,2.457837,2056.636625,3.116229,1930.603338
TIC 229602478,229602478,11.126974,1.811175,272.636413,7.006471,831.380026
TIC 11895653,11895653,1.726486,0.047977,44.089627,0.746917,133.211426
TIC 254526194,254526194,7.273981,0.796812,3210.431561,10.185766,2789.843497
TIC 257505374,257505374,2.391379,0.089116,134.711222,4.647627,561.439037
TIC 423443452,423443452,0.821016,0.010519,760.142230,5.851717,848.742009
TIC 430590567,430590567,10.955539,1.870535,470.533174,7.024786,809.013546
TIC 22970702,22970702,0.461981,0.003099,696.832478,25.274878,2067.016986
TIC 22147322,22147322,4.255551,0.291665,309.252736,11.025965,1167.627194
TIC 385156830,385156830,11.482465,1.993092,973.640016,37.294826,3427.155607
TIC 437127546,437127546,5.771649,0.521263,1462.185638,16.486254,2133.524286
TIC 193149390,193149390,0.149851,0.000340,156.059391,11.814924,913.224948
TIC 72748505,72748505,7.839626,1.487052,308.021000,22.715297,2162.044763
TIC 124147486,124147486,0.593529,0.005281,2738.625558,35.330404,3770.242306
TIC 79310780,79310780,4.331251,0.267023,4827.440102,24.988764,3724.394610
TIC 209363450,209363450,11.269928,2.058695,243.341909,9.083328,868.827040
TIC 206436687,206436687,11.449108,1.384317,806.439629,31.947399,3084.345799
TIC 471012283,471012283,11.325994,1.319208,862.656604,31.322899,3080.040336
TIC 46504038,46504038,0.414321,0.002649,4335.719857,26.359718,4453.066824
TIC 286520195,286520195,1.663681,0.042017,7920.877091,22.025401,6035.879717
TIC 411628298,411628298,0.500440,0.003937,1813.846855,17.702799,1989.105456
TIC 283784587,283784587,0.799590,0.009301,5025.745683,4.615961,3889.822551
