star_name,gaiadr3,HD,Prot[d]
TIC 66409287,5031808453624044800,HD5133,
TIC 252191219,411413822074322432,HD6582,
TIC 189576919,348020482735930112,HD9826,
TIC 327507922,348515297330773120,HD10307,
TIC 113710966,96331172942614528,HD10476,
TIC 419015728,2452378776434477184,HD10700,
TIC 337046898,2521857809546128896,HD13421,2.173
TIC 4748040,5173902189571919872,HD16673,
TIC 326242565,5129338021224785408,HD17206,3.847
TIC 30016911,5160075762132996992,HD17925,7.150
TIC 61105191,109931856900594432,HD18940,10.25
TIC 365294034,6963761190199424,HD19019,13.18
TIC 116988032,436648129327098496,HD19373,
TIC 279069526,3261878613062758144,HD20619,21.18
TIC 343813545,3269362645115584640,HD20630,9.0
TIC 118572803,5164707970261890560,HD22049,11.76
TIC 435294041,56413781254974080,HD22072,
#TIC 38511251,5164120762333028736,HD23249,158?
TIC 9150015,3256786534197166208,HD25457,
TIC 15736408,53112944270520832,HD25680,
TIC 353257675,225668203191521280,HD25998,
#TIC 283792884,3285218186904332288,HD26923,60.4?
TIC 117979951,2980492387558410112,HD30495,11.83
TIC 47346402,3400292798990117888,HD35296,3.503
TIC 19631691,3402798414192387328,HD37124,
TIC 311063391,263916708025623680,HD37394,10.74
TIC 176521059,3023711269067191296,HD38858,
TIC 114776214,3399063235755057792,HD39587,5.136
TIC 91928222,3346787986201584896,HD39881,13.56
TIC 400316888,3453257133093515648,HD41330,23.44
TIC 153498031,3330062833797919744,HD42807,11.77
TIC 124494439,2913411183149615744,HD43162,7.077
TIC 265361101,3317901165746471552,HD43587,
TIC 42334982,3118434397663311360,HD45067,
TIC 328324648,976893923544104576,HD58855,16.27
TIC 417762326,1092545710514654464,HD72905,5.227
TIC 468986279,594989348593414016,HD72945,
TIC 284898141,716109930305855360,HD75332,3.870
TIC 46297363,609834198678048512,HD75528,
TIC 332064670,704967037090946688,HD75732,40.7
TIC 86177169,1040054235130174080,HD79028,30.8
TIC 11310083,5663558453071724288,HD84117,5.970
TIC 23969522,821455861647126656,HD84737,4.296
TIC 172954294,746545172372256384,HD86728,10.64
TIC 8154501,804739952015901056,HD89744,
TIC 21535479,777254360337133312,HD95128,24.8
TIC 85335212,761919883981626752,HD97334,7.93
TIC 380543530,3800758057928927872,HD100563,7.73
TIC 57611256,3478127463341507072,HD100623,27.5
TIC 101641846,4025850731201819392,HD101501,17.04
TIC 56812239,3598278250031419008,HD106116,8.671
TIC 176941311,3581001280225616128,HD106516,6.63
TIC 160010717,3957887649746830976,HD111395,14.05
TIC 138128530,3937881211045638400,HD114378,4.394
TIC 157272202,1566224665609504128,HD115043,5.861
TIC 397587084,3732539683617410816,HD115383,
TIC 422478973,3507879565090229888,HD115617,26.5
TIC 95473936,3740176925743994752,HD117176,23.44
TIC 101969923,6164998500516764160,HD118972,9.407
#TIC 72506701,1244571953471006720,HD120136,114?
TIC 1000275770,1244946371540479616,HD121370,2.946
TIC 459250741,1226796526941689856,HD124570,
TIC 6029884,3640828731549972480,HD124850,
TIC 446436963,3654496279558010624,HD126053,26.28
TIC 159613900,1668690628102524672,HD129333,2.620
TIC 311180437,1237090738916392704,HD131156,6.299
TIC 287157634,6232511606838403968,HD131977,33.1
TIC 1102093580,1588936345294751872,HD133640,
TIC 459427073,4423865487962417024,HD140538,
TIC 157364190,1384195086792268800,HD142373,
TIC 95789856,6035927380304634240,HD145825,
TIC 135656809,4345775217221821312,HD146233,
TIC 159511543,1709456705329541504,HD150706,
TIC 9728611,1333760419707327744,HD157214,
TIC 164139204,4373199682919943808,HD158614,5.00
TIC 39464221,1335880415564253312,HD159222,17.42
TIC 462666639,4553915070463303168,HD159332,25.6
TIC 416117806,2115351387048328832,HD168009,5.985
TIC 394647304,4513165073646443008,HD178428,
TIC 27533341,2135550755683405952,HD186408,
TIC 27533327,2135550755683407232,HD186427,
TIC 274764311,2061876742143320064,HD190771,
TIC 64804337,2063583390317759616,HD196850,
TIC 330872058,1814241194252808704,HD197076,
TIC 165602000,1872046609345556480,HD201091,34.1
TIC 326202925,1896396703077703936,HD207978,3.197
TIC 318705095,2717930312217660928,HD216385,
TIC 139298196,2835207319109249920,HD217014,38.0
TIC 117956546,2853900872207888768,HD224930,15.01
