,star_name,gaiadr3,HD,logRHK
0,TIC 267083739,4703237305087371264,224789,-4.510
1,TIC 258866681,2848150288954631168,225261,-4.970
2,TIC 327857952,4706630501049679872,55,-4.840
3,TIC 439949948,386653747925624576,38,
4,TIC 238432056,2860924621205256704,166,-4.353
5,TIC 289624436,2417456431710276096,361,-4.770
6,TIC 357370384,2772804845911842816,,
7,TIC 437739969,2856765684112654336,,
8,TIC 201293664,4918476567469050880,870,-4.720
9,TIC 290543478,4634528720388462592,1237,-4.408
10,TIC 352179145,383426372059603712,,
11,TIC 12880347,2423292879948720128,1388,-4.965
12,TIC 194531699,379582273249916416,1562,-4.870
13,TIC 184281898,2423493369021649920,1835,-4.441
14,TIC 246852823,2322574488107786752,2025,-4.870
15,TIC 281498595,4923433303326992384,2071,-4.875
16,TIC 428735585,537767121355864448,,
17,TIC 191204685,381634580422627584,3141,-4.970
18,TIC 425940518,4900637266186106880,3222,-5.020
19,TIC 20926643,2347427402266219008,3795,-5.074
20,TIC 251883728,5006921282807193600,,
21,TIC 267803418,362082308742525824,,
22,TIC 234501204,4708607629114651648,4308,-4.923
23,TIC 257392565,2549518150551364608,4256,-4.925
24,TIC 183564258,4986970575602213888,4378,-4.680
25,TIC 369395755,2348830516542653952,4747,-4.745
26,TIC 281764250,4921063993207393280,4838,-4.410
27,TIC 333606239,2525514785221197824,4915,-4.835
28,TIC 435874566,2788907296779604992,4913,-4.640
29,TIC 312545623,424422281584852352,,
30,TIC 28053245,2349206308999273984,4967,-4.570
31,TIC 66409287,5031808453624044544,5133,-4.625
32,TIC 13961725,2804011562888218112,5294,
33,TIC 351961693,532855499837123584,5351,-4.910
34,TIC 234517584,4710180171260274688,5633,-4.680
35,TIC 379166346,532870034006715264,5996,-4.340
36,TIC 326105628,5034869184758130688,6378,-4.620
37,TIC 15611379,306637167168935168,,
38,TIC 384882785,2783518212334778880,6440,-4.690
39,TIC 402028045,4928317368337018880,6673,-4.880
40,TIC 52626846,523433578540463488,,
41,TIC 67583849,5027726757224514560,,
42,TIC 243187830,2791782794564103680,6660,-4.640
43,TIC 408251015,2784924659505377280,,
44,TIC 196692982,373208954099200768,6963,-4.630
45,TIC 11518255,5040737312674978816,7279,-4.600
46,TIC 439410069,2468730472844294144,7661,-4.410
47,TIC 196841006,373349657227961472,7590,-4.457
48,TIC 248387672,2531792756096759296,7727,-4.940
49,TIC 248391508,2533723670313664000,7895,-4.710
50,TIC 420658458,565471721996476160,,
51,TIC 468723402,560130775546153344,7924,-4.830
52,TIC 411629521,2786115533677290496,8262,-4.925
53,TIC 140461242,5016175391142088704,,
54,TIC 32550429,2456361448068627456,8389,-5.020
55,TIC 381316671,288781167053300480,8997,-4.450
56,TIC 55857787,5038817840251308032,9540,-4.600
57,TIC 29900813,2477815222028038144,10008,-4.397
58,TIC 346923890,2585856120791459840,9986,-4.875
59,TIC 327349605,350664155368182656,10086,-4.605
60,TIC 231005905,4911306239828325376,10360,-4.795
61,TIC 229137615,4912580642524184576,10647,-4.680
62,TIC 88775119,2575383100738086912,10853,-4.390
63,TIC 20931913,305334280250112896,11007,
64,TIC 26895191,302447890428345088,11130,-5.060
65,TIC 266680951,5134635708766251008,11507,-4.550
66,TIC 302618307,518458597663391744,11373,-4.410
67,TIC 231861553,4714571105305843712,12058,-4.420
68,TIC 284013790,304991163902854784,12051,-5.035
69,TIC 257500724,5147846340974080000,12786,-4.410
70,TIC 63468501,301230078221434880,,
71,TIC 357744191,522135261462534528,12800,
72,TIC 290172418,5144740907820132352,,
73,TIC 220017951,4937000898856156160,13445,-4.697
74,TIC 70514365,4968258979345754112,13513,-4.700
75,TIC 220022156,4743692151804240896,13808,-4.970
76,TIC 302411994,5143621433184275456,,
77,TIC 184735829,333106054183616000,13507,-4.465
78,TIC 268804174,5124636303346779136,,
79,TIC 184737443,333053037107550080,13531,-4.395
80,TIC 332819192,2493069773336749056,13789,-4.420
81,TIC 118295030,101309452355657216,13825,-4.920
82,TIC 379603165,520377795206114688,13579,-4.670
83,TIC 632519156,5143341366956993536,14001,-4.530
84,TIC 301092256,455517325107520256,,
