,star_name,gaiadr3,HD,logRhk
0,TIC 175800228,6337402473507040512,HD132052,-4.39
1,TIC 245368902,2832463659640297472,HD218396,-4.19
2,TIC 1628071,3526420114274019456,HD109085,-4.52
3,TIC 104572330,4177224620176470912,HD164259,-4.49
4,TIC 281812116,3113219383954556416,HD49933,-4.49
5,TIC 114435313,2349940954566607488,HD4247,-4.32
6,TIC 18809756,4113072720923097600,HD153363,-4.48
7,TIC 371127111,4286583352361701632,HD171834,-4.44
8,TIC 383518546,5303126622967647488,HD77370,-4.49
9,TIC 284120761,2475331528340199936,HD7439,-4.87
10,TIC 220436223,4762394397915837056,HD31746,-4.52
11,TIC 219367750,4785713458992582272,HD32743,-4.62
12,TIC 248411315,3212075924646082176,HD33256,-4.83
13,TIC 423245334,5618420137803147008,HD60584,-4.57
14,TIC 405148007,6148648281576023424,HD104731,-4.71
15,TIC 53304943,3679242575447826432,HD111998,-4.63
16,TIC 308210818,3511640513332581504,HD114642,-4.71
17,TIC 237622598,4190374813602603392,HD187532,-4.49
18,TIC 269995013,6805455124526007424,HD197692,-4.52
19,TIC 399665349,3288921720025503360,HD30652,-4.65
20,TIC 93280676,2964000159821218432,HD38393,-4.88
21,TIC 422142487,5725122999630404096,HD68146,-4.92
22,TIC 308844962,5289757523635492096,HD68456,-4.54
23,TIC 382969293,5317114850417299584,HD76653,-4.51
24,TIC 449486081,5229569879178155264,HD93372,-4.67
25,TIC 52160996,3551002857809958400,HD94388,-4.89
26,TIC 40535161,3585098090614578688,HD101198,-4.98
27,TIC 278175826,5833702727880302592,HD139211,-4.94
28,TIC 29495621,6802426038708609536,HD199260,-4.45
29,TIC 97402436,6612242034982766848,HD210302,-4.86
30,TIC 234968549,6489909443564308224,HD219482,-4.42
31,TIC 360689837,6643589352010758400,HD181327,-4.53
32,TIC 238815210,6408937971321777152,HD207575,-4.35
33,TIC 53134037,4048037707717866880,HD169830,-4.98
34,TIC 439213914,4182958848189670016,HD184985,-4.96
35,TIC 6029884,3640828731549972480,HD124850,-4.66
36,TIC 419919445,2756363608023588864,HD222368,-4.87
37,TIC 289673491,2416611663182821120,HD693,-4.94
38,TIC 24921603,2467122570235222016,HD11226,-5.00
39,TIC 93281916,2966790170574625408,HD38382,-4.91
40,TIC 386563653,3754435186374119424,HD91889,-4.90
41,TIC 49099038,5451896799663667200,HD95456,-4.94
42,TIC 290058172,3606091998132474752,HD119638,-4.88
43,TIC 345176811,6365296911707684352,HD171990,-5.08
44,TIC 250080475,2633449134434620288,HD221356,-4.91
45,TIC 332800044,2494066897240089728,HD13612,-4.94
46,TIC 421472503,5848156426657892480,HD128020,-4.93
47,TIC 425935521,4900108950849461248,HD1581,-4.93
48,TIC 183587877,4987736999629756800,HD6735,-4.87
49,TIC 248381971,2482820714353923072,HD7449,-4.86
50,TIC 54018090,2453895484005571200,HD9782,-4.97
51,TIC 301564622,3250489115709122560,HD22879,-4.90
52,TIC 206402844,4733035238430992768,HD23079,-4.94
53,TIC 206412735,4832401540206966656,HD23456,-4.91
54,TIC 420964096,2964794041574370560,HD36108,-4.98
55,TIC 260266504,5482551183847322752,HD44120,-5.06
56,TIC 372914091,5291028181119851776,HD65907A,-4.91
57,TIC 271677262,5693255510530645120,HD70889,-4.78
58,TIC 180497060,5528565470596048256,HD73121,-5.03
59,TIC 181741837,5524982093479504384,HD75289,-5.05
60,TIC 405485269,5691782130578684544,HD82943,-4.97
61,TIC 58596146,6189254689097655552,HD117105,-4.93
62,TIC 396255306,5790389872417570816,HD122862,-5.00
63,TIC 83391616,6270906415441316224,HD125276,-4.83
64,TIC 157921708,5975810379449715968,HD157338,-4.95
65,TIC 22295632,5956907713041688960,HD162396,-4.97
66,TIC 205253565,4199928848101663104,HD180409,-4.92
67,TIC 265488188,6401464693867773568,HD203608,-4.82
68,TIC 229137615,4912580642524184960,HD10647,-4.76
69,TIC 381949122,4763906879239461632,HD33262,-4.40
70,TIC 447823435,5357075947709011456,HD91324,-4.97
71,TIC 20997718,4400452830957830656,HD138763,-4.38
72,TIC 12880347,2423292879948720000,HD1388,-4.97
73,TIC 281667171,4906784051581971200,HD3823,-4.99
74,TIC 92226990,2376087581593256448,HD4307,-5.04
75,TIC 328159699,2505825177666430592,HD11505,-4.98
76,TIC 332891271,2500695921563092736,HD14374,-4.67
77,TIC 279649049,4722135642226902656,HD20807,-4.88
78,TIC 323296273,4859696950726480512,HD21938,-4.90
79,TIC 250161098,3254366302946985600,HD27063,-4.73
80,TIC 146322354,2972622770521857664,HD31527,-4.93
81,TIC 43472394,3183354619344258304,HD31822,-4.85
82,TIC 43650034,3181805854137838464,HD32724,-5.01
