star_name,gaiadr3,HD,Prot[d]
TIC 114776214,3399063235755057792,HD39587,5.36
TIC 124494439,2913411183149615744,HD43162,7.10
TIC 417762326,1092545710514654464,HD72905,5.22
TIC 332064670,704967037090946688,HD75732,37.4
TIC 85335212,761919883981626752,HD97334,7.94
TIC 101641846,4025850731201819392,HD101501,16.06
TIC 160010717,3957887649746830976,HD111395,16.17
TIC 157272202,1566224665609504128,HD115043,5.87
TIC 101969923,6164998500516764160,HD118972,9.41
TIC 287157634,6232511606838403968,HD131977,32.5
