,star_name,gaiadr3,HD,Prot[d]
0,TIC 113710966,96331172942614528,HD10476,33.7
1,TIC 278962915,19316224572460416,HD16160,57
2,TIC 67772871,3195919528989223040,HD26965,43
3,TIC 213041474,3211461469444773376,HD32147,39.3
4,TIC 46802551,5745464991235898752,HD81809,39.3
5,TIC 309599261,4034171629042489088,HD103095,36.5
6,TIC 349491678,4377160604838377600,HD160346,35.3
7,TIC 75946144,4610177733290768896,HD166620,41.5
8,TIC 165602000,1872046609345556480,HD201091,37.1
9,TIC 214664575,2411855072801159040,HD219834B,34.0
10,TIC 184281898,2423493369021649920,HD1835,7.84
11,TIC 343813545,3269362645115584640,HD20630,9.08
12,TIC 62569281,5760701787150565888,HD76151,15.2
13,TIC 355127594,714116137767540096,HD78366,9.7
14,TIC 353969903,762815470562110464,HD95735,54
15,TIC 219030951,3966121308211393920,HD100180,14.6
16,TIC 445070560,1460229442589223424,HD114710,12.9
17,TIC 373765355,3936909723803146368,HD115404,18.8
18,TIC 311180437,1237090738916392704,HD131156A,6.25
19,TIC 1101124559,1237090738916392832,HD131156B,11.05
20,TIC 58092025,4358031335898505472,HD149661,21.3
21,TIC 326927305,4381250547575102208,HD152391,11.4
22,TIC 79841001,4109034455276324608,HD156026,29.2
23,TIC 1674663309,4468557611984384512,HD165341A,18.9
25,TIC 275240386,1821708351374312064,HD190406,15.5
26,TIC 165602023,1872046574983497216,HD201092,34.1
