star_name,gaiadr3,S_value_median,logrhk_median
TIC 143096123,4544178448320963840,0.1517,
TIC 292113181,3684934540986187776,0.19805,-5.220414257761878
TIC 123838254,3050309864100076544,0.1418,
TIC 101145648,2919760965880144384,0.1441,
TIC 282854588,1027330446055197952,0.1472999999999999,
TIC 262501618,3239548665775613056,0.16125,
TIC 396944733,3259401379007760640,0.2058,-5.052418619738478
TIC 437325588,6288325222245417856,0.6992,-4.742230398025465
TIC 682491,4879850208590379904,0.5751,-4.540930315068859
TIC 279182339,5170039467784804096,0.6854,-4.6135304632970096
TIC 437701837,2598935670597134464,0.1305999999999999,-5.147198484962952
TIC 291067698,4456798781792997888,0.2737999999999999,-4.612870532424838
TIC 461330181,4420712604009198080,0.2451,-4.9123961689055715
TIC 351654581,4548462729742343296,0.19835,-5.0565476729048795
TIC 275633056,2142179058450057856,0.1671999999999999,-6.456781430377192
TIC 292851928,351537889154226816,0.1408,
TIC 17038893,2067948245320365184,0.1658999999999999,-5.609040263062702
TIC 379117362,3721126409323324416,0.1285999999999999,
TIC 407590949,747090839376823552,0.1397499999999999,
TIC 59476871,4367026303085396352,0.1418,
TIC 49831913,2898239468873596800,0.156,
TIC 12880347,2423292879948720000,0.1499999999999999,
TIC 259254485,435646474233078144,0.1543999999999999,
TIC 205591703,6904703228801028864,0.1331,
TIC 33524788,5025366311917644416,0.16325,
TIC 468418392,482846859145086208,0.2295,-4.735359190882933
TIC 203230367,3642413746280598784,0.1851999999999999,-5.2272419099966925
TIC 220204291,3326573774163806336,0.1426999999999999,
TIC 375008312,1747786539668366848,0.2667499999999999,-4.816682584126119
TIC 142456308,4364527594192166400,0.4820999999999999,-4.749187441290612
TIC 185260035,3591819100253606784,0.2485,-4.553356140629819
TIC 327519289,4303364682926575744,0.1366999999999999,
TIC 147718994,3646061719703116032,0.1552999999999999,
TIC 288529330,3529518709839090176,0.1369,
TIC 25994436,3083867749248355456,0.2661,-4.925688808670601
TIC 64804337,2063583390317759616,0.1489999999999999,
TIC 327860248,4375233191015944192,1.5219,-4.534648771857126
TIC 124494439,2913411183149615744,0.3352,-4.396180444036846
TIC 415868365,2723309333554727936,0.18065,-5.375841114312088
TIC 365670764,2195886971653527168,1.5657,-4.67837294515793
TIC 229047482,6187271616797377152,0.7226,-4.852141050449
TIC 142962481,1681330368961561984,0.3146999999999999,-4.325225504213258
TIC 161058448,1606148310770764288,0.1587,-6.351778246481687
TIC 38271828,2648914040357320576,0.1371999999999999,
TIC 66666079,3693358861640279296,0.1431,
TIC 359676790,2154880616774131840,0.41605,
TIC 284620820,3111942885310862848,0.1398,
TIC 435907579,47345009348203392,0.3155,-4.441855539379331
TIC 295742782,3033005406506033664,0.16335,
TIC 38086286,3786697056556771584,0.1736999999999999,-5.793379927661803
TIC 153289168,3319126988068404096,0.153,
TIC 391844777,3750995604764854400,0.1642,
TIC 48622550,2899947933845777920,0.1391999999999999,
TIC 441120034,6810896745007524736,0.2255,-4.904670078404347
TIC 82308728,3997075206232885888,0.18855,-5.227472960239193
TIC 379603165,520377795206114688,0.3196999999999999,-4.63045734546518
TIC 6041460,3639760521643499776,0.1356,
TIC 347572104,6989290475763456,0.1511,
TIC 116611574,439357119819592960,0.1494999999999999,
TIC 198562505,1359938520253565952,0.1783,-5.551732436261119
TIC 200093173,3219847066672970368,0.1489,-5.6636854738131746
TIC 405501056,6166183842771027328,0.13815,
TIC 283712633,1736965554247359232,0.2504,-4.709492265785686
TIC 416882160,263696736979837312,0.3462,-4.476709998114206
TIC 274545692,272855565763652480,1.7073,-4.498918552716265
TIC 129283354,1927832221552344576,0.1839,-5.482398294807493
TIC 6840462,4253017049075877120,0.1481,-5.850495484875682
TIC 116385975,1391009653702531072,0.163,
TIC 173106845,1453180404823190912,0.83345,-4.353038603224791
TIC 346923890,2585856120791459584,0.16125,
TIC 468810471,1107146846976017152,0.3770999999999999,
TIC 257393898,2552925644460225152,0.1993,-4.979382394841242
TIC 133556737,4270446404294208000,0.4279,-4.688275252536036
TIC 282210766,3101923001490347392,0.6431999999999999,-4.48709622542681
TIC 11649919,5037053227167460352,0.2736,-4.802976907786967
TIC 392572237,2154880616774131712,0.5964,
TIC 307624961,5726982995343100928,0.16605,-8.392731065041056
TIC 9001924,732856080807636224,1.19475,-4.8067760155912875
TIC 441003396,6224560144909475840,0.2717999999999999,-4.546068685116232
TIC 279069526,3261878613062758144,0.1773,-5.877092633152067
TIC 335661520,1721626615421969408,0.2223999999999999,
TIC 467753728,169149766470219520,0.1293,
TIC 378993741,3719665845564967552,0.5875,-4.445745532822414
TIC 286992966,1480314599451475712,0.517,-4.689946029507811
TIC 310137822,1597204161635741952,0.2565,-4.643739281217564
TIC 243962745,4224259562941398400,0.4723499999999999,-4.450599069308638
TIC 234831602,3130091149360313984,0.1696,-6.0465638466791285
TIC 16465196,4157584215800708736,0.1361,
TIC 318946785,4439625337884136064,0.7721,-4.697720220981904
TIC 435479953,2028211207952435840,0.1948999999999999,-5.148707362546635
TIC 282843610,1858219151114884352,0.8247999999999999,-4.4637775202806385
TIC 309599261,4034171629042489088,0.1674499999999999,-4.908034346354825
TIC 414587194,2007876324472098432,0.8249999999999998,
TIC 137958028,1045525233191254784,0.6404999999999998,-5.359352361903598
TIC 30293512,6141742283401003264,0.13125,
TIC 435294041,56413781254974080,0.1223,
TIC 60781630,2720132500864789760,0.1814999999999999,-5.063727578704603
TIC 422617879,2647148976301673472,0.1492,
TIC 138350803,552477109464650752,0.3813499999999999,-4.34405747044526
TIC 172734582,2918894859953947392,0.14405,
TIC 189694184,3650718804281798912,0.2200999999999999,-4.9049810397970655
TIC 73626552,132922438878995968,0.1469999999999999,
TIC 437011608,3368214650329888512,0.2933999999999999,-4.497477829205395
TIC 211217450,6735442725215002112,0.1962499999999999,-5.092677007788416
TIC 446436963,3654496279558010624,0.1559,
TIC 383068976,6034115964943993472,0.1235,
TIC 99381773,1571411233756646656,0.5589,-4.397075882763197
TIC 219880402,1637110042813188608,0.1711,
TIC 100711809,4187837450005193088,0.5327,-4.354532621458621
TIC 157921708,5975810379449715968,0.1401,
TIC 36954567,3775795982881589376,0.16525,
TIC 217856007,2815678171532956288,0.1246,
TIC 200385493,4810594479418041856,0.5826,-5.686706632381688
TIC 71561609,1098326392897863680,0.1504999999999999,
TIC 450354414,1185619988280226944,0.2819999999999999,-4.6534000812117196
TIC 59846132,2937506911753275008,0.1237,
GAIA DR3 145325548516513280,145325548516513280,0.3427,-4.39637912704209
TIC 250419029,2506906787870475904,0.1429,
TIC 50226706,4508601275714721152,0.1608,
TIC 21267079,951427000863064192,0.184,-5.282340108891681
TIC 407591082,747266452000257280,0.2524,-4.794768526457378
TIC 125918626,154660191781205120,0.1864,-5.040518600764713
TIC 14859653,882410278028835584,0.2280499999999999,-4.788371662125383
TIC 230073588,1642642957122493824,1.21365,-4.928179900825759
TIC 168158191,5465685637549838976,0.4174999999999999,-4.411471535390511
TIC 70829383,5446332686714616448,0.1405,-5.552551917519068
TIC 100408043,1905796874660633344,0.1540999999999999,
TIC 24467943,1995681125599758592,0.1357499999999999,
TIC 136762118,2164004914017788032,0.1449,
TIC 37748347,2430102808294101760,0.14465,
TIC 58360410,4354950641755249024,0.15175,
TIC 281446108,4298143102210310272,0.2238999999999999,-4.798806422929176
TIC 160010717,3957887649746830976,0.25045,-4.400767526195044
TIC 91686663,887822001246832384,0.14695,
TIC 397354290,3409711211681795584,1.4617,-4.764579978307923
TIC 19631691,3402798414192387328,0.17015,
TIC 428673146,3494677900774838144,0.3682,-4.590400915022721
TIC 258038021,1781003885454165888,0.54515,-4.353708402423415
TIC 50726077,3209938366665770752,1.9366,
TIC 72052060,6859076107589173120,0.1414,
