star_name,vsini,e_vsini,l_vsini,RHK,e_RHK,S,e_S
TIC 22527304,10.0,0.0,True,-4.47,0.1,0.388,0.072
TIC 408012676,42.13,1.65,False,-4.43,0.22,0.296,0.104
TIC 440109725,20.48,0.0,True,,,0.568,0.101
TIC 440109718,18.9,0.0,True,,,1.083,0.181
TIC 424009747,16.26,5.07,False,-4.97,0.1,0.218,0.043
TIC 415775240,24.42,2.2,False,-3.99,0.11,1.617,0.259
TIC 180871947,2.0,0.0,True,-4.32,0.11,0.396,0.074
TIC 196692982,12.58,0.0,True,-4.75,0.14,0.226,0.045
TIC 439410069,10.0,0.0,True,-4.35,0.1,0.479,0.087
TIC 10802452,10.0,0.0,True,-4.25,0.09,0.619,0.11
TIC 186530059,10.0,0.0,True,-4.65,0.12,0.278,0.054
TIC 191770861,14.34,0.0,True,-4.5,0.24,0.263,0.093
TIC 18251910,19.33,4.22,False,-4.59,0.13,0.277,0.053
TIC 373694425,10.0,0.0,True,-4.77,0.22,0.237,0.085
TIC 60959951,12.38,0.0,True,-4.56,0.12,0.292,0.056
TIC 266746662,13.46,0.0,True,-4.16,0.09,0.575,0.103
TIC 306426710,15.69,0.0,True,-4.57,0.12,0.286,0.055
TIC 184735829,10.0,0.0,True,-4.69,0.14,0.235,0.046
TIC 184737443,10.0,0.0,True,-4.63,0.13,0.265,0.051
TIC 63782132,10.0,0.0,True,-4.9,0.19,0.171,0.035
TIC 408825594,23.69,3.23,False,-3.83,0.08,0.948,0.16
TIC 30016911,10.0,0.0,True,-4.52,0.09,0.443,0.081
GAIA DR3 437576632532294272,15.16,0.0,True,-4.82,0.15,0.519,0.173
TIC 61105191,10.0,0.0,True,-4.64,0.14,0.241,0.047
TIC 365294034,10.0,0.0,True,-4.75,0.17,0.196,0.039
TIC 88481300,10.0,0.0,True,-4.52,0.12,0.313,0.06
TIC 23220549,10.0,0.0,True,-4.4,0.11,0.444,0.081
TIC 49906916,62.77,3.01,False,-4.34,0.11,0.346,0.065
TIC 445925825,10.0,0.0,True,-4.73,0.16,0.209,0.042
TIC 142875660,10.0,0.0,True,-4.61,0.12,0.278,0.054
TIC 316960830,10.0,0.0,True,-4.84,0.12,0.238,0.047
TIC 301564622,10.0,0.0,True,-5.04,0.25,0.146,0.03
TIC 9150015,23.86,3.41,False,-4.5,0.13,0.266,0.052
TIC 283826260,10.0,0.0,True,-4.62,0.14,0.252,0.049
TIC 250193088,10.17,0.0,True,-4.67,0.14,0.241,0.047
TIC 435926536,11.54,0.0,True,-4.58,0.13,0.277,0.053
TIC 59087638,10.0,0.0,True,-4.47,0.12,0.301,0.058
TIC 17409930,10.0,0.0,True,-4.33,0.09,0.698,0.122
TIC 448847484,30.27,2.32,False,-4.53,0.13,0.256,0.05
GAIA DR3 3313743710417140864,15.68,0.0,True,-4.52,0.12,0.297,0.057
TIC 60903802,13.72,0.0,True,-4.62,0.13,0.271,0.052
TIC 373027194,14.8,4.15,False,-4.55,0.13,0.261,0.051
TIC 245792139,14.63,0.0,True,-4.59,0.13,0.256,0.05
TIC 245794704,10.35,0.0,True,-4.52,0.11,0.387,0.072
TIC 245800048,10.0,0.0,True,-4.29,0.09,0.738,0.128
TIC 245826993,10.0,0.0,True,-4.39,0.11,0.338,0.064
