,angDist,Name,SimbadName,HIP,B-V,VMAG,GSVal,log(R'HK),Per,l_log(Age),log(Age),Svalues,_RA,_DE,recno,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP_1,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID
0,0.14862,161555,HIP 86985,86985,0.671,3.63,0.144,-5.11,31.0,,9.91,Svalues,266.6325,-7.9857,892,297814619,266.63250451769,-7.9856589599,266.633,-7.986,90,86985,5661-00145-1,411-071649,17463180-0759083,,J174631.80-075909.8,4165670677112907776,4261510,,STAR,tmgaia2,tmgaia2,-1.664,0.091,-148.901,0.076,gaia2,16.7575,0.053,gaia2,7.967,0.023,7.35,0.03,,,,,,,,,,,6.211,0.023,5.894,0.034,5.816,0.027,AAA-111-111-000-0-0,5.796,0.166,5.747,0.049,5.833,0.016,5.796,0.049,7.18707,0.00026,6.759,0.006,gbprp,spect,5828.9,105.5,3.9306,0.071,0.1225,0.0195,1.838,0.077,1.05,0.127,0.1691,0.0331,DWARF,3.51294,0.0956,59.573,0.1893,0.0,0.0,761,0.0029,,,0.002785,0.0,0.0,,0.115,0.139,0.087,0.067,0.0259,0.0403,0.0721,0.0699,0.09563,0.09557,0.1888,0.1899,bj2018,115.1,95.9,spect,7.54103,0.001756,6.72575,0.003458,1,hipvmag,apassdr9,,1.41996507407,1.17844086196,266.63249728274,-7.98630006143,0.0470840898,0.04384586684,1,0,1331311902
1,0.19261,,HIP 87062,87062,0.605,5.67,0.165,-4.94,19.0,,9.66,Svalues,266.8665,-8.7799,893,298156358,266.86654728959,-8.77992604485,266.868,-8.781,90,87062,5661-00873-1,407-072575,17472796-0846474,,,4165370682239909888,4263382,,STAR,tmgaia2,tmgaia2,246.341,0.094,-364.259,0.078,gaia2,8.6445,0.0636,gaia2,11.153,0.011,10.6,0.03,,,,,,,,,,,9.172,0.026,8.863,0.042,8.77,0.021,AAA-112-111-000-0-0,,,,,,,,,10.3514,0.000432,9.883,0.006,rered,spect,5941.0,135.4,4.6578,0.081,-1.4573,0.0191,0.809,0.043,1.085,0.137,2.051,0.4739,DWARF,0.73415,0.02592,115.306,0.851,0.0135,0.0068,997,0.0474,,,0.000282,0.007,0.0065,panstarrs,0.128,0.146,0.045,0.041,0.3974,0.5504,0.0797,0.0823,0.02862,0.02323,0.845,0.857,bj2018,152.4,118.3,spect,10.7252,0.001141,9.82742,0.002179,1,hipvmag,apassdr9,,1.45722861114,1.20672208702,266.8676205001,-8.78149438326,0.04987872833,0.0511013719,1,0,1335092291
4,0.178313,161848,HIP 87089,87089,0.822,6.0,0.183,-4.95,40.0,,9.67,Svalues,266.9254,4.9396,894,350628427,266.9253823099,4.93964628974,266.923,4.939,90,87089,0424-01608-1,475-068000,17474206+0456227,,,4473406492614275072,,,STAR,tmgaia2,tmgaia2,-546.113,0.075,-215.07,0.077,gaia2,26.9664,0.0426,gaia2,9.707,0.031,8.91,0.03,,,,,,,,,,,7.337,0.023,6.959,0.04,6.822,0.02,AAA-111-111-000-0-0,,,,,,,,,8.66768,0.000238,8.134,0.006,gbprp,spect,5111.7,109.7,4.586,0.0803,-0.382,0.0268,0.782,0.042,0.86,0.102,1.7973,0.4091,DWARF,0.37632,0.00886,37.0435,0.0589,0.0,0.0,500,0.0036,,,0.007669,0.0,0.0,,0.083,0.122,0.04,0.044,0.3273,0.4909,0.0632,0.0975,0.0107,0.00702,0.0588,0.0589,bj2018,90.5,128.9,spect,9.12538,0.001631,8.09122,0.002612,1,hipvmag,tycho2b3,,1.16557473064,1.19436868182,266.92302222468,4.93872029811,0.04106468136,0.04558506291,1,0,176576215
5,0.15011,162826,HIP 87382,87382,0.541,3.93,0.144,-5.05,13.0,,9.83,Svalues,267.8084,40.0725,895,116246139,267.80842643247,40.0724635372,267.808,40.073,90,87382,3093-01946-1,651-059908,17511402+4004208,,J175114.01+400420.9,1344497769227698432,,,STAR,tmgaia2,tmgaia2,-16.811,0.046,9.684,0.044,gaia2,29.9723,0.0244,gaia2,7.089,0.023,6.566,0.023,,,,,,,,,,,5.493,0.023,5.302,0.016,5.234,0.021,AAA-111-111-000-0-0,5.28,0.179,5.116,0.076,5.282,0.015,5.204,0.039,6.41716,0.000308,6.048,0.006,gbprp,spect,6193.0,142.9,4.2923,0.0901,0.0292,0.0085,1.29,0.066,1.19,0.174,0.554,0.1318,DWARF,2.20626,0.07509,33.3319,0.0273,0.0,0.0,129,0.0014,,,0.007757,0.0,0.0,,0.144,0.204,0.072,0.06,0.1246,0.1391,0.0986,0.0817,0.08024,0.06994,0.0273,0.0274,bj2018,99.8,186.1,spect,6.71226,0.001697,6.01221,0.003048,1,sirful,tycho2b3,,0.76631461572,0.68756865879,267.80833184572,40.07250523095,0.02224173748,0.02278725053,1,0,177787901
6,0.114359,,HIP 87579,87579,0.94,6.52,0.602,,,,,Svalues,268.3747,21.3253,896,275063206,268.37473290253,21.32529165108,268.374,21.326,90,87579,1565-01028-1,557-063327,17532994+2119311,,J175329.88+211931.6,4576863905365412864,45142079,,STAR,tmgaia2,tmgaia2,-73.267,0.032,57.875,0.074,gaia2,40.782,0.0412,gaia2,9.474,0.024,8.5,0.03,,,,,,,,,,,6.74,0.023,6.303,0.02,6.204,0.02,AAA-111-111-000-0-0,6.165,0.111,6.106,0.029,6.171,0.015,6.052,0.044,8.19899,0.000365,7.606,0.006,gbprp,spect,4893.0,135.5,4.6297,0.0939,-0.09,0.1,0.717,0.051,0.8,0.096,2.1672,0.6017,DWARF,0.26574,0.00906,24.5033,0.0249,0.0,0.0,295,0.0283,,,0.011441,0.0,0.0,,0.084,0.108,0.047,0.055,0.4433,0.76,0.1155,0.0722,0.00746,0.01065,0.025,0.0249,bj2018,133.2,137.7,spect,8.72315,0.000866,7.5589,0.000716,1,hipvmag,tycho2b3,,0.51083002214,1.14926564167,268.37439426317,21.32554083545,0.01586231611,0.03283643693,1,0,178527670
7,0.16239,163102,HIP 87678,87678,0.516,3.76,0.146,-5.02,10.0,,9.77,Svalues,268.6243,-3.4625,897,62204855,268.62429396304,-3.46245529603,268.624,-3.463,90,87678,5087-00086-1,433-075701,17542983-0327446,,J175429.84-032746.4,4178216448382162432,921858,,STAR,tmgaia2,tmgaia2,17.4,0.125,-144.003,0.104,gaia2,19.317,0.0612,gaia2,7.742,0.0,7.319,0.023,,,,,,,,,,,6.368,0.02,6.196,0.106,6.088,0.017,AAA-111-111-000-0-0,6.111,0.104,6.036,0.034,6.135,0.016,6.14,0.051,7.18695,0.000346,6.842,0.006,gbprp,spect,6279.0,99.4,4.2582,0.0818,-0.0253,0.0276,1.364,0.051,1.23,0.185,0.4844,0.1047,DWARF,2.60648,0.0882,51.6913,0.1647,0.0,0.0,843,0.0041,,,0.004377,0.0,0.0,,0.173,0.198,0.059,0.044,0.0818,0.1276,0.0711,0.0924,0.10313,0.07326,0.1643,0.1652,bj2018,68.1,130.8,spect,7.46056,0.002099,6.80815,0.00502,1,sirful,apassdr9,,1.94192616551,1.60526580726,268.62436901714,-3.46307530895,0.05720752942,0.05532918406,1,0,1370809882
8,0.168084,163153,HIP 87710,87710,0.759,3.66,0.133,-5.2,45.0,,10.03,Svalues,268.7403,-7.7339,898,8147643,268.74030185243,-7.73394665402,268.74,-7.734,90,87710,5674-00074-1,412-071823,17545767-0744021,,J175457.63-074402.7,4171518910746338304,4280259,,STAR,tmgaia2,tmgaia2,-54.803,0.1,-55.588,0.088,gaia2,22.8769,0.0741,gaia2,7.687,0.022,6.931,0.023,,,,,,,,,,,5.673,0.029,5.326,0.026,5.221,0.024,AAA-111-111-000-0-0,5.232,0.168,5.097,0.072,5.247,0.015,5.202,0.035,6.72644,0.000322,6.253,0.006,gbprp,spect,5572.0,142.0,3.9001,0.0848,0.33,0.1,1.839,0.107,0.98,0.125,0.1575,0.0389,DWARF,2.9373,0.07568,43.6578,0.1424,0.0,0.0,1183,0.0026,,,0.000297,0.0,0.0,,0.089,0.162,0.109,0.105,0.0336,0.0443,0.0805,0.0891,0.07286,0.0785,0.1419,0.1429,bj2018,142.3,141.7,spect,7.12675,0.001824,6.21897,0.004211,1,sirful,tycho2b3,,1.55906140401,1.36214525513,268.74006372945,-7.73418599303,0.05416942581,0.05923689985,1,0,1373749304
9,0.085758,163489,GJ 4035,,1.11,,0.103,,,,,Svalues,269.0496,4.8336,899,266328630,269.04960433957,4.83357657422,269.05,4.834,90,,0425-01177-1,475-069694,17561190+0450007,,J175611.90+045000.7,4472863780548763136,38109236,,STAR,tmgaia2,tmgaia2,1.111,0.078,10.988,0.073,gaia2,5.1272,0.0411,gaia2,8.909,0.025,7.829,0.002,,,,,,,,,,,5.802,0.026,5.252,0.026,5.146,0.023,AAA-111-111-000-0-0,5.171,0.155,5.006,0.093,5.119,0.014,5.029,0.028,7.47015,0.000305,6.802,0.006,rered,spect,5004.0,44.0,,,0.3,0.03,8.414,,,,,,GIANT,,,193.963,1.557,0.0921,0.0177,,,,,,0.0185,0.017,panstarrs,,,,,,,,,,,,,bj2018,,,spect,8.08364,0.001731,6.7655,0.002259,1,tycho2v3,tycho2b3,,1.21451718745,1.13843883738,269.04960913851,4.8336238828,0.04137894547,0.04173311094,0,0,179657383
10,0.118995,163675,HIP 87834,87834,1.002,3.46,0.135,,,,,Svalues,269.1581,18.6124,900,275371234,269.15811711248,18.61242880212,269.159,18.612,90,87834,1557-01857-1,544-065735,17563792+1836448,,J175638.12+183644.8,4503448861139972096,,,STAR,tmgaia2,tmgaia2,211.052,0.053,6.875,0.071,gaia2,24.4502,0.0374,gaia2,7.575,0.019,6.565,0.023,,,,,,,,,,,4.743,0.046,4.445,0.258,4.201,0.016,EDA-131-111-000-0-0,4.238,0.295,4.015,0.186,4.212,0.015,4.161,0.028,6.26835,0.000255,5.671,0.006,gbprp,spect,4898.5,85.5,,,0.2196,0.007,2.902,,,,,,GIANT,,,40.8513,0.0628,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,6.79944,0.001075,5.62621,0.000929,1,sirful,tycho2b3,,0.83209063291,1.09922455834,269.15907595693,18.61245840697,0.02107493035,0.0349294904,0,0,179858856
12,0.611502,163840,HIP 87895,87895,0.642,4.04,0.161,-4.99,24.0,,9.73,Svalues,269.3097,23.9959,901,1507636276,269.30974657031,23.99573555292,269.31,23.996,90,,,,,,,4580864547137360384,,,STAR,gaia2,gaia2,-28.364,0.63,108.044,0.716,gaia2,30.8036,0.4494,gaia2,,,6.294,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,6.1549,0.000382,5.725,0.006,gbprp,gaia2,,,,,,,,,,,,,,,,32.4467,0.4769,0.0,0.0,,,DUPLICATE,158711270,,0.0,0.0,,,,,,,,,,,,0.4699,0.4838,bj2018,,,,6.50149,0.001042,5.68194,0.001609,0,gaia2,,,9.99482460608,11.10112254819,269.30961289283,23.99620074242,0.3005619593,0.36604437245,1,0,180162260
