,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
0,* b03 Hya,40,18,1989,253,b'2006-02-09T06:54:16.318',b'2011-07-22T22:49:52.173',5.232,0.481,33.072,b'F5',6545,1.647,0.553,0.1588,0.1597,0.0005,0.0065,-4.8379,-4.8327,0.0032,1.452,1.47,0.011,0.127,163.37305,-20.13873,3551002857809958400
1,* q01 Eri,136,36,2644,154,b'2003-11-06T03:20:02.136',b'2012-01-05T04:01:40.291',5.525,0.553,57.656,b'F7',6218,0.185,0.1,0.1951,0.1948,0.0006,0.0043,-4.7419,-4.7431,0.0024,1.812,1.807,0.01,0.074,25.62215,-53.74083,4912580642524184576
2,CD-23 10465,7,4,2596,40,b'2005-04-24T04:33:27.629',b'2012-06-02T00:30:39.776',10.134,1.153,28.414,b'K5',4504,4.889,4.686,1.0802,1.072,0.008,0.0514,-4.4904,-4.4937,0.0032,3.233,3.208,0.024,0.155,184.38355,-24.0186,3489077813176242176
3,CD-23 15543,7,3,2586,38,b'2005-05-26T08:27:08.633',b'2013-08-02T06:18:55.642',10.103,1.008,20.193,b'K3',4904,4.212,4.32,0.6735,0.6553,0.0055,0.0261,-4.4816,-4.494,0.0037,3.299,3.206,0.028,0.133,293.54094,-23.01657,6771373081565902848
4,CD-24 10619,40,18,4646,36,b'2005-06-22T01:36:56.815',b'2018-03-12T06:18:33.756',10.016,1.224,32.152,b'K4',4574,4.595,4.745,1.1405,1.1634,0.0093,0.1299,-4.5852,-4.5766,0.0036,2.599,2.651,0.021,0.297,194.12532,-24.92548,3497587994520032256
5,CD-30 18090,6,2,6,36,b'2006-07-01T08:25:13.788',b'2013-07-08T07:55:04.690',10.063,1.096,24.802,b'K4',4699,4.648,4.612,0.7474,0.7485,0.0063,0.0378,-4.5627,-4.562,0.0037,2.737,2.741,0.023,0.14,310.12734,-30.05201,6795121467571942400
6,CD-35 15313,10,1,1,34,b'2009-09-16T04:55:00.954',b'2013-12-06T00:44:11.626',10.54,1.206,23.553,b'K4',4714,4.361,4.517,1.1994,1.1994,0.0093,0.0,-4.5328,-4.5328,0.0034,2.933,2.933,0.023,0.0,336.40228,-34.90958,6598814657249555456
7,CD-35 15842,18,1,1,43,b'2006-08-27T05:49:21.940',b'2017-11-14T04:37:02.325',10.172,1.193,26.024,b'K4',4548,4.696,4.64,0.6536,0.6536,0.0055,0.0,-4.7753,-4.7753,0.0037,1.678,1.678,0.014,0.0,353.71866,-34.66979,2324146441842328064
8,CD-37 15212,4,1,1,33,b'2006-08-29T05:31:16.879',b'2012-07-06T09:38:25.719',10.16,0.997,20.429,b'  ',0,0.0,0.0,0.3762,0.3762,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.45371,-36.90143,6550871655311299584
9,CD-45 14066,10,3,2562,38,b'2006-07-01T08:36:09.174',b'2013-07-08T08:12:16.731',9.724,1.008,25.745,b'K3',4748,5.528,4.805,0.5878,0.6074,0.048,0.0219,-4.5435,-4.5288,0.037,2.861,2.96,0.243,0.111,312.9132,-45.45598,6484349591220997120
10,G 270-111,4,2,328,45,b'2004-11-03T03:37:43.004',b'2011-09-14T07:17:46.758',10.054,1.045,24.643,b'K4',4667,4.837,4.667,0.7762,0.7648,0.0065,0.0267,-4.4706,-4.4773,0.0037,3.383,3.332,0.029,0.119,15.0939,-13.59942,2372235648763459072
