hpic_name,TICID,period_rot(d),period_rot_err(dd),amp_median(%)
TIC 199550243,199550243,20.8839,0.641,0.1559
TIC 98049007,98049007,8.5289,0.189,0.2755
TIC 467361658,467361658,10.2241,0.4343,0.1638
TIC 38574306,38574306,1.7406,0.0071,0.1015
TIC 16038844,16038844,11.2486,0.7255,0.1114
TIC 307469997,307469997,4.4331,0.1064,0.0601
TIC 17145404,17145404,11.2074,0.7203,0.2295
TIC 255757079,255757079,14.1911,1.1482,0.2025
TIC 415502268,415502268,7.9983,0.3709,0.0942
TIC 141914082,141914082,2.6602,0.007,2.218
TIC 147992928,147992928,20.2344,1.0463,0.2382
TIC 275633531,275633531,11.9173,0.4066,0.2039
TIC 188452312,188452312,18.7224,1.4169,0.1049
TIC 454960088,454960088,11.4577,0.3773,0.5911
TIC 373015604,373015604,10.1292,0.5901,0.1074
TIC 260994270,260994270,21.1416,1.4677,0.1092
TIC 267869724,267869724,17.6327,1.765,0.4071
GAIA DR3 390973248078177792,191080974,10.036,0.5794,0.2456
TIC 436617898,436617898,5.1162,0.0633,1.4271
TIC 442916792,442916792,9.3156,0.3549,0.598
TIC 290716988,290716988,4.5796,0.0473,1.1899
GAIA DR3 3240019600349499264,373420313,3.4101,0.0501,0.3701
TIC 349766265,349766265,10.045,0.5805,0.0934
TIC 143045445,143045445,1.7218,0.0196,0.0552
TIC 192087959,192087959,1.2466,0.0063,1.215
TIC 264004931,264004931,9.2211,0.1417,0.6649
TIC 230085290,230085290,5.8353,0.0428,0.3494
TIC 390129724,390129724,15.1554,0.9248,0.1561
TIC 356425751,356425751,10.8793,0.6793,0.1013
TIC 16917398,16917398,10.2839,0.608,0.596
TIC 127339511,127339511,5.1365,0.0782,0.3349
TIC 159290668,159290668,8.0778,0.2674,0.7811
TIC 69550936,69550936,9.8565,0.3957,0.146
TIC 230077650,230077650,4.1332,0.0165,0.3732
TIC 159515804,159515804,7.329,0.0989,0.3794
TIC 390997801,390997801,7.7289,0.2453,0.3039
TIC 118760883,118760883,19.2886,2.1089,0.0904
TIC 236671835,236671835,7.8603,0.3584,0.1541
TIC 93534003,93534003,16.458,1.0926,0.1172
TIC 293567363,293567363,20.8715,2.4662,0.1118
TIC 159288801,159288801,9.3762,0.1411,0.368
TIC 30948608,30948608,1.2292,0.0061,2.2233
TIC 146638010,146638010,14.8439,0.8874,0.4689
TIC 220473309,220473309,8.8592,0.0779,2.6619
TIC 385321596,385321596,13.1384,0.6972,0.3796
TIC 393528939,393528939,21.6694,2.6569,0.1789
