hpic_name,tic_id,period_var(d),amp(mag)
TIC 900108099,TIC 900108099,,0.06
TIC 15939295,TIC 15939295,,0.45
TIC 276855687,TIC 276855687,,0.93
GAIA DR3 2420563960807395072,TIC 471012663,803.2050397,0.4
TIC 442512829,TIC 442512829,267.2098425,0.1
TIC 458453288,TIC 458453288,,0.07
TIC 402231298,TIC 402231298,4.324,0.13
TIC 297175954,TIC 297175954,,0.11
TIC 341687654,TIC 341687654,,0.23
TIC 188043641,TIC 188043641,305.2485125,0.54
TIC 70514364,TIC 70514364,586.7491681,0.37
TIC 116486054,TIC 116486054,,0.08
TIC 416166676,TIC 416166676,,0.72
TIC 166852312,TIC 166852312,496.8661427,0.34
TIC 20997718,TIC 20997718,,1.08
TIC 159310629,TIC 159310629,,0.09
TIC 206605715,TIC 206605715,,0.2
TIC 101011575,TIC 101011575,372.7728701,0.37
TIC 1192946,TIC 1192946,,0.5
TIC 156086958,TIC 156086958,585.0868546,0.41
TIC 60879864,TIC 60879864,,0.78
TIC 188272639,TIC 188272639,,0.21
TIC 287291938,TIC 287291938,552.7253667,1.14
TIC 211445010,TIC 211445010,,0.68
TIC 239332587,TIC 239332587,,0.13
TIC 274238126,TIC 274238126,,0.55
TIC 152854208,TIC 152854208,714.1441594,0.71
TIC 393946386,TIC 393946386,,0.08
TIC 12400623,TIC 12400623,,0.63
TIC 46674348,TIC 46674348,,0.71
TIC 160543331,TIC 160543331,369.045945,0.22
TIC 231631020,TIC 231631020,268.8402012,0.62
TIC 256419669,TIC 256419669,,0.34
TIC 290183774,TIC 290183774,308.4338589,0.14
TIC 408515120,TIC 408515120,,0.04
TIC 54147487,TIC 54147487,4.9969502,0.13
TIC 434103018,TIC 434103018,,1.19
TIC 146438424,TIC 146438424,,0.63
TIC 150902992,TIC 150902992,,0.06
GAIA DR3 1297565458994346240,TIC 284853659,,0.63
TIC 245819720,TIC 245819720,81.634682,0.6
TIC 17335733,TIC 17335733,,0.41
TIC 245895478,TIC 245895478,788.711096,0.81
TIC 451798625,TIC 451798625,384.7153481,0.17
TIC 219117614,TIC 219117614,,0.54
TIC 283410775,TIC 283410775,0.4985644,0.03
TIC 28244955,TIC 28244955,,0.71
TIC 141201605,TIC 141201605,921.8210552,1.9
TIC 407589461,TIC 407589461,,0.39
TIC 416538839,TIC 416538839,0.725822,0.1
TIC 58123137,TIC 58123137,746.0559504,0.31
TIC 286237897,TIC 286237897,2.7335762,0.1
TIC 296321403,TIC 296321403,2.2564308,0.05
TIC 79568861,TIC 79568861,,0.06
TIC 436651598,TIC 436651598,,0.66
TIC 286520195,TIC 286520195,,0.06
TIC 347626733,TIC 347626733,917.6441978,0.22
TIC 357373129,TIC 357373129,,0.35
TIC 427346731,TIC 427346731,7.2617429,0.15
TIC 437695779,TIC 437695779,,0.48
TIC 252756054,TIC 252756054,,0.57
TIC 463794734,TIC 463794734,,1.32
TIC 137648019,TIC 137648019,,0.76
TIC 245786953,TIC 245786953,,0.79
TIC 408448085,TIC 408448085,,0.67
TIC 22527304,TIC 22527304,,0.74
