hpic_name,gaia_dr3_id,Prot(d),Prot_err(d),amp_g(mag),amp_g_err(mag)
TIC 94945758,3009908378049913216,1.0338385696929877,0.026787417,0.04491447,0.0015542633
TIC 130181866,875071278432954240,4.2506048642677134,0.090836436,0.027504874,0.0017148969
TIC 55857787,5038817840251308288,4.323368317827491,0.06832612,0.010494142,8.7604887E-4
TIC 353129911,225709641034907264,8.186596655751304,0.83943653,0.029057363,9.672612E-4
TIC 88481300,5074588389476852608,5.387413299660765,0.15529215,0.009297087,8.070078E-4
TIC 263835459,5960988241215882496,1.0559474124829853,0.06900985,0.0041533746,0.0011968078
TIC 256364928,1827242816201846144,10.071548998177626,1.7081181,0.020297738,8.68618E-4
TIC 471000657,4524317420039164544,1.3574662350861,0.016392054,0.07936809,0.0012078651
TIC 419575434,6060965699625586176,9.350320270754926,0.14011587,0.027057644,0.0012776026
TIC 49934962,3256334497479041024,1.6405279111051798,0.023194933,0.010650553,0.0014928353
TIC 229738635,2257140386478701568,4.643441876612508,0.13171339,0.011785706,0.0014744971
TIC 405187645,2745647973856851712,3.6309920822367174,0.09971191,0.01424321,0.0014646684
TIC 257500724,5147846340974080000,2.7029474581699393,0.035800595,0.018545587,0.0013107619
TIC 91528642,4967153630858709120,2.309155492550604,0.01574868,0.010808802,0.0032774976
TIC 159835781,6583320721643225472,4.811757710962583,0.5329344,0.017066607,0.0013555149
TIC 445188441,417565761431676288,1.641584381608589,0.007290561,0.028153576,9.791538E-4
TIC 59087638,3313662896313355008,2.4010164309181614,0.09774452,0.017252484,0.0023574412
TIC 49777150,4343064508746082304,4.3832446537569005,0.34683904,0.0067485645,0.0013539941
TIC 245792139,3314109916508904064,7.566951686803343,0.047236513,0.036620386,0.0011526981
TIC 1000788891,1474856658091409792,4.465424252326129,0.20873564,0.010310726,0.0020258324
TIC 399001403,4333742711723764224,3.2682337533592047,0.053184435,0.04072241,0.0013400774
TIC 157968698,1541667932396172416,5.467673819247036,0.6305187,0.023699708,0.0062957085
TIC 16048383,149005270337201792,3.9585289147337073,0.53934187,0.015797352,0.0017342804
TIC 164752884,5135642002423826688,6.197750221424592,0.9853854,0.05344925,0.0016789905
TIC 60903802,3313689422030650496,2.559777824746362,0.08417566,0.013222906,0.0016122081
TIC 334034005,6129861029477931136,3.1889783525724433,0.17633714,0.02712277,0.0016510203
TIC 364423010,5275635052687699456,4.961342379703715,0.5093802,0.011175563,0.0019107618
TIC 243688155,4235895935019949952,3.844771709119996,0.062269248,0.006990934,0.0016541132
TIC 37430318,5652765616871308416,3.201648301315497,0.14547257,0.01314088,0.0017438714
TIC 73327417,1091831612072408320,4.692093131585995,0.51030713,0.015105967,0.0017531205
