hpic_name,StarName,Smedian,SSD,log(Rhk),Age(Gyr)
TIC 309599261,HD 103095,0.2087,0.00960,-4.774,2.44
TIC 156986186,HD 103432,0.2571,0.01037,-4.614,1.40
TIC 403802333,HD 103932,0.4455,0.05573,-4.892,3.77
TIC 428673146,HD 104067,0.3422,0.02257,-4.683,1.78
TIC 152738837,HD 104304,0.1592,0.00341,-5.026,6.13
TIC 21623610,HD 105631,0.2855,0.01418,-4.627,1.47
TIC 56812239,HD 106116,0.1534,0.00204,-5.047,6.60
TIC 397558016,HD 106156,0.2615,0.03451,-4.683,1.78
TIC 66666079,HD 107148,0.1562,0.00311,-5.027,6.15
TIC 460814512,HD 110315,0.3232,0.02737,-4.933,4.38
TIC 51739133,HD 110537,0.1541,0.00042,-5.037,6.37
TIC 288529330,HD 111031,0.1484,0.00083,-5.080,7.37
TIC 160010717,HD 111395,0.3038,0.02262,-4.533,1.02
TIC 380699270,HD 111515,0.1695,0.00084,-4.931,4.35
TIC 53280272,HD 111631,1.6850,0.08735,-4.699,1.88
TIC 359119757,HD 112257,0.1848,0.00275,-4.864,3.40
TIC 320211956,HD 112914,0.2710,0.02190,-4.777,2.47
TIC 381726125,HD 114174,0.1867,0.00067,-4.856,3.30
TIC 30293512,HD 114613,0.1482,0.00252,-5.085,7.50
TIC 124401411,HD 114729,0.1505,0.00170,-5.043,6.50
TIC 138172859,HD 114762,0.1254,0.00208,-5.281,13.51
TIC 292113181,HD 114783,0.1885,0.01051,-4.951,4.69
TIC 393713800,HD 116442,0.1638,0.00281,-5.000,5.59
TIC 393713801,HD 116443,0.1731,0.00546,-4.975,5.10
TIC 159190692,HD 116956,0.4814,0.01467,-4.359,0.22
TIC 405501056,HD 117207,0.1578,0.00130,-5.023,6.06
TIC 378993741,HD 117936,0.5466,0.03672,-4.548,1.09
TIC 72465347,HD 119850,0.7640,0.07592,-4.872,3.50
TIC 379117362,HD 120066,0.1625,0.00120,-4.969,5.00
TIC 437325588,HD 120467,0.6515,0.05092,-4.814,2.82
TIC 359220741,HD 120476A,0.5928,0.03953,-4.623,1.44
TIC 202380743,HD 122064,0.2473,0.03031,-4.910,4.03
TIC 115110801,HD 122120,0.5902,0.04047,-4.757,2.30
TIC 119147875,HD 122303,1.2350,0.09606,-4.678,1.75
TIC 232527921,HD 122652,0.2164,0.00824,-4.681,1.76
TIC 308311310,HD 124106,0.3851,0.02798,-4.532,1.02
TIC 147718994,HD 124292,0.1574,0.00137,-5.028,6.16
TIC 173106845,HD 124642,0.7782,0.03900,-4.473,0.75
TIC 6041460,HD 125184,0.1483,0.00352,-5.083,7.47
TIC 203230367,HD 125455,0.1805,0.00951,-4.955,4.74
TIC 446436963,HD 126053,0.1642,0.00154,-4.950,4.67
TIC 27525457,HD 127334,0.1503,0.00149,-5.069,7.11
TIC 357373129,HD 128165,0.3129,0.01734,-4.763,2.35
TIC 349606708,HD 128311,0.5915,0.02877,-4.434,0.56
TIC 345291554,HD 129814,0.1678,0.00267,-4.937,4.45
TIC 450354414,HD 130004,0.2756,0.02299,-4.731,2.10
TIC 368804760,HD 130307,0.3436,0.02101,-4.613,1.40
TIC 189694184,HD 130322,0.2349,0.02156,-4.741,2.17
TIC 349670920,HD 130871,0.2660,0.02325,-4.797,2.66
TIC 129383,HD 130992,0.3227,0.01468,-4.762,2.34
TIC 48228593,HD 131117,0.1418,0.00182,-5.114,8.24
TIC 161058448,HD 132142,0.1793,0.00091,-4.923,4.22
TIC 432235014,HD 134439,0.1625,0.01213,-5.007,5.74
TIC 432234964,HD 134440,0.1787,0.01597,-4.962,4.87
TIC 180284425,HD 136442,0.1316,0.00149,-5.298,14.13
TIC 36981205,HD 136713,0.3104,0.02683,-4.755,2.28
TIC 461330181,HD 136834,0.2183,0.01630,-4.937,4.45
TIC 400015692,HD 136925,0.1570,0.00116,-4.996,5.51
TIC 37149743,HD 137778,0.5285,0.02685,-4.424,0.51
TIC 309284002,HD 138549,0.1735,0.01034,-4.934,4.40
TIC 148817611,HD 139323,0.2062,0.01695,-4.925,4.25
TIC 323138830,HD 139457,0.1493,0.00196,-5.029,6.20
TIC 198315173,HD 139477,0.7729,0.02328,-4.480,0.78
TIC 272595871,HD 141272,0.4365,0.01831,-4.396,0.38
TIC 156067565,HD 141399,0.1620,0.00177,-5.009,5.77
TIC 272814606,HD 142229,0.3645,0.01290,-4.366,0.24
TIC 258177087,HD 143291,0.1825,0.00273,-4.901,3.89
TIC 236316949,HD 144287,0.1601,0.00291,-5.013,5.86
TIC 24089803,HD 144579,0.1664,0.00066,-4.960,4.84
TIC 410994457,HD 144585,0.1503,0.00225,-5.064,6.98
TIC 49406320,HD 145809,0.1471,0.00090,-5.074,7.23
TIC 98524451,HD 146775,0.1722,0.00094,-4.906,3.96
TIC 230072155,HD 147231,0.1555,0.00380,-5.031,6.23
TIC 318946785,HD 148467,0.6838,0.06651,-4.743,2.19
TIC 281738302,HD 149806,0.2029,0.01326,-4.871,3.49
TIC 58360410,HD 150433,0.1661,0.00055,-4.936,4.42
TIC 383068976,HD 150698,0.1325,0.00127,-5.213,11.20
TIC 224329387,HD 151288,1.1970,0.05708,-4.654,1.61
TIC 230123572,HD 151541,0.1632,0.00109,-5.002,5.63
TIC 57329793,HD 151877,0.2140,0.01296,-4.828,2.97
TIC 150553840,HD 151995,0.2959,0.01888,-4.829,2.99
TIC 326927305,HD 152391,0.3430,0.02685,-4.493,0.84
TIC 115509518,HD 152792,0.1474,0.00113,-5.078,7.32
TIC 181938424,HD 153458,0.2742,0.02672,-4.560,1.15
TIC 115582977,HD 153525,0.5660,0.04124,-4.480,0.78
TIC 115582979,HD 153557,0.5178,0.02666,-4.478,0.77
TIC 20856917,HD 154088,0.1550,0.00625,-5.061,6.92
TIC 198562505,HD 154345,0.2161,0.01253,-4.766,2.37
TIC 142456308,HD 154363,0.4340,0.05702,-4.779,2.49
TIC 351654581,HD 155712,0.1892,0.01602,-4.961,4.86
TIC 232606278,HD 156279,0.1745,0.00652,-4.952,4.70
TIC 81376588,HD 156365,0.1417,0.00142,-5.127,8.62
