hpic_name,vsx_name,period(d)
TIC 367758676,eta Boo,5.03
TIC 106504049,ASAS J103943-3755.0,6.328
TIC 399665349,pi 3 Ori,1.780
TIC 441709021,tet Boo,2.8593
TIC 445070560,NSV 19648,12.35
TIC 157364190,khi Her,25.3
TIC 233195546,ome Dra,5.302
TIC 279649057,zet 1 Ret,5.03
TIC 118554656,V1116 Tau,0.645
TIC 456892231,AM-OAB_V3,2.5430
TIC 398523562,ASAS J194557+0414.8,3.511
TIC 450077414,NSV 16164,5.37
TIC 440695415,MQ-OAB_V1,4.1637
TIC 159613900,EK Dra,2.78791
TIC 188315173,ASAS J155234-0154.3,7.94
TIC 363859338,ASAS J174502+1917.3,13.64
TIC 283889641,HD 140913,6.02
TIC 334034005,ASAS J121008-4910.9,4.88
TIC 364423010,Gaia DR3 5275635052687699456,4.96134
TIC 187309694,ASAS J134810-1047.2,15.17
TIC 243688155,Gaia DR3 4235895935019949952,3.84477
TIC 37430318,Gaia DR3 5652765616871308416,3.20165
TIC 408448085,ASAS J104731-2220.9,6.579
TIC 73327417,Gaia DR3 1091831612072408320,4.69209
TIC 244860691,ASAS J130517-5051.2,4.456
TIC 149732624,Gaia DR3 4466944284819435776,0.5535
TIC 142040321,ASAS J115406-2958.7,4.86
TIC 18485128,Gaia DR3 3406786445943961088,24.377
TIC 76313563,NSV 24042,3.969
TIC 91474396,ASASSN-V J112346.97-525739.4,5.7298
TIC 454017386,ASAS J114150-4034.2,6.900
TIC 298801915,ASAS J093313-4848.5,0.4030
TIC 106260491,Gaia DR3 5443805734115740672,7.7892
TIC 150359500,ASAS J062555-6003.4,1.0333
TIC 150188736,ASASSN-V J061454.87-603919.3,9.5431
TIC 293968698,ASAS J070658-5353.7,2.862
TIC 181739452,ASAS J084723-4047.6,0.8110
TIC 231387465,ASAS J073957-2247.6,10.21
TIC 106344480,ASAS J071844-2616.1,0.5702
TIC 119059323,ASAS J090334-2036.0,0.989
TIC 289706625,ASAS J094454-1220.7,0.4417
TIC 218604599,Gaia DR3 5701232295587609216,8.1118
TIC 51867348,ASAS J085218-1913.3,3.157800
TIC 307770692,ASAS J091234-1516.9,5.079
TIC 305537413,ASASSN-V J091721.12-134114.5,16.615
TIC 50933417,ASAS J082940-0958.5,8.62
TIC 334524122,ASASSN-V J150116.63-433930.6,3.2646
TIC 74188694,ASAS J173832-5832.6,7.309
TIC 233563017,Gaia DR3 5943153818978489856,5.271
TIC 16431646,ASASSN-V J173544.57-435649.6,0.486469
TIC 44082776,Gaia DR3 5977270148650362112,16.536
TIC 151300352,ASAS J171502-3333.7,0.3106
TIC 254852349,ASASSN-V J155006.85-452521.7,1.1124
TIC 255046149,Gaia DR3 5994697687147207424,13.8739
TIC 243288142,ASASSN-V J133550.85-453712.6,13.748
TIC 363622241,ASASSN-V J131839.10-453122.9,34.2
TIC 322925092,ASASSN-V J143436.61-253646.2,29.482
TIC 309696994,ASASSN-V J145559.81-215806.5,38.95
TIC 309597652,ASASSN-V J145331.69-221122.0,33.84
TIC 32545457,Gaia DR3 6317066765438396928,2.99371
TIC 23679995,ASASSN-V J143022.38-073445.5,16.595
TIC 229807000,ASAS J232857-6802.4,0.37451
TIC 403237836,ASASSN-V J220254.50-644044.2,0.426901
TIC 231623694,Gaia DR3 6456068090569155328,6.9363
