hpic_name,tess_id,period(days),Amplitude(%)
TIC 248270034,248270034,3.65542,0.05402
TIC 71841326,71841326,18.55648,0.00672
TIC 100481243,100481243,79.09835,0.01144
TIC 24530425,24530425,34.9531,0.01034
GAIA DR3 4822636399484228224,77957301,1.93659,0.02831
TIC 290970527,290970527,2.12539,0.03383
TIC 100611237,100611237,36.83483,0.0065
TIC 301977405,301977405,19.71773,0.00737
TIC 77959498,77959498,17.94615,0.0122
TIC 24431122,24431122,18.55384,0.0076
TIC 363622241,363622241,33.70683,0.01617
TIC 124779394,124779394,23.9907,0.00794
TIC 124940532,124940532,33.98683,0.01135
TIC 77476299,77476299,37.79673,0.01089
TIC 77360883,77360883,22.5158,0.00862
TIC 137884162,137884162,43.31708,0.01112
TIC 441402752,441402752,33.76937,0.01134
TIC 440859011,440859011,19.33954,0.03065
TIC 376168453,376168453,33.91108,0.01441
TIC 98869475,98869475,22.46328,0.0051
TIC 30948608,30948608,1.22875,0.05855
TIC 224225152,224225152,3.49379,0.04044
TIC 306996324,306996324,22.62423,0.01269
TIC 124494465,124494465,3.87846,0.05005
TIC 141973157,141973157,19.05721,0.02273
TIC 441454736,441454736,9.15854,0.00945
TIC 89426798,89426798,19.2352,0.00631
TIC 89396656,89396656,24.07225,0.00903
