hpic_name,tess_id,SuperWASP_ID,period,Amp
TIC 1192946,1192946,1SWASPJ090420.69-155451.2,8.484327256944445,0.13842523097991943
TIC 120462356,120462356,1SWASPJ000552.54-414511.0,0.7451206687499999,0.14865875244140625
TIC 126236473,126236473,1SWASPJ085349.93+265447.6,0.34135283298611113,0.3513157367706299
TIC 13536686,13536686,1SWASPJ084957.85-094747.0,21.366833043981483,0.14746129512786865
TIC 147133612,147133612,1SWASPJ212844.43-471541.6,3.3488263165509253,0.34175753593444824
TIC 152361083,152361083,1SWASPJ030019.71-372716.1,2.5390230758101855,0.20053327083587646
TIC 158595208,158595208,1SWASPJ012808.65-523819.1,140.46701388888889,0.4011887311935425
TIC 159820018,159820018,1SWASPJ175524.67+361119.9,3.220890118634259,0.3159606456756592
TIC 163477895,163477895,1SWASPJ210559.41+313955.4,1.457344111689815,0.2866959571838379
TIC 166931622,166931622,1SWASPJ040027.25-345100.5,18.074228877314816,0.15165090560913086
TIC 172107518,172107518,1SWASPJ063134.52+345158.8,44.098370949074074,0.3075587749481201
TIC 17408570,17408570,1SWASPJ160713.97+340136.0,2.8891704643518517,0.5382797122001648
TIC 194230330,194230330,1SWASPJ000555.21+412929.0,8.862262008101853,0.34316420555114746
TIC 201883033,201883033,1SWASPJ023901.17-581113.7,0.7229578540509259,0.21057307720184326
TIC 201919099,201919099,1SWASPJ024233.02-573936.7,7.403275462962963,0.5028277635574341
TIC 206556127,206556127,1SWASPJ221438.36-214153.1,0.22109723125000003,0.4747253656387329
TIC 206592394,206592394,1SWASPJ012321.25-572850.7,3.3352412471064814,0.24160146713256836
TIC 21628045,21628045,1SWASPJ054836.81-395555.2,0.7861263020833333,0.15485167503356934
TIC 21720503,21720503,1SWASPJ170352.84+321145.7,7.498765190972222,0.14954596757888794
TIC 21903116,21903116,1SWASPJ171049.02+322724.5,37.11755787037037,0.2219925820827484
TIC 231010756,231010756,1SWASPJ014311.05-580036.4,0.420512469212963,0.37086009979248047
TIC 231867117,231867117,1SWASPJ002408.97-621104.4,1.754404296875,0.5551564693450928
GAIA DR3 5452498541764280832,23325655,1SWASPJ110913.80-300139.8,4.831487991898149,1.0622426867485046
TIC 236743275,236743275,1SWASPJ165808.85+254438.9,23.85674334490741,0.08694231510162354
TIC 243186210,243186210,1SWASPJ010705.51+190908.3,1.3698657226851851,0.34597575664520264
TIC 25799110,25799110,1SWASPJ004500.14+263410.4,1.9286423972222222,0.45806586742401123
TIC 266680732,266680732,1SWASPJ015311.35-210543.2,2.8521551287037035,0.6015628576278687
TIC 266744225,266744225,1SWASPJ074440.16+033308.9,1.555054434259259,0.3501555323600769
TIC 266746662,266746662,1SWASPJ015748.97-215405.3,0.7510222258101852,0.24322450160980225
TIC 266997586,266997586,1SWASPJ001353.01-744117.8,3.574924768518518,0.3063422441482544
