star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Name,Teff,logg,vsini,SimbadName,_RA,_DE
TIC 257918985,43.82252316245,16.30919031261,43.82346926655608,16.308983183705624,257918985.0,3.4959010860594176e+16,3.495901086078963e+16,13601.0,2MASS J02551740+1618331,1224-00346-1,,HD  18144,tic_near,204.0303657617365,0.0389484539628028,-46.59796711370879,0.0374553054571151,GaiaDR3,2023A&A...674A...1G,,,,,8.162,0.024,TIC tycho2b3,2019AJ....158..138S,7.41,0.03,TIC hipvmag,2019AJ....158..138S,6.9,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,6.08,0.029,TIC,2019AJ....158..138S,5.678,0.033,TIC,2019AJ....158..138S,5.662,0.027,TIC,2019AJ....158..138S,6.738,0.006,7.22282075881958,0.0027682970613248,gaia_dr3,2023A&A...674A...1G,7.588134765625,0.002870224400509,6.688943386077881,0.0038627595855017,37.32814442038955,0.0299537554383277,GaiaDR3,2023A&A...674A...1G,26.759096145629883,0.0197868347167968,bj2021,2021AJ....161..147B,0,G8V,2003AJ....126.2048G,1,5483.0,32.0,Pastel,2022A&A...663A...4S,4.44600553522826,0.0243899789420798,calculated_from_M_and_R,Calculated Value,4.48,0.1,Pastel,2022A&A...663A...4S,0.07,0.05,Pastel,2022A&A...663A...4S,-0.1467520724674383,0.0105821208587008,update_TIC,Calculated Value,0.935922993083932,0.0157911661338042,calc_from_L_and_Teff,Calculated Value,0.8921094536781311,0.0400481522083282,gaia_dr3_flame,2023A&A...674A...1G,0,9.603174209594728,1.4247784614562988,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 18144,5514.1,4.47,0.49,HD 18144,43.82252,16.30919
TIC 311151814,61.56719909664,15.69812072622,61.56774806806588,15.698032862131647,311151814.0,4.536705665075328e+16,4.536705665075328e+16,19148.0,2MASS J04061614+1541532,1250-00686-1,,HD  25825,tic_near,118.96454993102434,0.0264855101704597,-19.715098672341668,0.0198098476976156,GaiaDR3,2023A&A...674A...1G,,,,,8.416,,Simbad 2006AJ....132..111J,2006AJ....132..111J,7.811,0.001,Simbad 2006AJ....132..111J,2006AJ....132..111J,7.484,,Simbad 2006AJ....132..111J,2006AJ....132..111J,7.169,,Simbad 2006AJ....132..111J,2006AJ....132..111J,6.753,0.024,TIC,2019AJ....158..138S,6.532,0.036,TIC,2019AJ....158..138S,6.446,0.024,TIC,2019AJ....158..138S,7.292,0.006,7.7056403160095215,0.0028050157075125,gaia_dr3,2023A&A...674A...1G,7.999313831329346,0.0032948311197464,7.245719909667969,0.0039810924073785,21.1750396454176,0.0225281957536935,GaiaDR3,2023A&A...674A...1G,47.15042495727539,0.0472488403320312,bj2021,2021AJ....161..147B,0,G0V,2009MNRAS.396.1895C,1,6002.0,19.0,Pastel,2022A&A...663A...4S,4.37744003464609,0.0220697301000797,calculated_from_M_and_R,Calculated Value,4.43,0.04,Pastel,2022A&A...663A...4S,0.1,0.02,Pastel,2022A&A...663A...4S,0.1368442945050659,0.0128975041247213,update_TIC,Calculated Value,1.0826368617506874,0.0174761620521073,calc_from_L_and_Teff,Calculated Value,1.019384503364563,0.0400051772594451,gaia_dr3_flame,2023A&A...674A...1G,0,6.340217113494873,0.94547438621521,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,0,,,,4.519817853498867e+16,3356.103,6.8753,0,,HD 25825,6020.33,4.43,6.93,HD 25825,61.5672,15.69812
TIC 265361101,94.31720789263,5.0999765638,94.31626320939142,5.100714219407709,265361101.0,3.3179011657464714e+18,3.3179011657464714e+18,29860.0,2MASS J06171614+0506001,0140-01840-1,WDS J06173+0506A,HD  43587,tic_near,-211.53224109677708,0.1504773646593094,166.6513585689015,0.1250807493925094,GaiaDR3,2023A&A...674A...1G,6.4,0.01,Simbad 1991A&AS...89..415O,1991A&AS...89..415O,6.29,0.007,Simbad 1991A&AS...89..415O,1991A&AS...89..415O,5.712,0.023,TIC sirful,2019AJ....158..138S,5.3,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,4.96,0.27,TIC,2019AJ....158..138S,4.434,0.076,TIC,2019AJ....158..138S,4.205,0.036,TIC,2019AJ....158..138S,5.145,0.006,5.565168380737305,0.0028706186810059,gaia_dr3,2023A&A...674A...1G,5.857744216918945,0.0030402122596899,5.073238372802734,0.006003863813908,51.61647406160722,0.123500294983387,GaiaDR3,2023A&A...674A...1G,19.368364334106445,0.0493850708007812,bj2021,2021AJ....161..147B,0,G0V,2006AJ....132..161G,1,5905.0,13.0,Pastel,2022A&A...663A...4S,4.291858937914515,0.0551478751666316,calculated_from_M_and_R,Calculated Value,4.31,0.03,Pastel,2022A&A...663A...4S,-0.04,0.01,Pastel,2022A&A...663A...4S,0.2192067629878754,0.0128948613219507,update_TIC,Calculated Value,1.229748276138846,0.0190425778634648,calc_from_L_and_Teff,Calculated Value,1.08,0.133,TIC,2019AJ....158..138S,0,,,,,,8.782439,17.609737,3.3179011700413635e+18,8.782439,17.609737,3.3179011700413635e+18,1,1,A,0.8,5.33,3.317901440625204e+18,103.1888,6.5704,0,,HD 43587,6194.39,4.63,14.22,HD 43587,94.31721,5.09997
TIC 250975235,338.14191638335,-6.46717689279,338.14322236787376,-6.467042425683304,250975235.0,2.6229291446188564e+18,2.6229291446188564e+18,111274.0,2MASS J22323403-0628020,5239-01166-1,,HD 213575,tic_near,292.0884759407809,0.0209333878010511,29.899092609318764,0.0183558873832225,GaiaDR3,2023A&A...674A...1G,,,,,7.62,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,6.95,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,5.728,0.019,TIC,2019AJ....158..138S,5.411,0.024,TIC,2019AJ....158..138S,5.307,0.023,TIC,2019AJ....158..138S,6.321,0.006,6.781880855560303,0.0027649768083659,gaia_dr3,2023A&A...674A...1G,7.113480091094971,0.0029298268333346,6.27454137802124,0.0038316365155306,26.841347715929416,0.022978913038969,GaiaDR3,2023A&A...674A...1G,37.20060348510742,0.0313682556152343,bj2021,2021AJ....161..147B,0,G5V,1999MSS...C05....0H,1,5669.0,16.0,Pastel,2022A&A...663A...4S,4.08921037816229,0.0216939752199055,calculated_from_M_and_R,Calculated Value,4.18,0.04,Pastel,2022A&A...663A...4S,-0.11,0.03,Pastel,2022A&A...663A...4S,0.310052709919861,0.0115378464207489,update_TIC,Calculated Value,1.4813786657623436,0.0213808012191221,calc_from_L_and_Teff,Calculated Value,0.9828221201896667,0.0400670170783996,gaia_dr3_flame,2023A&A...674A...1G,0,11.661581039428713,1.0622663497924805,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 213575,5710.75,4.28,0.58,HD 213575,338.14192,-6.46718
TIC 327519289,298.79032649031,10.74094308042,298.7901522851652,10.742235559314928,327519289.0,4.3033646829265756e+18,4.3033646829265756e+18,98020.0,2MASS J19550968+1044275,1075-00284-1,,HD 188510,tic_near,-38.395379421650816,0.0216564964503049,290.61186582293254,0.0144972074776887,GaiaDR3,2023A&A...674A...1G,9.3,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,9.41,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,8.83,0.03,TIC hipvmag,2019AJ....158..138S,8.5,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,7.57,0.037,TIC,2019AJ....158..138S,7.221,0.044,TIC,2019AJ....158..138S,7.125,0.016,TIC,2019AJ....158..138S,8.196,0.006,8.647361755371094,0.0027660329032064,gaia_dr3,2023A&A...674A...1G,8.972994804382324,0.0028214744645262,8.138470649719238,0.003789476797706,26.278347246046007,0.0204055868089199,GaiaDR3,2023A&A...674A...1G,38.00845718383789,0.0290489196777343,bj2021,2021AJ....161..147B,0,G5V:,1970ApJS...22..117B,1,5466.0,26.0,Pastel,2022A&A...663A...4S,4.737937876129759,0.0559773546473413,calculated_from_M_and_R,Calculated Value,4.57,0.06,Pastel,2022A&A...663A...4S,-1.57,0.03,Pastel,2022A&A...663A...4S,-0.4122257960463165,0.0108685817429469,update_TIC,Calculated Value,0.6937460000370813,0.0109047741017075,calc_from_L_and_Teff,Calculated Value,0.96,0.12,TIC,2019AJ....158..138S,0,,,,,,9.082418,18.94805,4.303364682915892e+18,5.374167,20.102631,4.303364682926932e+18,0,0,,,,,,,0,,HD 188510,5926.41,4.62,-2.47,HD 188510,298.79033,10.74094
TIC 76723012,260.64402485018,-19.61618097397,260.6440362918415,-19.616796593334072,76723012.0,4.122133830616442e+18,4.122133830616442e+18,85017.0,2MASS J17223455-1936580,6242-00625-1,,HD 157172,tic_near,2.5578027129452625,0.0257658641785383,-138.45085630306284,0.018031045794487,GaiaDR3,2023A&A...674A...1G,,,,,8.637,0.018,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.86,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.6,0.07,Simbad 2009yCat.1315....0Z,2009yCat.1315....0Z,8.58,0.04,Simbad 2005yCat.2263....0D,2005yCat.2263....0D,6.534,0.039,TIC,2019AJ....158..138S,6.176,0.017,TIC,2019AJ....158..138S,6.082,0.029,TIC,2019AJ....158..138S,7.16,0.006,7.6584930419921875,0.0027598428527544,gaia_dr3,2023A&A...674A...1G,8.034547805786133,0.0028113393996842,7.111161231994629,0.0038014547307098,30.300669639007367,0.0215922109782695,GaiaDR3,2023A&A...674A...1G,32.96498489379883,0.0208663940429687,bj2021,2021AJ....161..147B,0,G8.5V,2006AJ....132..161G,1,5460.0,19.0,Pastel,2022A&A...663A...4S,4.457413144154068,0.0562103937211872,calculated_from_M_and_R,Calculated Value,4.43,0.05,Pastel,2022A&A...663A...4S,0.13,0.02,Pastel,2022A&A...663A...4S,-0.1381566304289643,0.0106600750086143,update_TIC,Calculated Value,0.9532109973273988,0.0134487476503969,calc_from_L_and_Teff,Calculated Value,0.95,0.12,TIC,2019AJ....158..138S,0,,,,,,9.633539,17.249481,4.122133864958899e+18,4.975097,19.197136,4.1221338306170004e+18,0,0,,,,,,,0,,HD 157172,5481.68,4.49,2.46,HD 157172,260.64402,-19.61618
TIC 302767887,170.37112282068,58.48436229908,170.37147426097445,58.48448863781707,302767887.0,8.56774374153131e+17,8.56774374153131e+17,55459.0,2MASS J11212907+5829035,3831-00799-1,,HD  98618,tic_near,41.4308459257466,0.0149610368534922,28.53733047664829,0.020299669355154,GaiaDR3,2023A&A...674A...1G,,,,,8.303,0.015,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.651,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.448,0.029,TIC,2019AJ....158..138S,6.142,0.046,TIC,2019AJ....158..138S,6.061,0.02,TIC,2019AJ....158..138S,7.072,0.006,7.510592460632324,0.0027594928557142,gaia_dr3,2023A&A...674A...1G,7.822584629058838,0.0028174638719044,7.024178504943848,0.0037991176209061,24.384099475680504,0.0199373476207256,GaiaDR3,2023A&A...674A...1G,40.97430038452149,0.0322799682617187,bj2021,2021AJ....161..147B,0,G5V,,1,5777.0,22.0,Pastel,2022A&A...663A...4S,4.323468919632218,0.0227251850915508,calculated_from_M_and_R,Calculated Value,4.38,0.04,Pastel,2022A&A...663A...4S,0.04,0.02,Pastel,2022A&A...663A...4S,0.0989159226309787,0.0120819988590551,update_TIC,Calculated Value,1.118679993134618,0.0177407072728049,calc_from_L_and_Teff,Calculated Value,0.961198389530182,0.0400036275386809,gaia_dr3_flame,2023A&A...674A...1G,0,9.8700590133667,1.1269216537475586,gaia_dr3_flame,2023A&A...674A...1G,,2.706991,12.249918,8.567743741531306e+17,2.706991,12.249918,8.567743741531306e+17,0,0,,,,,,,0,,HD 98618,5861.0,4.44,0.65,HD 98618,170.37112,58.48436
TIC 248387672,19.24585944405,-2.27915866928,19.247009203576003,-2.2797825390714745,248387672.0,2.5317927560967593e+18,2.5317927560967593e+18,5985.0,2MASS J01165898-0216446,4682-02121-1,,*  40 Cet,tic_near,258.739814918793,0.032811515033245,-140.37124598912484,0.0218436829745769,GaiaDR3,2023A&A...674A...1G,,,,,7.08,,Simbad,,6.52,,Simbad,,,,,,,,,,5.53,0.02,TIC,2019AJ....158..138S,5.254,0.033,TIC,2019AJ....158..138S,5.177,0.021,TIC,2019AJ....158..138S,6.002,0.006,6.395237445831299,0.0027632591893535,gaia_dr3,2023A&A...674A...1G,6.668085098266602,0.0029573774158536,5.954725742340088,0.003822641185436,34.81428430821784,0.0251061450690031,GaiaDR3,2023A&A...674A...1G,28.69381332397461,0.0241632461547851,bj2021,2021AJ....161..147B,0,G2V,1999MSS...C05....0H,1,6105.0,21.0,Pastel,2022A&A...663A...4S,4.336283361525456,0.0221791575552554,calculated_from_M_and_R,Calculated Value,4.33,0.04,Pastel,2022A&A...663A...4S,0.09,0.02,Pastel,2022A&A...663A...4S,0.2283567749559065,0.0138673932309479,update_TIC,Calculated Value,1.1626786448321047,0.0202126869808006,calc_from_L_and_Teff,Calculated Value,1.0693875551223757,0.0400012135505676,gaia_dr3_flame,2023A&A...674A...1G,0,5.424962997436523,0.8180279731750488,gaia_dr3_flame,2023A&A...674A...1G,,,,,8.485554,,2.5317929622552504e+18,0,0,,,,,,,0,,HD 7727,6080.87,4.34,2.84,HD 7727,19.24586,-2.27916
TIC 76957315,318.24015606792,30.80951245504,318.24005730639766,30.80999957567304,76957315.0,1.8527321414047045e+18,1.8527321414047045e+18,104733.0,2MASS J21125763+3048340,2702-01652-1,,HD 202108,tic_near,-18.953843630113447,0.0142016857862472,109.54675150383314,0.0161317698657512,GaiaDR3,2023A&A...674A...1G,,,,,7.98,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.33,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.143,0.026,TIC,2019AJ....158..138S,5.82,0.018,TIC,2019AJ....158..138S,5.751,0.017,TIC,2019AJ....158..138S,6.719,0.006,7.169595241546631,0.002759221748616,gaia_dr3,2023A&A...674A...1G,7.491371631622315,0.0028067037540397,6.670825958251953,0.0038032295356866,36.81600485731481,0.0175392348319292,GaiaDR3,2023A&A...674A...1G,27.14330101013184,0.0115118026733398,bj2021,2021AJ....161..147B,0,G3V,2007AJ....133.2524W,1,5720.0,19.0,Pastel,2022A&A...663A...4S,4.53597253909285,0.0214472287290216,calculated_from_M_and_R,Calculated Value,4.29,0.15,Pastel,2022A&A...663A...4S,-0.22,0.03,Pastel,2022A&A...663A...4S,-0.1208155315243755,0.0107065159694509,update_TIC,Calculated Value,0.8860389657828384,0.0124068442283913,calc_from_L_and_Teff,Calculated Value,0.9835819602012634,0.0400076806545257,gaia_dr3_flame,2023A&A...674A...1G,0,2.0413506031036377,1.0531786680221558,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 202108,5732.67,4.56,0.53,HD 202108,318.24016,30.80951
TIC 118295030,33.85172412066,24.27128883454,33.85397854233757,24.27046918211229,118295030.0,1.0130945235565722e+17,1.0130945235565722e+17,10505.0,2MASS J02152437+2416170,1765-01368-1,,HD  13825,tic_near,462.6068006187596,0.046853769570589,-183.92006499256692,0.0344071611762046,GaiaDR3,2023A&A...674A...1G,,,,,7.5,,Simbad,,6.81,0.001,TIC mermil,2019AJ....158..138S,6.4,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,5.545,0.024,TIC,2019AJ....158..138S,5.245,0.018,TIC,2019AJ....158..138S,5.173,0.021,TIC,2019AJ....158..138S,6.166,0.006,6.637241840362549,0.0027610612894487,gaia_dr3,2023A&A...674A...1G,6.972883224487305,0.0028386644043966,6.121023654937744,0.0038844885936291,38.83932080492466,0.0435342490673065,GaiaDR3,2023A&A...674A...1G,25.726377487182617,0.0247049331665039,bj2021,2021AJ....161..147B,0,G5IV-V,2003AJ....126.2048G,1,5682.0,23.0,Pastel,2022A&A...663A...4S,4.31851072637296,0.0233287890247464,calculated_from_M_and_R,Calculated Value,4.41,0.07,Pastel,2022A&A...663A...4S,0.18,0.04,Pastel,2022A&A...663A...4S,0.0471623511945929,0.011077642148937,update_TIC,Calculated Value,1.089510353526652,0.0164582974827502,calc_from_L_and_Teff,Calculated Value,0.901375651359558,0.0400345027446747,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 13825,5711.24,4.38,0.46,HD 13825,33.85172,24.27129
