star_name,gaiadr3,vsini,e_vsini
TIC 150796339,5593584059914156800,43.1,2.2
TIC 308844962,5289757523635492096,8.8,1.1
TIC 303606981,5222956488533801728,7.4,1.0
TIC 463794734,5354913895517945856,11.2,0.6
TIC 447823435,5357075947709011456,8.3,0.4
TIC 405148007,6148648281576023424,15.9,3.2
TIC 308210818,3511640513332581504,11.7,1.0
TIC 397587084,3732539683617410816,7.2,1.1
TIC 422478973,3507879565090229888,3.9,0.9
TIC 69514163,5998513610949980544,23.5,1.2
TIC 210514156,6037514800199297152,18.3,1.2
TIC 96745915,5946685759563224960,16.3,0.8
TIC 409891396,6427464123776727168,4.1,0.8
TIC 422044019,6472858766996632704,15.6,0.8
TIC 265488188,6401464693867773568,3.7,0.7
TIC 97402436,6612242034982766848,14.0,0.7
TIC 156016477,4975599976104995328,17.8,0.9
TIC 234498449,4707315118836465152,23.2,1.2
TIC 114435313,2349940954566607488,42.4,2.1
TIC 52194638,4692263148249862016,61.1,3.1
TIC 10839729,2463529885923906432,7.4,0.4
TIC 24910738,2461043306017773696,58.5,2.9
TIC 382582555,4725779526839408128,129.1,6.5
TIC 122556844,5065781095179785216,4.7,0.2
TIC 166808854,4745123853382686336,6.6,2.2
TIC 441133778,5158072039630467072,9.0,0.5
TIC 88380516,5073246882211822720,84.9,4.2
TIC 207149599,4726572858838693248,79.2,4.0
TIC 92252166,5105133853288251392,40.5,4.6
TIC 431380163,4626843786944938880,18.0,3.0
TIC 31799975,4670233333275763840,27.3,1.4
TIC 262843771,4674061076849768832,13.5,0.7
TIC 121078878,5087043657197267200,14.0,0.7
TIC 44743049,4889935410276933504,56.0,2.8
TIC 219234987,4781833626056162688,59.5,3.0
TIC 259592543,4777112872882315648,27.9,7.8
TIC 316919585,2980171639403283328,7.2,0.4
TIC 408190069,2981583790287411200,4.4,0.2
TIC 255752750,2968427785767149952,12.3,0.6
TIC 354552931,4798709239757160320,5.1,0.3
TIC 279640088,3016172982988647040,25.4,1.3
TIC 261136679,4623036865373793408,4.0,0.2
TIC 158111591,5567901976544151168,26.7,1.3
GAIA DR3 2913765672571405440,2913765672571405440,17.4,6.2
TIC 255630992,5502372732796307200,5.6,0.3
TIC 52687259,5584019442620181760,5.8,0.3
TIC 170225363,5557816190743628416,4.4,0.2
TIC 130645536,5559265690666326016,4.3,0.2
TIC 98077296,5605930166746409856,134.3,6.7
TIC 300015239,5267405895350690304,4.4,0.2
TIC 409319605,3030977013710528768,78.3,3.9
TIC 355406799,5492026740697659648,65.6,3.3
TIC 6172378,3053986768423468288,7.7,0.4
TIC 6677245,3053492881541641600,4.1,0.3
TIC 423245334,5618420137803147008,40.3,2.0
TIC 123699670,5531762678610961664,4.3,0.2
TIC 175178258,5587574335515776000,45.1,2.3
TIC 149672905,5588607120530408832,4.4,0.2
TIC 334453577,3036768068439044608,5.4,0.3
TIC 154360594,5698015743046182272,8.0,0.4
GAIA DR3 3066501100524306176,3066501100524306176,5.2,0.3
TIC 382969293,5317114850417299584,10.3,0.5
TIC 421189312,3489338019475637760,16.9,1.5
TIC 366700717,3895370724262154240,27.8,1.4
TIC 1652548,3528457578039228160,4.0,0.2
TIC 145006683,6140482586674352128,92.4,4.6
TIC 449884234,5864837701762139776,37.6,1.9
TIC 130726180,3662636823132300032,221.6,11.1
TIC 181946967,3649422995468596480,14.8,0.7
TIC 402546736,5849837854861497856,12.1,0.6
TIC 292234186,5874239827444442368,201.7,10.1
TIC 456061659,5875819211536139520,19.5,1.0
TIC 18809756,4113072720923097600,36.3,1.8
TIC 75899957,4115142207982341504,19.5,1.0
TIC 88562096,4058689054864359552,44.5,2.2
TIC 238115675,4117290138348536064,11.8,0.6
TIC 269995013,6805455124526007424,40.9,2.0
TIC 29495621,6802426038708609536,13.7,0.7
TIC 114916975,6775638705641664896,22.0,1.1
TIC 115015109,6774363993708094720,43.8,2.2
TIC 209313164,6621985563430785664,81.0,4.1
TIC 161270578,6513525544581729536,235.1,11.8
TIC 262841041,6492406743706907776,79.4,4.0
