star_name,gaiadr3,vsini,e_vsini
TIC 389757979,4976894960284258048,10.52,1.82
TIC 70847587,2309813109479463040,4.05,2.4
TIC 425935521,4900108950849461248,1.3,10.8
TIC 267211065,4683897617110115200,6.0,2.72
TIC 156003229,4925088171405735680,13.98,1.1
TIC 229092427,4934923028038871296,0.42,
TIC 231005905,4911306239828325760,0.245,
TIC 229137615,4912580642524184960,5.82,1.95
TIC 24910738,2461043306017773696,54.7,1.24
TIC 355789476,4713424658275847168,145.36,2.73
TIC 279342892,5119953517683718400,6.25,2.98
TIC 4748040,5173902189571919872,23.3,4.4
TIC 88380516,5073246882211822720,82.13,1.68
TIC 88523071,5059348952161258624,6.24,1.76
TIC 279649049,4722135642226902656,0.165,
TIC 118572803,5164707970261890560,0.31,
TIC 311092847,3263836568394170880,1.6,10.0
TIC 38511251,5164120762333028736,6.0,4.0
TIC 279485093,5114586492192519168,9.73,1.89
TIC 49952922,3245123980001812864,5.2,7.1
GAIA DR3 4676528209144882304,4676528209144882304,8.0,4.1
TIC 219234987,4781833626056162688,56.92,1.1
TIC 176379354,3188395880157173120,4.7,5.1
TIC 248411315,3212075924646082176,11.24,0.84
TIC 219420836,4772547941122028672,4.37,2.86
TIC 32500750,2907306935108521088,31.45,1.03
TIC 93280676,2964000159821218432,9.31,1.68
TIC 270577175,4792774797545800832,111.25,1.87
TIC 317721019,2995725777563537792,16.03,1.16
TIC 242250358,3121655180756368128,5.5,2.13
TIC 42334982,3118434397663311360,7.33,1.49
TIC 167602316,5478862906452936960,213.51,2.42
TIC 134497068,5509770796785820416,46.68,0.82
TIC 409319605,3030977013710528768,76.7,1.22
TIC 291635915,5493588665684618752,2.2,10.9
TIC 173673173,5586381090520538880,5.13,2.9
TIC 149672905,5588607120530408832,1.8,5.4
TIC 154360594,5698015743046182272,13.81,2.16
TIC 348837162,5730371484020807808,4.09,1.35
TIC 73764350,5441977138905560576,215.1,2.04
TIC 386563653,3754435186374119424,6.2,1.91
TIC 57611256,3478127463341507072,5.6,3.6
TIC 142328358,3466217935643483392,4.5,3.9
TIC 380353415,6053245135154609280,50.52,0.89
TIC 83151778,3501215734352781440,9.9,3.3
TIC 308210818,3511640513332581504,12.17,1.2
TIC 255854921,6062166950467100032,9.35,1.06
TIC 397587084,3732539683617410816,8.04,2.52
TIC 422478973,3507879565090229888,3.9,5.6
TIC 6029884,3640828731549972480,15.78,1.07
TIC 157966796,1284257623084916480,11.67,0.81
TIC 185284200,6337717036911729024,42.52,0.57
TIC 461297684,4421455530273900032,8.99,1.95
TIC 136915882,5902781985395901056,7.06,2.32
TIC 136916387,5902750168276592256,3.3,5.3
TIC 32203661,6316829270922140032,9.2,3.3
TIC 296856546,4429785739602747392,0.248,
TIC 179348425,6009538585839374336,3.9,8.1
TIC 119885027,1195823284391343104,201.2,3.4
TIC 410540533,6262796555119019392,92.54,0.86
TIC 69514163,5998513610949980544,22.62,0.75
TIC 502502097,4343066192373820800,20.42,1.11
TIC 210514156,6037514800199297152,17.34,0.54
TIC 58092025,4358031335898505472,7.4,4.1
TIC 220765386,4127420626087054976,0.165,
TIC 79841001,4109034455276324608,0.165,
TIC 152449405,5979460655025099776,9.26,1.29
TIC 217157387,5951165616611763456,4.4,4.4
TIC 362661163,5945941905576552064,4.5,7.7
TIC 135485021,4063417332766504576,137.72,2.13
TIC 104572330,4177224620176470912,66.45,1.23
TIC 53376588,4076915349846977664,5.4,5.8
TIC 70277020,4191794317470513664,5.0,3.6
TIC 409891396,6427464123776727168,1.5,18.8
TIC 265488188,6401464693867773568,0.165,
TIC 231698181,6412595290592307840,9.9,4.2
TIC 231267777,6508776375901968640,1.7,9.1
TIC 317019578,6382933589314905472,3.89,2.33
TIC 161314759,6515731817739456256,5.8,3.6
TIC 262841041,6492406743706907776,79.43,1.26
TIC 93912868,5318575448532526848,8.54,1.69
