star_name,gaiadr3,logRHK,S_Value,vsini,age,e_vsini
TIC 120462356,4995853014646189696,-4.35,0.38,14.6,1.1,0.5
TIC 238432056,2860924621205256704,-4.4,0.42,4.1,2.2,0.5
TIC 405187645,2745647973856851712,-4.37,0.38,14.6,1.3,0.5
TIC 22527304,2861502032312723328,-4.25,0.56,5.6,2.7,0.5
TIC 12880347,2423292879948720000,-4.97,0.16,2.3,4.3,0.5
TIC 37748347,2430102808294101760,-5.01,0.16,1.8,4.1,0.5
TIC 274801993,540077264003238528,-5.13,0.15,0.6,5.2,0.5
TIC 20926643,2347427402266219008,-4.93,0.18,1.9,11.0,0.5
TIC 401446825,2750176827892427904,-4.81,0.18,0.1,1.6,0.5
TIC 43400838,2343647384368388608,-4.83,0.19,0.1,5.5,0.5
TIC 92226990,2376087581593256448,-5.08,0.15,2.5,7.7,0.5
TIC 257393898,2552925644460225152,-4.96,0.19,0.7,11.4,0.5
TIC 445258206,425040000962559616,-4.96,0.16,0.5,5.3,0.5
TIC 369395755,2348830516542653824,-4.77,0.23,2.1,7.9,0.5
TIC 333606239,2525514785221197696,-4.86,0.19,1.4,2.1,0.5
TIC 66409287,5031808453624044800,-4.59,0.43,1.7,9.9,0.5
TIC 196692982,373208954099200768,-4.47,0.36,2.3,3.9,0.5
TIC 439410069,2468730472844294016,-4.29,0.52,4.2,3.2,0.5
TIC 11568630,5040068191130125056,-4.85,0.19,0.6,3.8,0.5
TIC 10802452,2470272812780609280,-4.32,0.53,4.7,4.0,0.5
TIC 468723402,560130775546153344,-4.85,0.22,0.2,8.7,0.5
TIC 18121498,297045096447719040,-4.89,0.17,3.5,4.2,0.5
TIC 248955931,2482274463233174016,-4.82,0.2,2.5,6.0,0.5
TIC 191770861,396341196983414272,-4.37,0.34,12.9,1.1,0.5
TIC 55857787,5038817840251308288,-4.62,0.29,0.8,3.5,0.5
TIC 18251910,291701396922348672,-4.37,0.39,2.3,2.8,0.5
TIC 29845542,2477891500647336704,-5.07,0.15,4.2,5.0,0.5
TIC 398018469,532057254394731776,-4.98,0.17,0.2,4.5,0.5
TIC 346923890,2585856120791459584,-4.92,0.17,1.1,3.1,0.5
TIC 279209741,519478154178249728,-4.95,0.17,1.3,7.3,0.5
TIC 113710966,96331172942614528,-4.93,0.19,0.1,8.1,0.5
TIC 419015728,2452378776434477184,-4.98,0.17,0.1,12.4,0.5
TIC 456905162,95652018353917056,-5.04,0.16,1.5,7.2,0.5
TIC 373694425,512167948043650816,-4.71,0.26,0.8,4.4,0.5
TIC 60959951,98692614681349248,-4.33,0.45,5.9,1.2,0.5
TIC 24978373,2462426800883134336,-5.17,0.14,0.1,8.1,0.5
TIC 284013790,304991163902854784,-5.04,0.16,0.1,9.0,0.5
TIC 422679659,2511794495013074048,-5.11,0.14,5.1,3.6,0.5
TIC 118268680,105332908999068032,-5.03,0.16,1.8,4.1,0.5
TIC 405376575,104453918172129792,-5.05,0.15,0.7,4.8,0.5
