star_name,gaiadr3,vsini,e_vsini
TIC 121025936,5107106033552702208,0.483,
TIC 96195878,3601912720075891968,2.37,
TIC 275786473,5982775854377691136,0.734,
TIC 455350410,6100277947576330496,0.507,
TIC 437701837,2598935670597134464,2.295,
TIC 313392144,5856250378426143616,0.505,
TIC 99837626,6830027182179257472,0.5,
TIC 41117582,4333230201866390656,2.272,
TIC 38965821,4703649725026569088,0.513,
TIC 758285,5726135065724589056,0.327,
TIC 206828302,5835498883232034816,0.223,
TIC 38511251,5164120762333028736,2.032,
TIC 457609006,5898774712172083712,0.505,
TIC 220022156,4743692151804240896,0.5,
TIC 129278547,6669199657880255360,4.1,
TIC 178170409,5052007684818274816,0.272,
TIC 78189262,5410453732524556672,0.509,
TIC 389214310,5380306876026603648,0.202,
TIC 54237857,5450573881018549760,0.398,
TIC 118572803,5164707970261890560,1.507,
TIC 279314081,6567494213835357056,0.268,
TIC 326538408,5856411869205581568,0.26,
TIC 292113181,3684934540986187776,0.499,
TIC 219143616,4794180076484107520,1.882,
TIC 308311310,6303961686341504512,0.685,
TIC 269592480,2532372026925699712,0.344,
TIC 267399515,5341787994441794176,0.489,
TIC 124403080,6182398370808620032,0.679,
TIC 301232495,2644804409490009600,0.391,
TIC 423669680,2377094321926764160,0.331,
TIC 203230367,3642413746280598784,0.385,
TIC 67772871,3195919528989223040,0.369,
TIC 87989721,6724520279784564864,0.501,
TIC 326096771,6847167606385195648,0.493,
TIC 469905613,6405211554615620864,0.5,
TIC 389315309,6160221740968692992,0.585,
TIC 237933451,4669647293578584448,2.052,
TIC 160186610,2985258942263094016,0.34,
TIC 169225390,3805647792295621376,2.042,
TIC 269613621,3245657582441858688,0.365,
TIC 193136060,5468679229755326848,0.37,
TIC 207585172,5872022185537043328,0.895,
TIC 114809058,2336728947968831104,0.39,
TIC 446137194,5406324138654973824,0.375,
TIC 28117238,5042876584345665280,0.695,
TIC 267083739,4703237305087371392,2.53,
TIC 53952985,6617495364101129728,1.54,
TIC 330078921,4265754822578472576,0.504,
TIC 389506883,4657193606465368704,0.432,
TIC 11649919,5037053227167460352,1.053,
TIC 81200079,5519593520133411584,0.696,
TIC 379348964,6650273867313671296,0.682,
TIC 386899832,5300239064919282816,1.076,
TIC 407090552,5778418870846853888,0.702,
TIC 141306732,5179196819095942272,2.054,
TIC 393844873,5640565607657897728,0.501,
TIC 273984891,4632033344389469184,0.506,
TIC 144503312,5060105897197110144,0.484,
TIC 343953616,6636878207913353600,0.656,
TIC 316781121,2324785228033780608,0.596,
TIC 43866397,3182634954624823168,0.574,
TIC 32550429,2456361448068627712,0.849,
TIC 419015728,2452378776434477184,0.518,
TIC 160116798,4857619423505528320,0.746,
TIC 453452671,3590590224210558848,0.746,
TIC 33949151,2328303768321982080,1.381,
TIC 24978373,2462426800883134336,0.501,
TIC 167415965,5266722205277801984,1.391,
TIC 38638674,3643688458214366080,0.752,
TIC 185267623,4066590798160123776,0.748,
TIC 129855305,4063687056632310784,1.54,
TIC 243979187,4065583301939138432,0.756,
TIC 279246287,5485320853638354304,0.685,
TIC 394125166,6489771832811810432,0.674,
TIC 89320803,5082840945798327936,0.532,
TIC 189694184,3650718804281798912,1.054,
TIC 20856917,6029992663310612096,1.056,
TIC 201293664,4918476567469050624,1.584,
TIC 38086286,3786697056556771584,0.608,
TIC 52121796,4704957491028733824,1.535,
TIC 382073690,6434759761383343744,1.285,
TIC 220412945,4777373903814124032,1.025,
TIC 257460434,5149717881562904320,0.778,
TIC 441453170,6779678792398336896,1.54,
TIC 380699270,3702148666829533952,1.028,
TIC 33257294,3771310387757739392,0.62,
TIC 301051051,4847957293278177024,0.564,
TIC 307624961,5726982995343100928,0.719,
TIC 430909324,5834852267294819072,2.798,
TIC 248957280,2534009921293834240,0.613,
TIC 20416870,3532823773073745536,0.886,
TIC 292206680,6213644846302305536,0.589,
TIC 5433058,4154791250114009472,1.541,
TIC 188401533,6854626246593473792,0.735,
TIC 409829440,5935065983239912320,1.382,
TIC 334644751,5906633952564270848,1.379,
TIC 65325217,5069294481507177344,1.515,
TIC 47526465,6610107504955838336,1.537,
TIC 332891271,2500695921563092736,2.051,
TIC 45045365,5433212283180626432,2.566,
TIC 101622280,6666015128609223552,0.751,
TIC 197792776,4729947569262040960,0.823,
TIC 340697083,5488567574038257280,1.534,
TIC 117768715,2893174259322992256,0.611,
TIC 114806039,2341817487782612480,0.72,
TIC 184269804,5541950959521537792,1.496,
TIC 352510765,6370513647703084544,0.779,
TIC 147718994,3646061719703116032,0.631,
TIC 36954567,3775795982881589376,1.498,
TIC 280859200,5236623864770649600,1.54,
TIC 89712532,5321012172453217152,0.65,
TIC 76723012,4122133830616441728,0.917,
TIC 74218395,4130605425932372992,0.765,
TIC 97506256,5079099582606498432,2.054,
TIC 329649885,5855730584310531200,1.374,
TIC 70460363,6606890608810806528,1.539,
TIC 9967949,5168359139139252352,0.647,
TIC 142875660,5056511692465250304,1.848,
TIC 66437824,2390702771185162112,1.538,
TIC 289513804,3600638179941831936,0.773,
TIC 439911365,5181087291900789888,1.376,
TIC 262818224,6493004500076966144,0.588,
TIC 370137704,4642472794978268800,1.528,
TIC 364395684,5289365788258503552,0.797,
TIC 211217450,6735442725215002112,1.586,
TIC 80085363,6587352489048147328,1.436,
TIC 11648750,5029110664406696320,0.675,
TIC 50227884,2619706544757416192,1.538,
TIC 46686960,2972016080621222528,1.621,
TIC 11637943,5036258177181358720,0.807,
TIC 290493086,5768159705804908800,1.536,
TIC 32820141,5424836719001215360,1.539,
TIC 290543478,4634528720388462592,5.065,
TIC 234306483,4694695852085869568,1.383,
TIC 122574949,5062313166791762176,0.817,
TIC 370232736,6458847862122637440,1.54,
TIC 452501166,5217826648313336576,1.001,
TIC 383429933,5766054141036403712,1.789,
TIC 11665403,5643762781311698048,3.232,
TIC 39543054,3022685626580347392,0.665,
TIC 370101728,4653311093421344384,1.553,
TIC 71960105,4356054757585316992,1.385,
TIC 403223176,6506893771477045888,0.819,
TIC 111148377,6837559970700624768,2.567,
TIC 49427341,3786035184916139136,0.843,
TIC 464013520,5974066343551468544,0.855,
TIC 186579346,5891531404470141824,0.73,
TIC 253928127,6597043794989308928,1.53,
TIC 53938218,6617815730006011776,1.585,
TIC 422478973,3507879565090229888,1.527,
TIC 157324520,3480332916165099904,1.382,
TIC 41123769,4176501313320676992,0.664,
TIC 149743134,5761566656125168512,1.581,
TIC 18097734,4153637759337630720,0.894,
TIC 408006047,2427582693283953792,1.366,
TIC 114178837,6741888096717765888,0.771,
TIC 248194676,6914237987476826624,0.84,
TIC 309284002,6208649077782080000,1.851,
TIC 167839774,3550148743432500992,1.843,
TIC 330551022,6092573252981419776,1.839,
TIC 250205478,2684228223537656576,1.979,
TIC 43400838,2343647384368388608,0.71,
TIC 193032655,5461620846141553024,0.817,
TIC 409891396,6427464123776727168,1.507,
TIC 269282550,2674471122993231104,0.66,
TIC 179348425,6009538585839374336,2.557,
TIC 260139862,5800160441999825792,1.542,
TIC 382625142,5287961677550103424,1.308,
TIC 144511638,6153706477443518976,0.833,
TIC 113403971,4041857799496807936,0.641,
TIC 291635915,5493588665684618752,0.897,
TIC 352316369,6423511619991420544,1.531,
TIC 36726370,2610488514148352000,1.541,
TIC 254147274,6718894388002453120,0.745,
TIC 454082369,5381537023379295232,1.833,
TIC 262457542,5798962867668048768,1.562,
TIC 53688090,5609058277323483392,1.491,
TIC 332204965,5726261784439754624,1.858,
TIC 110707531,5612299328373516416,1.843,
TIC 333459486,5898641087150340224,1.54,
TIC 308983576,5465421617320589184,1.668,
TIC 117948083,5701922342208943232,1.493,
TIC 234501204,4708607629114652032,1.38,
TIC 207077159,6582020205549054720,2.304,
TIC 469936356,6498197630933903872,1.858,
TIC 418383992,5783508853769085312,1.504,
TIC 326451898,6621026789291266304,1.821,
TIC 277712053,3835867938104798848,1.376,
TIC 151654299,4076014471814188160,1.843,
TIC 267519701,5341673851394297600,1.53,
TIC 248570964,2689215230324385792,2.35,
TIC 333606239,2525514785221197696,1.844,
TIC 248689603,3201236698501590272,0.763,
TIC 136916387,5902750168276592256,1.546,
TIC 58360410,4354950641755249024,1.555,
TIC 412542081,6061388186966894848,1.822,
TIC 290305042,6358928609077405568,0.64,
TIC 200806355,4735789824296104320,1.54,
TIC 405501056,6166183842771027328,1.581,
TIC 37947783,3179384931394690304,2.054,
TIC 183356952,5540006949934104448,1.57,
TIC 250975235,2622929144618856704,0.808,
TIC 79105432,6320657976568115584,1.386,
TIC 101145648,2919760965880144384,1.953,
TIC 59476871,4367026303085396352,1.552,
TIC 205591703,6904703228801028864,0.87,
TIC 7144533,4991747403868417792,1.844,
TIC 56812239,3598278250031419008,1.85,
TIC 6041460,3639760521643499776,2.014,
TIC 144046368,6517095109079262336,1.54,
TIC 401841366,4955948336060703488,2.314,
TIC 248959861,2485124466091903616,2.307,
TIC 98993377,3485971555389836160,1.541,
TIC 270205941,5644325284591298688,1.389,
TIC 469934028,6501182220888038784,1.536,
TIC 111245241,4958188247405308672,0.858,
TIC 279069526,3261878613062758144,1.842,
TIC 287609748,6088054505011960832,1.541,
TIC 29832209,4655882679310434816,1.575,
TIC 339406181,5843623140212451840,1.771,
TIC 332635310,5731252295913584768,1.394,
TIC 71739520,5387328735240580224,1.387,
TIC 151956235,5395795730687103488,0.802,
TIC 232022864,5569858798004394624,1.532,
TIC 140282069,2902205991429301888,1.85,
TIC 281498595,4923433303326992384,1.844,
TIC 441501782,5155981730587168384,1.554,
TIC 50651990,3028228853115437312,1.842,
TIC 352402781,6427244702486210816,0.841,
TIC 32550957,2451580320537911680,0.698,
TIC 36733752,3767319332347773184,2.569,
TIC 30293512,6141742283401003264,1.844,
TIC 213008216,2529192475520963840,1.537,
TIC 176521059,3023711269067191296,1.377,
TIC 295742782,3033005406506033664,2.055,
TIC 61397572,6226694571859532800,2.305,
TIC 139699247,6466670337598422912,1.541,
TIC 169248301,3802549437248150656,2.013,
TIC 38698692,4675222436007028608,1.846,
TIC 126584063,6484716209628726912,1.8,
