star_name,gaiadr3,vsini,e_vsini
TIC 168975758,3066710282611675776,47.5,
TIC 389121767,3393284752392701312,34.1,
TIC 459250741,1226796526941689856,7.5,
TIC 326202925,1896396703077703936,8.2,
TIC 328324648,976893923544104576,9.7,
TIC 22874788,102082477749475200,43.5,
TIC 265917815,2707385278448285696,9.8,
TIC 233121747,2161275788716592256,10.3,
TIC 248383125,2533660345315782528,9.0,
TIC 95431211,624684408880100992,17.5,
TIC 91437378,108421608959951488,26.7,
TIC 318705095,2717930312217660928,6.7,
TIC 34691643,115311458058061440,3.6,
TIC 455817128,1931708859034495488,20.7,
TIC 289673491,2416611663182821120,6.3,
TIC 248411315,3212075924646082176,10.8,
TIC 46125330,3374052988354372992,7.2,
TIC 35761475,2498460442625153536,33.1,
TIC 380543530,3800758057928927872,15.1,
TIC 22516402,4590758227641991424,4.5,
TIC 455179026,3089675232224086784,4.5,
TIC 345194297,1758463038092175232,2.8,
TIC 61138899,68001499939741440,3.9,
TIC 267803418,362082308742525824,2.9,
TIC 394172596,2101486923385239808,1.7,
TIC 385109163,241393040535105280,1.7,
TIC 115858251,830239138487431808,5.0,
TIC 365986270,2182197777015312512,4.2,
TIC 229902025,1264630412816366720,44.1,
TIC 160600809,1704062466923822336,48.5,
TIC 102806077,494177257749671936,3.8,
TIC 275063206,4576863905365412736,3.7,
TIC 327349605,350664155368182656,3.8,
TIC 279209741,519478154178249728,3.5,
TIC 21623610,1536064958579187840,3.6,
TIC 56812239,3598278250031419008,3.9,
TIC 88775119,2575383100738086656,3.7,
TIC 99381773,1571411233756646656,2.6,
TIC 302618307,518458597663391744,2.8,
TIC 159190692,1565867461768654208,6.5,
TIC 130712175,3637598641265071488,5.5,
TIC 321439183,1469230212276302080,3.8,
TIC 141816239,1562668432688194688,2.3,
TIC 390730327,3725115471868587904,2.5,
TIC 284013790,304991163902854784,2.8,
TIC 115110801,1250801855073489280,2.5,
TIC 147718994,3646061719703116032,2.9,
TIC 173106845,1453180404823190912,3.8,
TIC 157940833,6323603052822806784,17.2,
TIC 405376575,104453918172129792,2.9,
TIC 368804760,3655492127855307136,2.7,
TIC 161058448,1606148310770764288,1.5,
TIC 309765388,1592338513445876608,9.6,
TIC 288183829,1722385725122129408,4.8,
TIC 347583453,458598367152568448,3.4,
TIC 38838329,4418203587193988480,2.5,
TIC 461272840,4419140645978987904,3.8,
TIC 379603165,520377795206114688,3.0,
TIC 159331746,1720995598827435648,6.5,
TIC 159331748,1720995598827436928,5.8,
TIC 332891271,2500695921563092736,3.7,
TIC 236316949,1219254942328596736,1.7,
TIC 310517307,1380263027052621696,5.7,
TIC 236343611,1316920711932740992,4.8,
TIC 17618172,1319438043804452352,4.8,
TIC 115582977,1408029436569383296,3.5,
TIC 351654581,4548462729742343296,2.4,
TIC 61011554,89278733563399936,3.5,
TIC 188640759,1416124285987232256,1.3,
TIC 327307686,4387079367952007168,3.9,
TIC 270258076,1362295082910131200,2.1,
TIC 233192934,1651235193817400448,2.9,
TIC 41123769,4176501313320676992,3.1,
TIC 441811910,1651645517813056384,9.2,
TIC 73626552,132922438878995968,2.6,
TIC 104968126,4275410252622589312,2.7,
TIC 399375614,4474963057485435520,2.9,
TIC 399244384,4471087175915086080,3.6,
TIC 399478206,4475028306629554944,3.8,
TIC 135443051,4576326312902814208,16.0,
TIC 391368040,4482248936925366400,12.1,
TIC 391439641,4474929384941435904,5.2,
TIC 180762527,4590489981163831296,10.6,
TIC 25932480,4478529529619894400,3.4,
TIC 258666933,4535144998232287232,3.3,
TIC 109132460,4283652432293739392,10.3,
TIC 397368422,114832620743735808,4.0,
TIC 93137389,4503794795019024000,3.1,
TIC 226327470,4279461609366875520,3.5,
TIC 227409000,4281201414717499520,13.6,
TIC 20785413,2041085973668754176,4.1,
