star_name,gaiadr3,vsini,e_vsini
TIC 311092847,3263836568394170880,3.2,
TIC 8915802,798068905726303232,1.4,
TIC 23969522,821455861647126656,1.6,
TIC 27533327,2135550755683407232,1.0,
TIC 80226651,3381727613874753536,1.6,
TIC 219030951,3966121308211393920,2.1,
TIC 359981217,4315804351350378496,1.8,
TIC 458445966,1534011998572555776,1.2,
TIC 327349605,350664155368182656,3.8,
TIC 393884179,773861404893710208,1.4,
TIC 359119757,1463742931994936960,1.0,
TIC 393713800,3712538708114516736,1.0,
TIC 284013790,304991163902854784,1.2,
TIC 250419029,2506906787870475904,1.9,
TIC 198304072,1265976524286377856,6.3,
TIC 351354256,1212385193677160832,1.0,
TIC 148817611,1389522392427772288,1.0,
TIC 24089803,1379500756257031808,1.0,
TIC 17617323,1329002145698389760,2.0,
TIC 115509518,1357935759823973376,1.2,
TIC 39464221,1335880415564253312,1.8,
TIC 357793687,2112083741571086592,7.1,
TIC 394547839,2046207670631964928,1.0,
TIC 134352603,4314798744888764544,2.5,
TIC 403585118,2246581329639103872,1.2,
TIC 330872058,1814241194252808704,1.0,
TIC 293367726,2743198605549406464,1.0,
TIC 385590511,66892264508548864,2.8,
TIC 27936849,257134507991047936,1.3,
TIC 176521059,3023711269067191296,1.0,
TIC 91928222,3346787986201584896,1.2,
TIC 307943195,3352152743956693376,1.2,
TIC 306956595,416736832741633792,1.9,
TIC 60847893,3362649918901844608,1.3,
TIC 4624167,880495478530513920,8.0,
TIC 171523537,876370076542359936,1.0,
TIC 165852811,902007870203594880,1.0,
TIC 27304566,918107434852949888,1.1,
TIC 121286109,3073562610873679872,1.0,
TIC 126319262,691401846741926400,1.5,
TIC 283786963,584923525799308160,1.4,
TIC 399732990,2559181861327324928,1.7,
TIC 39777146,806000816970521728,1.1,
TIC 302767887,856774374153131008,1.6,
TIC 346923890,2585856120791459584,1.0,
TIC 153498031,3330062833797919744,2.2,
TIC 373694425,512167948043650816,1.1,
TIC 59476871,4367026303085396352,1.0,
TIC 416117806,2115351387048328832,1.0,
TIC 176791985,1939093660163197312,2.2,
TIC 419919445,2756363608023588864,6.3,
TIC 259237827,2261614264931057664,1.0,
TIC 387609654,8479094371605632,1.5,
