star_name,gaiadr3,vsini,e_vsini
TIC 113710966,96331172942614528,2.5,
TIC 456905162,95652018353917056,5.1,
TIC 340641623,4506124621465681536,28.2,
TIC 248854510,6912276699251278848,5.7,
TIC 8915802,798068905726303232,4.7,
TIC 282038438,4530744134231683840,18.0,
TIC 47346402,3400292798990117888,17.0,
TIC 47345026,3394298532176344960,4.4,
TIC 422679659,2511794495013074048,7.7,
TIC 58092025,4358031335898505472,2.4,
TIC 212957673,2528433919872925312,12.0,
TIC 284794221,3290765291786058496,5.3,
TIC 286176467,131483276941461888,6.1,
TIC 219483057,1385293808145621504,3.3,
TIC 23969522,821455861647126656,5.2,
TIC 275240386,1821708351374312064,5.6,
TIC 27533341,2135550755683405952,5.2,
TIC 27533327,2135550755683407232,5.1,
TIC 429149606,3482326708703712896,10.0,
TIC 429149602,3482326708703712640,9.6,
TIC 377227654,3900151160301345152,7.8,
TIC 321436233,269413338450710016,6.0,
TIC 92226990,2376087581593256448,5.3,
TIC 135656809,4345775217221821312,4.4,
TIC 172954294,746545172372256384,4.7,
TIC 301558151,3247680138377334912,4.5,
TIC 61397572,6226694571859532800,4.5,
TIC 1042868,741184091114529792,5.7,
TIC 219777482,1439121018358632832,6.0,
TIC 169225390,3805647792295621376,4.8,
TIC 95360265,725469767850488064,5.5,
TIC 436546045,2803936143261926272,5.8,
TIC 79454735,4109030160308320128,4.3,
TIC 1277142190,4109030160308317312,4.4,
TIC 416519065,853819947756949120,5.3,
TIC 80226651,3381727613874753536,5.3,
TIC 91359060,3381891303668248576,6.8,
TIC 95360514,725398123501434496,6.1,
TIC 172607904,1191518146611956096,4.2,
TIC 15736408,53112944270520832,5.6,
TIC 408294141,1736325127380047744,7.9,
TIC 155706950,6841803123511245696,8.1,
TIC 21535479,777254360337133312,5.6,
TIC 410696277,6250364583302109312,11.0,
TIC 353204779,225643223661003392,4.8,
TIC 461297684,4421455530273900032,6.5,
TIC 353257675,225668203191521280,19.0,
TIC 233466076,1387349065967311744,5.3,
TIC 1101794351,1387349065960639232,7.1,
TIC 139298196,2835207319109249920,5.6,
TIC 46297363,609834198678048512,6.0,
