star_name,gaiadr3,vsini,e_vsini
TIC 281667171,4906784051581971200,2.82,0.21
TIC 24910401,2461045711199481472,3.11,0.01
TIC 467578950,125343573948444800,3.6,0.84
TIC 445925813,10608573516849536,4.94,0.07
TIC 301051051,4847957293278177024,3.1,0.02
TIC 61138899,68001499939741440,3.1,0.49
TIC 301564622,3250489115709122560,2.93,0.16
TIC 456863710,43789772861265792,50.58,6.63
TIC 440701014,66482352830035840,2.45,0.13
TIC 427736349,67351757289092224,3.09,0.01
TIC 242944633,38354680725946240,3.09,0.01
TIC 242946125,43538293935879680,4.02,0.14
TIC 14331880,50327297200978176,3.33,0.24
TIC 15756558,50298125783225088,3.41,0.31
TIC 15757189,47019347749289216,4.02,0.14
TIC 311151814,45367056650753280,4.66,0.41
TIC 389018596,45159901786885632,3.63,0.53
TIC 434230605,3311514210073309056,3.1,0.02
TIC 434229836,3304412601908736512,3.64,0.07
TIC 16048383,149005270337201792,5.08,0.09
TIC 283751025,3300934223858467072,15.48,0.03
TIC 283792884,3285218186904332288,3.6,0.84
TIC 434236912,3312197934506930944,3.33,0.24
TIC 17198787,49005581144118784,3.51,0.32
TIC 435907579,47345009348203392,3.09,0.01
TIC 17232188,48203487411427456,9.94,0.37
GAIA DR3 145325548516513280,145325548516513280,3.66,0.43
TIC 17335733,48197783694869760,3.09,0.01
TIC 435930763,3311148828615843328,3.79,0.09
TIC 17339628,145373377272257664,8.18,0.07
TIC 17383020,3314079508140198528,4.4,0.24
TIC 60903802,3313689422030650496,4.4,0.24
TIC 372995004,3306007129990778368,,
TIC 245786953,3312709379213017728,8.78,0.53
TIC 373027194,3306922958753764992,8.35,0.74
TIC 245789646,3307844864893938304,4.02,0.14
TIC 245792139,3314109916508904064,4.66,0.41
TIC 245794704,3314213025787054592,3.09,0.01
TIC 245800048,3312951748510907648,3.41,0.31
TIC 456945485,144171233106399104,3.72,0.16
TIC 245826993,3307815006281475200,4.4,0.24
TIC 245863570,3312575685471393664,3.79,0.09
TIC 436590739,3309006602007842048,3.66,0.43
TIC 18585208,3411887595780736128,4.02,0.14
TIC 436643589,3405113740864365440,4.9,0.27
TIC 27136704,3407611182744289152,2.72,0.67
TIC 94945758,3009908378049913216,47.17,2.3
TIC 420964096,2964794041574370560,2.14,0.08
TIC 141411201,4650314511916109696,2.94,0.16
TIC 93280676,2964000159821218432,7.74,0.01
TIC 232022864,5569858798004394624,2.33,0.2
TIC 16045498,898639447612575104,4.31,1.48
TIC 130181866,875071278432954240,4.85,1.13
TIC 95431305,625453654702751872,,
TIC 396255306,5790389872417570816,2.62,0.04
TIC 76136632,2113056534482408448,3.09,0.01
TIC 406095880,6655168686921108864,69.08,3.13
TIC 27533341,2135550755683405952,2.66,0.37
TIC 27533327,2135550755683407232,2.45,0.13
TIC 293954617,2089570519439964416,4.77,0.4
TIC 389198736,6697578465310949376,3.02,0.61
TIC 351604689,6454967273273436416,4.44,0.21
TIC 79403675,6463782435948431616,15.48,0.0
TIC 278614418,6569895822110445440,2.42,0.16
TIC 410214986,6387058411482257536,16.63,0.98
