star_name,gaiadr3,vsini,l_vsini
TIC 425935521,4900108950849461248,3.23,True
TIC 267211065,4683897617110115200,2.64,False
TIC 66409287,5031808453624044800,3.52,False
TIC 231005905,4911306239828325760,5.64,False
TIC 220017951,4937000898856156288,0.18,False
TIC 279649057,4722111590409480064,2.64,True
TIC 279649049,4722135642226902656,2.64,True
TIC 301051051,4847957293278177024,0.18,True
TIC 381949122,4763906879239461632,18.34,False
TIC 93280676,2964000159821218432,9.84,False
TIC 141810080,5264749303462961280,0.32,False
TIC 181273463,5528866839863569024,9.63,False
TIC 454082369,5381537023379295232,0.32,True
TIC 413356994,5866992641380992256,3.97,False
TIC 341149986,5826168461855385472,69.63,False
TIC 206828302,5835498883232034816,3.97,True
TIC 350673608,6018047019138644480,0.32,True
TIC 362747897,5808612830236138368,3.23,False
TIC 217157387,5951165616611763456,,False
TIC 1544160,4079684229322231040,0.32,True
TIC 409891396,6427464123776727168,0.32,True
TIC 389198736,6697578465310949376,3.97,True
TIC 326096771,6847167606385195648,3.97,True
TIC 265488188,6401464693867773568,9.84,True
TIC 231267777,6508776375901968640,0.32,True
