star_name,gaiadr3,vsini,l_vsini
TIC 37748347,2430102808294101760,4.18,False
TIC 37749396,2428162410789155328,0.53,True
TIC 194531699,379582273249916416,3.74,False
TIC 434210589,2802397960855105920,11.97,False
TIC 424009747,369092520004831232,9.16,False
TIC 267803418,362082308742525824,0.53,False
TIC 257392565,2549518150551364864,3.35,True
TIC 257393898,2552925644460225152,9.04,False
TIC 333606239,2525514785221197696,13.97,False
TIC 435874566,2788907296779604864,3.35,True
TIC 243187830,2791782794564103808,3.35,True
TIC 284120761,2475331528340199936,13.04,False
TIC 196841006,373349657227961472,8.78,False
TIC 16917838,294517800251711616,3.68,True
TIC 29900813,2477815222028038272,0.45,False
TIC 113710966,96331172942614528,1.2,True
TIC 88775119,2575383100738086656,9.01,False
TIC 24910401,2461045711199481472,3.34,False
TIC 284013790,304991163902854784,14.54,False
TIC 332819192,2493069773336748928,8.12,False
TIC 422844595,2515752565074318720,10.18,False
TIC 278962915,19316224572460416,3.35,True
TIC 387422624,25488745411919360,8.11,False
TIC 218291131,33439176553394048,9.26,False
TIC 286636275,466294295706341760,16.48,False
TIC 365441779,14163878724940672,1.2,True
TIC 259248295,443016706832479488,3.04,True
TIC 279182339,5170039467784804096,0.53,True
TIC 651667585,5101578445000656128,3.21,True
TIC 301564622,3250489115709122560,9.7,False
TIC 434138790,36590651757883392,7.33,False
TIC 393194318,474648763011926272,10.29,False
TIC 250158330,3203456956075394944,8.14,False
TIC 17558287,145421309108301184,1.11,False
TIC 293608218,3392089755051027712,1.2,True
TIC 249076418,3213958769587525888,3.69,False
TIC 442893646,2983256662869643776,7.37,False
TIC 47345026,3394298532176344960,0.53,True
TIC 50587969,3210731015768096000,3.35,True
TIC 310872966,215395053733297024,1.2,False
TIC 426400173,3456337827237371264,12.05,False
TIC 468828186,1105408965770145920,0.53,True
TIC 153289168,3319126988068404096,1.49,False
TIC 153498031,3330062833797919744,12.09,False
TIC 353436550,3382815271394515072,7.4,False
TIC 240153098,937667952871051776,3.35,False
TIC 307754027,952326504452337792,5.03,False
TIC 191946194,954713853434626176,10.46,False
TIC 282210766,3101923001490347392,8.07,False
TIC 80226651,3381727613874753536,1.89,True
TIC 197146239,950395658954590080,6.91,False
TIC 58853031,3379989457790428416,3.01,True
TIC 252924197,978615483876384000,6.59,False
TIC 91686663,887822001246832384,1.92,False
TIC 156890613,974887555341533440,1.89,True
TIC 239137106,892215482207937152,7.14,False
TIC 239137207,892160231749198848,50.74,False
TIC 328324648,976893923544104576,5.88,False
TIC 247116238,3165287719154543232,3.04,True
TIC 66100263,3057712223051571200,4.63,False
TIC 293253336,670216834655936128,6.36,False
TIC 25994436,3083867749248355456,0.53,True
TIC 171523537,876370076542359936,5.65,False
TIC 165852811,902007870203594880,1.49,True
TIC 252994598,935525039066950528,0.53,True
TIC 139346470,708608825759209088,3.81,False
TIC 302188141,683184784030475520,4.45,False
TIC 27304566,918107434852949888,12.37,False
TIC 121286109,3073562610873679872,5.6,False
TIC 468986285,594989417312890368,3.23,False
TIC 51443167,5755064487956174720,9.44,False
TIC 443965212,602079652404802688,3.18,True
TIC 459056725,596878550087942528,1.89,True
TIC 62569281,5760701787150565888,3.58,False
TIC 21439835,816649002967779584,21.17,False
TIC 35229531,607464716759460480,16.32,False
TIC 290468468,579567598501642368,41.2,False
TIC 149396581,695614900422221440,1.2,True
TIC 277533870,5746426720312132608,7.73,False
TIC 77549389,3837697972130323456,14.04,False
TIC 383188202,3852570413083923072,8.85,False
TIC 46907042,5739942011185493888,29.03,False
TIC 172533278,646255212109355136,29.71,False
TIC 8915802,798068905726303232,7.22,False
TIC 23969522,821455861647126656,1.89,False
TIC 172954294,746545172372256384,3.08,False
TIC 407591082,747266452000257280,1.2,True
TIC 371520835,823773494718931968,5.21,False
TIC 95360514,725398123501434496,2.16,False
TIC 386563653,3754435186374119424,31.06,False
TIC 391844777,3750995604764854400,10.64,False
TIC 53178075,3789271459953459328,0.45,True
TIC 9377536,764805169996366720,5.74,False
TIC 9001920,732857558276385664,5.83,False
TIC 143047975,3566643651231641600,1.9,True
TIC 85335212,761919883981626752,7.74,False
TIC 82308728,3997075206232885888,3.18,False
TIC 38086286,3786697056556771584,1.52,False
TIC 219030951,3966121308211393920,3.59,False
TIC 144160090,3585636855608873984,7.27,False
TIC 309599261,4034171629042489088,9.28,False
TIC 398269300,3518916943846357376,3.68,False
TIC 21623610,1536064958579187840,1.2,True
TIC 22481324,3517119173615245824,0.53,True
TIC 389853353,1521686782461765888,8.11,False
TIC 160010717,3957887649746830976,11.97,False
TIC 159190692,1565867461768654208,1.2,True
TIC 95473936,3740176925743994752,4.83,False
TIC 659763,3630092241022731136,0.53,True
TIC 115110801,1250801855073489280,0.53,True
TIC 457880598,3724242219117947904,0.45,True
TIC 308311310,6303961686341504512,11.71,False
TIC 147718994,3646061719703116032,18.16,False
TIC 173106845,1453180404823190912,9.43,False
TIC 6029884,3640828731549972480,4.39,False
TIC 6095985,3639984066101401344,9.38,False
TIC 156641715,1284721994948665216,10.4,False
TIC 446436963,3654496279558010624,3.08,True
TIC 349606708,1176209886733406592,9.39,False
TIC 450354414,1185619988280226944,7.68,False
TIC 416612744,1234693112077610880,1.9,True
TIC 198304072,1265976524286377856,8.54,False
TIC 311182515,1265702917689682944,4.0,False
TIC 192679501,6313600142709958144,3.68,True
TIC 460381297,1156846524895814144,3.68,True
TIC 229902025,1264630412816366720,11.15,False
