star_name,gaiadr3,vsini,l_vsini
TIC 434210589,2802397960855105920,6.79,False
TIC 257393898,2552925644460225152,6.3,False
TIC 445258206,425040000962559616,3.15,True
TIC 252191219,411413822074322432,4.17,False
TIC 189576919,348020482735930112,10.73,False
TIC 327507922,348515297330773120,4.07,True
TIC 113710966,96331172942614528,7.01,False
TIC 419015728,2452378776434477184,3.26,True
TIC 373694425,512167948043650816,2.67,False
TIC 63782132,326173044957518080,3.93,False
TIC 72748794,5117974602912370432,3.26,True
TIC 326242565,5129338021224785408,28.02,False
TIC 30016911,5160075762132996992,7.74,False
TIC 116988032,436648129327098496,3.15,False
TIC 88523071,5059348952161258624,4.41,False
TIC 343813545,3269362645115584640,5.86,False
TIC 118572803,5164707970261890560,4.08,False
TIC 311092847,3263836568394170880,2.67,False
TIC 38511251,5164120762333028736,6.79,True
TIC 121025936,5107106033552702208,3.03,False
TIC 67772871,3195919528989223040,4.06,True
TIC 117979951,2980492387558410112,4.07,False
TIC 399665349,3288921720025503360,19.22,False
TIC 213041474,3211461469444773376,5.18,False
TIC 409104974,188771135583573504,3.15,True
TIC 311063391,263916708025623680,4.06,False
TIC 114776214,3399063235755057792,10.79,False
TIC 66100263,3057712223051571200,9.5,False
TIC 307624961,5726982995343100928,6.79,True
TIC 393844873,5640565607657897728,6.79,True
TIC 417762326,1092545710514654464,11.21,False
TIC 332064670,704967037090946688,2.27,False
TIC 150226696,1018776176872261248,8.77,False
TIC 8915802,798068905726303232,6.72,False
TIC 416519065,853819947756949120,3.41,True
TIC 21535479,777254360337133312,3.15,True
TIC 57611256,3478127463341507072,6.79,True
TIC 101641846,4025850731201819392,3.26,True
TIC 366661076,3796442680948579328,3.41,False
TIC 152738837,3575733210781078016,3.26,True
TIC 458445966,1534011998572555776,3.15,True
TIC 51735845,3683687763520080384,31.36,False
TIC 138128530,3937881211045638400,21.47,False
TIC 445070560,1460229442589223424,4.72,False
TIC 397587084,3732539683617410816,10.64,False
TIC 373765355,3936909723803146368,2.86,False
TIC 422478973,3507879565090229888,1.35,False
TIC 359220741,1451450048399808384,6.27,False
TIC 1000275770,1244946371540479616,15.43,False
TIC 202380743,1661568850770761600,7.43,False
TIC 311180437,1237090738916392704,3.26,False
TIC 267365256,1236929488664453376,6.35,False
TIC 1102093580,1588936345294751872,3.15,True
TIC 296740796,4430238051199001216,3.15,True
TIC 377415363,1193030490492925824,11.71,False
TIC 24089803,1379500756257031808,3.26,True
TIC 135656809,4345775217221821312,4.07,True
TIC 58092025,4358031335898505472,4.12,False
TIC 1277142190,4109030160308317312,5.12,False
TIC 9728611,1333760419707327744,3.15,True
TIC 219880402,1637110042813188608,6.79,True
TIC 219777482,1439121018358632832,5.61,False
TIC 349491678,4377160604838377600,3.37,False
TIC 460067868,4594497769766809216,5.86,True
TIC 1674663309,4468557611984384512,4.06,True
TIC 75946144,4610177733290768896,4.06,True
TIC 341873045,2266693630693936512,6.01,False
TIC 186271747,4093301474693288960,4.06,True
TIC 259237827,2261614264931057664,6.79,True
TIC 375621179,4296708789290712064,22.28,False
TIC 372682437,2195115561168483712,6.79,True
TIC 357336603,1891598193816300544,5.42,False
TIC 283722336,2009481748875806976,6.94,False
TIC 367912480,2281778105594488192,4.06,True
TIC 419919445,2756363608023588864,6.67,False
