star_name,gaiadr3,vsini,e_vsini
TIC 139298196,2835207319109249920,2.54,0.62
TIC 332064670,704967037090946688,2.3,0.64
TIC 230183006,1759623813132980864,1.85,0.57
TIC 217831699,4154598526336121600,1.74,0.58
TIC 440109725,385334230892516480,0.76,0.68
TIC 265373654,577602496345490176,1.55,0.6
TIC 251078597,1022456104850892928,1.74,0.58
TIC 413248763,5664814198431308288,0.8,0.86
TIC 138819293,4017860992519744384,0.41,0.73
TIC 397587084,3732539683617410816,6.79,0.73
TIC 207492082,1428427236986209024,0.92,0.18
TIC 219780306,1439069444391326208,1.41,0.61
TIC 19028197,654687847820642560,0.92,0.67
TIC 162494287,1428030622526979968,1.65,0.59
TIC 459558974,4540061704989418240,0.98,0.66
TIC 301289516,2643842302456085888,1.7,0.58
TIC 256419669,522863309964987520,1.34,0.62
TIC 230241767,4550763526539955712,0.76,0.68
TIC 318707987,2554032474712538880,1.77,0.58
TIC 434210589,2802397960855105920,1.8,0.57
TIC 292851928,351537889154226816,2.41,0.63
TIC 67772871,3195919528989223040,1.44,0.61
TIC 69528586,3421680597955802624,2.07,0.67
TIC 234928947,3131777319158581376,1.82,0.57
TIC 80224448,3380479015342121600,3.29,0.55
TIC 130181866,875071278432954240,6.4,0.67
TIC 407591082,747266452000257280,1.69,0.58
TIC 61125572,3886688327612984704,2.62,0.61
TIC 397558558,3905603054348141440,2.2,0.66
TIC 176940023,3584074376569429248,1.86,0.7
TIC 66666079,3693358861640279296,2.42,0.52
TIC 272783172,1646538011423566464,10.26,1.31
TIC 21897561,1334643739861016832,1.93,0.69
TIC 159019691,4582680493669880704,1.96,0.56
TIC 39554091,4199396753205879040,1.84,0.57
TIC 58559140,2047452661412980736,2.31,0.64
TIC 256364928,1827242816201846144,3.11,0.47
TIC 345217789,4247023886053586304,1.93,0.56
TIC 99837626,6830027182179257472,1.55,0.6
TIC 420814525,1779546757669063552,3.84,0.52
TIC 50227884,2619706544757416192,2.12,0.67
TIC 278952345,2638410646295370880,1.84,0.57
TIC 283722336,2009481748875806976,1.64,0.59
TIC 389018596,45159901786885632,3.07,0.47
TIC 173103335,3796690380302214272,1.21,0.63
TIC 394172596,2101486923385239808,1.21,0.63
TIC 325275315,3796072592206250624,0.29,0.74
TIC 243921117,4223507222112425344,1.9,0.56
TIC 334753043,1372702716380418688,2.52,0.51
TIC 419015728,2452378776434477184,1.37,0.77
