Unnamed: 0,star_name,gaiadr3,HD,S_cl,logRhk_cl,vsini,e_vsini
0,TIC 120462356,4995853014646189696,105,0.375,-4.349,14.5,
1,TIC 405187645,2745647973856851712,377,0.359,-4.355,13.9,
2,TIC 396298498,423018377034969216,432,0.21,,71.0,
3,TIC 289673491,2416611663182821120,693,0.142,-4.962,5.1,
4,TIC 70847587,2309813109479463040,739,0.144,,4.4,
5,TIC 194387552,383275940831929728,905,0.267,,24.3,
6,TIC 408012676,2431157720981843200,984,0.334,-4.31,38.6,
7,TIC 290543478,4634528720388462592,1237,0.39,-4.238,4.5,
8,TIC 246852823,2322574488107786624,2025,0.388,,4.1,
9,TIC 212957673,2528433919872925312,3196,0.322,-4.402,5.5,
10,TIC 212957673,2528433919872925312,3196,0.269,-4.515,35.0,
11,TIC 183564258,4986970575602213504,4378,0.751,,4.3,
12,TIC 80431620,4975284381908412672,4391,0.218,-4.738,5.0,
13,TIC 257393898,2552925644460225152,4628,0.235,-4.855,4.4,
14,TIC 3962869,2473608009504466688,4813,0.166,-4.824,4.3,
15,TIC 66409287,5031808453624044800,5133,0.411,,4.5,
16,TIC 180871947,4988158666636598272,6434,0.159,-4.979,4.3,
17,TIC 408048143,2470218077718581376,6706,0.253,,46.0,
18,TIC 439410069,2468730472844294016,7661,0.43,-4.402,5.6,
19,TIC 299099679,2478536467296884864,8556,0.235,,24.8,
20,TIC 456865914,2786203082290674048,8723,0.277,,60.1,
21,TIC 191764184,397372371388455424,8799,0.277,,57.1,
22,TIC 55857787,5038817840251308288,9540,0.281,-4.661,3.9,
23,TIC 126983005,2585868490297270144,9919,0.306,,103.8,
24,TIC 229137615,4912580642524184960,10647,0.196,-4.714,5.2,
25,TIC 419015728,2452378776434477184,10700,0.165,-5.026,3.5,
26,TIC 354318511,407618995126664960,11151,0.219,,33.4,
27,TIC 368625256,2574158313504213504,11257,0.28,,12.7,
28,TIC 28244955,299464296907113984,11443,0.306,,81.6,
29,TIC 229158436,4937200425857908992,11937,0.249,-4.801,4.5,
30,TIC 266746662,5135093346121603712,12039,0.457,-4.247,15.2,
31,TIC 220017951,4937000898856156288,13445,0.26,-4.716,3.9,
32,TIC 332800044,2494066897240089728,13612,0.18,-4.805,5.9,
33,TIC 118389700,131471770725205632,15257,0.211,,79.8,
34,TIC 142206123,4946938113149426944,16157,5.089,,15.8,
35,TIC 35761475,2498460442625153536,16765,0.313,-4.383,32.0,
36,TIC 35761475,2498460442625153536,16765,0.288,-4.435,32.0,
37,TIC 166853853,4745373133284418816,17051,0.246,-4.585,6.2,
38,TIC 381132939,21859669845327488,17094,0.193,,45.1,
39,TIC 318837103,5850333868501248,17163,0.219,,109.1,
40,TIC 326242565,5129338021224785408,17206,0.216,-4.557,25.3,
41,TIC 30016911,5160075762132996992,17925,0.638,,4.9,
42,TIC 91437378,108421608959951488,18404,0.217,,23.5,
43,TIC 88405751,5071514326764428544,18907,0.137,-5.197,4.2,
44,TIC 49845357,3265335443260522112,19994,0.149,-5.02,7.7,
45,TIC 343813545,3269362645115584640,20630,0.363,-4.442,5.7,
46,TIC 259254485,435646474233078144,20675,0.165,,16.5,
47,TIC 301051051,4847957293278177024,20794,0.157,-5.067,4.0,
48,TIC 142875660,5056511692465250304,21411,0.232,-4.748,4.2,
49,TIC 262843771,4674061076849768832,22001,0.183,,15.0,
50,TIC 118572803,5164707970261890560,22049,0.231,-4.865,4.6,
51,TIC 311092847,3263836568394170880,22484,0.14,-5.104,4.2,
52,TIC 397155236,574895911036090752,22701,0.216,,55.0,
53,TIC 301564622,3250489115709122560,22879,0.156,-4.867,4.4,
54,TIC 38511251,5164120762333028736,23249,0.122,,4.3,
55,TIC 121078878,5087043657197267200,23754,0.15,-4.855,15.0,
56,TIC 242940550,43615122310787840,24357,0.238,,65.8,
57,TIC 14255247,49729231594420096,25202,0.285,,164.7,
58,TIC 9150015,3256786534197166208,25457,0.305,-4.381,17.3,
59,TIC 9150015,3256786534197166208,25457,0.316,-4.359,17.6,
60,TIC 407997659,3298631404130765568,25570,0.24,,34.4,
61,TIC 464774815,3259758514127331328,25621,0.171,,16.6,
62,TIC 353257675,225668203191521280,25998,0.326,-4.314,17.6,
63,TIC 67687505,3196359642878570368,26574,0.177,,108.1,
64,TIC 283826260,3297396274614449920,26990,0.237,-4.642,5.0,
65,GAIA DR3 4676528209144882304,4676528209144882304,27256,0.108,-5.372,5.7,
66,TIC 435916016,3311883817778820480,27459,0.176,,78.3,
67,TIC 250193088,3203761005400205824,27466,0.242,-4.671,4.5,
68,TIC 435927648,3313842529024545664,27749,0.373,,10.0,
69,TIC 17388998,47965443143743488,27901,0.264,,151.2,
70,TIC 358290717,4775347916201249792,28255,0.17,-4.901,4.3,
71,TIC 245799490,3312536927686011520,28485,0.259,,178.2,
72,TIC 245825957,3312637842237882880,28677,0.291,,134.9,
73,TIC 170766454,4867596937475715968,29231,0.242,-4.782,3.4,
74,TIC 298810162,3205095125321700480,29391,0.227,,71.8,
75,TIC 77263680,4815660547961306112,29875,0.231,,47.8,
76,TIC 77288515,4866371879660471808,29992,0.232,,97.5,
77,TIC 373415565,3294081521934473216,30034,0.211,,103.7,
78,TIC 117979951,2980492387558410112,30495,0.301,-4.517,4.2,
79,TIC 399665349,3288921720025503360,30652,0.209,-4.582,17.2,
80,TIC 416187726,285317808507191936,31662,0.19,,27.7,
81,TIC 213041474,3211461469444773376,32147,0.282,,4.1,
82,TIC 146438424,2974726131970829952,32450,1.345,,5.4,
83,TIC 327701133,265722999474087424,32537,0.222,,16.4,
84,TIC 219367750,4785713458992582272,32743,0.172,,21.6,
