star_name,gaiadr3,vsini,e_vsini
TIC 114809058,2336728947968831104,2.246,0.418
TIC 289624436,2417456431710276096,2.407,0.187
TIC 201292718,4919232000676748928,1.985,0.646
TIC 201293664,4918476567469050624,2.43,0.284
TIC 408006047,2427582693283953792,0.0,0.0
TIC 290543478,4634528720388462592,5.191,0.265
TIC 7144533,4991747403868417792,2.155,0.243
TIC 12880347,2423292879948720000,2.325,0.235
TIC 37748347,2430102808294101760,1.946,0.267
TIC 425935521,4900108950849461248,0.0,0.0
TIC 246852823,2322574488107786624,1.648,0.073
TIC 281498595,4923433303326992384,1.808,0.179
TIC 423669680,2377094321926764160,1.999,0.459
TIC 281667171,4906784051581971200,0.0,0.0
TIC 43400838,2343647384368388608,1.847,0.172
TIC 92226990,2376087581593256448,1.537,0.243
TIC 234501204,4708607629114652032,1.808,0.266
TIC 333606239,2525514785221197696,2.261,0.207
TIC 269592480,2532372026925699712,1.339,0.541
TIC 402028045,4928317368337019264,2.167,0.061
TIC 183587877,4987736999629756800,2.504,0.298
TIC 167460086,2468607533700284800,0.82,0.379
TIC 52121796,4704957491028733824,2.209,0.327
TIC 248381971,2482820714353923072,2.875,0.241
TIC 11613065,5036553052456200320,2.23,0.061
TIC 32550957,2451580320537911680,0.1,0.16
TIC 11637943,5036258177181358720,1.158,0.439
TIC 248957280,2534009921293834240,1.836,0.234
TIC 11648750,5029110664406696320,1.843,0.301
TIC 11649919,5037053227167460352,2.51,0.405
TIC 313936437,5035083452086438784,1.516,0.736
TIC 54018090,2453895484005571200,0.1,0.496
TIC 28117238,5042876584345665280,2.136,0.277
TIC 97470730,5023104341621773184,2.054,0.303
TIC 97483813,5035786314894538496,0.0,0.0
TIC 231836962,4716158250340258944,2.286,0.271
TIC 229137615,4912580642524184960,3.81,0.403
TIC 419015728,2452378776434477184,18.509,0.463
TIC 24921603,2467122570235222016,0.274,0.32
TIC 328159699,2505825177666430592,1.756,0.221
TIC 92994199,5142772953804975616,3.41,0.098
TIC 24978373,2462426800883134336,1.932,0.261
TIC 257460434,5149717881562904320,1.917,0.219
TIC 111245241,4958188247405308672,1.681,0.167
TIC 111267568,4957985696747200256,2.147,0.062
TIC 273984891,4632033344389469184,2.164,0.35
TIC 7244844,4942867480584948352,2.329,0.262
TIC 332819192,2493069773336748928,2.567,1.488
TIC 220022156,4743692151804240896,1.732,1.438
TIC 332891271,2500695921563092736,2.505,0.187
TIC 408130762,2486984045196486784,2.839,0.09
TIC 146267651,5067691805870056576,2.286,0.576
TIC 146268248,4966832745261896960,1.935,0.095
TIC 234306483,4694695852085869568,2.188,0.274
TIC 120896927,5068777809824976256,2.322,0.069
TIC 251109533,2495335115182966016,1.549,0.23
TIC 64070385,5125414998097353600,3.675,1.126
TIC 65325217,5069294481507177344,2.038,0.373
TIC 122555698,5062172841616745856,1.438,0.348
TIC 122574949,5062313166791762176,1.825,0.405
TIC 166853853,4745373133284418816,5.53,0.391
TIC 178170409,5052007684818274816,1.436,0.73
TIC 97506256,5079099582606498432,0.0,0.0
TIC 141306732,5179196819095942272,3.107,0.248
TIC 439911365,5181087291900789888,1.12,0.143
TIC 49845357,3265335443260522112,8.069,1.257
TIC 370137704,4642472794978268800,2.216,0.273
TIC 153027837,4847282124418880256,1.746,0.477
TIC 279069526,3261878613062758144,1.96,0.243
TIC 144503312,5060105897197110144,1.899,0.335
TIC 144503325,5060104351007433472,1.074,0.208
TIC 301051051,4847957293278177024,15.558,0.848
TIC 279649049,4722135642226902656,1.753,0.509
TIC 9967949,5168359139139252352,2.623,0.221
TIC 200781244,4737533237421005952,2.326,0.128
TIC 142875660,5056511692465250304,2.522,0.228
TIC 197792776,4729947569262040960,1.988,0.289
TIC 279741379,4673947174316727040,2.346,0.122
TIC 323296273,4859696950726480512,2.261,0.323
TIC 118572803,5164707970261890560,13.859,0.271
TIC 262922700,4674464082220740480,2.75,0.523
TIC 301564622,3250489115709122560,3.483,0.977
TIC 206402844,4733035238430992768,1.424,0.272
TIC 38511251,5164120762333028736,0.0,0.0
TIC 121025936,5107106033552702208,1.759,0.98
TIC 206412735,4832401540206966656,0.0,0.0
TIC 101101072,4842581574771373184,2.246,0.726
TIC 89320803,5082840945798327936,2.033,0.232
TIC 160116798,4857619423505528320,1.879,0.347
TIC 237933451,4669647293578584448,3.118,0.568
TIC 321125648,4857725045341482112,1.348,0.368
TIC 269613621,3245657582441858688,2.195,0.461
TIC 250161098,3254366302946985600,2.07,0.439
TIC 396697266,4678605152248591488,1.994,0.07
TIC 37947783,3179384931394690304,2.04,0.298
TIC 38698692,4675222436007028608,1.737,0.208
