star_name,gaiadr3,vsini,e_vsini
TIC 194387552,383275940831929728,36,
TIC 194503676,378607281314502016,123,
TIC 271503441,4900927434176620160,166,
TIC 469974193,4900916679578514048,93,
TIC 331391396,411601907281189504,103,
TIC 376904850,2577061092921353984,196,
TIC 54995745,510204838759030144,123,
TIC 368625256,2574158313504213504,29,
TIC 60986648,104716907609412352,107,
TIC 231861257,4714268430370570496,86,
TIC 379483903,522185735919412480,81,
TIC 137200814,546439965996109696,91,
TIC 355789476,4713424658275847168,118,
TIC 63790159,326109689896765568,254,
TIC 408130113,5175014311223513984,117,
TIC 318805118,2502847975056102400,186,
TIC 259862349,4695167130257543424,96,
TIC 436872005,116339982466340736,200,
TIC 97507956,5078091055566935296,107,
TIC 71353640,5077970830842019584,133,
TIC 23137804,5179806085976425984,186,
TIC 384986756,241279069280395904,144,
TIC 14156987,65319619282119808,22,
TIC 407991625,3297007356736766080,83,
TIC 44743049,4889935410276933504,71,
TIC 435916016,3311883817778820480,79,
TIC 435938457,3313978112552491136,42,
TIC 17387328,145674574739951872,94,
TIC 17414107,145484634106814592,191,
TIC 17409896,3314063977537054208,11,
TIC 17417633,145727729255780736,243,
TIC 60879864,3312759303913978624,222,
TIC 245794190,3307650109600736000,105,
TIC 245799490,3312536927686011520,180,
TIC 245819720,3312849326428424704,86,
TIC 245860427,3309419984020798080,144,
TIC 245904110,3306483944378137088,89,
TIC 298810162,3205095125321700480,84,
TIC 373415565,3294081521934473216,110,
TIC 18754028,3406917219108423808,180,
TIC 450105300,3294429586086462848,120,
TIC 121381208,198776553956317312,107,
TIC 213043245,3225408155967879296,12,
TIC 327701133,265722999474087424,27,
TIC 32499622,2907602738096182784,161,
TIC 332914199,3016083407149428096,186,
TIC 11295159,3215795435043618432,14,
TIC 317132886,2996171698248699904,229,
TIC 149542947,4660016396371388672,172,
TIC 270577175,4792774797545800832,130,
TIC 317721019,2995725777563537792,26,
TIC 322679290,1004671160675810816,46,
TIC 319614743,3131481481815810432,149,
TIC 37090252,3103325050611099008,217,
TIC 438516148,3359404435457443456,102,
TIC 48881783,2926364529638066176,47,
TIC 167602316,5478862906452936960,206,
TIC 155463738,3353254695121612032,159,
TIC 96796224,5607190344506642432,12,
TIC 134497068,5509770796785820416,51,
TIC 440851537,3168265196643846400,154,
TIC 184842719,866177431955478144,144,
TIC 239137207,892160231749198848,63,
TIC 320927564,3136349019790899072,113,
TIC 175178258,5587574335515776000,291,
TIC 169015594,3066513435671608064,134,
TIC 437046151,610549499710989440,107,
TIC 456332840,1014058103758571520,154,
TIC 137648019,1022858010710856576,159,
TIC 430415842,3845263368043470080,95,
TIC 39074957,810952158347760128,212,
TIC 86336880,1064092789129355136,154,
TIC 17142859,813089746389964032,113,
TIC 280200611,5409223585178017152,133,
TIC 82203007,643101503523246848,117,
TIC 407589461,747570290871415680,165,
TIC 155559947,756291174721509376,128,
TIC 296883021,3754341109410610560,160,
TIC 241197867,724786936769969664,212,
TIC 141120277,856096765753549056,46,
TIC 159523958,3990320597065899776,180,
GAIA DR3 3970052886914547712,3970052886914547712,23,
TIC 396931486,3911736954840855168,144,
TIC 99302268,4026742744370003712,94,
TIC 224292240,1575287046603605888,233,
TIC 297075865,3520586071217872896,236,
TIC 1628071,3526420114274019456,92,
TIC 160527775,6127688772460862976,249,
TIC 51735845,3683687763520080384,36,
TIC 390607705,3903402278745164672,154,
TIC 17668162,1517698613271954304,18,
TIC 159190005,1563590510627624064,61,
TIC 159191044,1565090003967879424,228,
TIC 130726180,3662636823132300032,222,
TIC 22817261,1475118788534734592,16,
TIC 310362805,1511793067598402688,38,
TIC 310362802,1511793067598402944,128,
GAIA DR3 1485694750364098304,1485694750364098304,15,
TIC 310381204,1511727333122255744,144,
TIC 446440809,3670193182434162944,201,
TIC 159630982,1618540425290743936,43,
TIC 368788781,3655377057091634304,285,
TIC 28238963,1294674911643124096,19,
TIC 386886963,6309703507861332736,102,
TIC 175800228,6337402473507040512,117,
TIC 461273024,4419087491463629952,138,
TIC 1179719919,6319542659461082752,271,
TIC 233466081,1387349379494809600,96,
TIC 371267181,4420906461653341568,110,
TIC 71859994,6262024010760055424,117,
TIC 255861229,1223128521794138496,112,
TIC 119885027,1195823284391343104,207,
TIC 188269990,4402474042572385536,96,
TIC 159880447,1403076622018971264,84,
TIC 420895269,4344947181887184000,37,
TIC 74129611,4356960755169210880,159,
TIC 98306472,6039093149153220480,39,
TIC 270639162,4408631032807405696,94,
TIC 159292629,1313234942798111488,84,
TIC 263798437,4544196074866779904,117,
TIC 400036304,4136366183978856960,23,
TIC 441721258,1656523844747203840,159,
TIC 257582738,4573412435280434560,249,
TIC 232606431,1631010158460327168,107,
TIC 43338030,4569194055841164160,92,
TIC 87238691,4111251723554095104,78,
TIC 164542749,4170156100434293120,243,
TIC 417526469,4161585441691080448,107,
TIC 324016035,4472097420946809600,210,
TIC 86140963,6724105656508792576,104,
TIC 24592444,4482432246132106496,65,
TIC 514816878,4585618904138512768,180,
GAIA DR3 2098237660364079232,2098237660364079232,165,
TIC 1715686794,2098237656065233792,159,
TIC 336123695,2098202128093842432,212,
TIC 1715683215,2098202128100428288,233,
TIC 336130128,2096869455581362560,212,
